,Kümbet yaylası - Giresun_temp,Kümbet yaylası - Giresun_prcp,Kümbet yaylası - Giresun_snow,Kümbet yaylası - Giresun_rain,Kümbet yaylası - Giresun_tmin,Kümbet yaylası - Giresun_tmax,Kümbet yaylası - Giresun_wspd,Kümbet yaylası - Giresun_rhum
2023-01-16,-4.25,0.0,0.0,0.0,-7.75,-0.32,8.93,78.3
2023-01-17,-0.19,0.0,0.0,0.0,-4.46,4.75,13.14,65.05
2023-01-18,0.77,0.0,0.0,0.0,-3.25,6.39,17.93,57.32
2023-01-19,0.85,0.0,0.0,0.0,-3.01,6.3,12.47,59.08
2023-01-20,0.22,0.0,0.0,0.0,-4.13,6.36,10.9,60.27
2023-01-21,1.91,0.0,0.0,0.0,-3.22,6.07,9.9,56.81
2023-01-22,-0.95,0.0,0.0,0.0,-5.54,3.49,7.16,65.98
2023-01-23,-2.05,0.0,0.0,0.0,-6.13,0.91,7.91,71.8
2023-01-24,-2.04,0.0,0.0,0.0,-5.51,0.26,7.78,78.91
2023-01-25,-2.28,0.22,0.22,0.0,-5.2,0.0,5.96,77.55
2023-01-26,-3.44,0.0,0.0,0.0,-7.16,-0.02,9.13,69.7
2023-01-27,-0.71,0.0,0.0,0.0,-7.81,3.89,14.11,47.91
2023-01-28,1.07,1.84,1.84,0.0,-2.08,3.96,19.47,55.76
2023-01-29,-1.47,4.29,4.29,0.0,-3.16,1.15,15.43,76.25
2023-01-30,-2.79,3.64,3.64,0.0,-5.24,-0.73,8.78,81.17
2023-01-31,-2.79,0.78,0.78,0.0,-6.85,-0.21,8.27,78.8
2023-02-01,-3.47,7.95,7.95,0.0,-7.33,-1.28,13.97,85.45
2023-02-02,-5.65,7.28,7.28,0.0,-8.27,-3.31,16.19,79.86
2023-02-03,-5.24,0.17,0.17,0.0,-10.09,-0.3,18.09,59.11
2023-02-04,-4.79,0.13,0.13,0.0,-8.51,-1.92,10.07,62.52
2023-02-05,-4.5,0.08,0.08,0.0,-8.42,-1.27,9.48,69.73
2023-02-06,-5.33,16.6,16.6,0.0,-7.49,-3.34,14.47,82.24
2023-02-07,-7.28,9.34,9.34,0.0,-8.42,-5.61,30.08,79.22
2023-02-08,-6.65,0.52,0.52,0.0,-9.74,-4.4,24.86,68.05
2023-02-09,-6.62,0.09,0.09,0.0,-9.88,-3.59,16.16,71.07
2023-02-10,-6.15,0.82,0.82,0.0,-11.57,-2.95,10.67,71.62
2023-02-11,-5.85,7.6,7.6,0.0,-8.52,-4.18,10.17,86.54
2023-02-12,-5.23,1.45,1.45,0.0,-9.49,-1.91,7.49,71.42
2023-02-13,-8.29,8.54,8.54,0.0,-10.68,-5.89,19.25,75.96
2023-02-14,-7.92,0.0,0.0,0.0,-12.95,-3.97,10.59,60.18
2023-02-15,-6.47,6.0,6.0,0.0,-9.11,-3.84,20.75,69.68
2023-02-16,-8.38,8.97,8.97,0.0,-10.33,-6.78,20.61,82.52
2023-02-17,-6.26,0.72,0.72,0.0,-11.84,-1.32,11.98,69.35
2023-02-18,-2.58,0.0,0.0,0.0,-9.21,2.89,13.67,57.7
2023-02-19,-1.04,5.27,5.27,0.0,-3.44,1.58,19.63,72.29
2023-02-20,-0.1,10.45,10.45,0.0,-4.42,3.83,17.36,74.78
2023-02-21,-1.79,0.8,0.8,0.0,-6.44,2.5,14.45,72.49
2023-02-22,0.99,0.04,0.04,0.0,-2.98,3.87,15.38,64.86
2023-02-23,-3.42,8.31,8.31,0.0,-6.49,-1.63,10.22,86.18
2023-02-24,-4.02,0.0,0.0,0.0,-7.73,-0.89,13.35,77.11
2023-02-25,0.61,0.0,0.0,0.0,-7.56,6.63,17.51,45.25
2023-02-26,4.08,0.0,0.0,0.0,-0.99,8.13,22.77,48.77
2023-02-27,5.24,0.0,0.0,0.0,-0.64,10.37,18.38,49.26
2023-02-28,5.33,0.0,0.0,0.0,-1.57,9.99,10.49,56.73
2023-03-01,1.05,0.02,0.02,0.0,-2.56,3.84,7.97,78.76
2023-03-02,-0.8,3.45,3.45,0.0,-2.9,1.23,8.7,89.53
2023-03-03,-0.72,0.34,0.34,0.0,-4.28,1.0,10.77,93.39
2023-03-04,0.3,4.2,4.2,0.0,-3.39,2.75,11.17,86.92
2023-03-05,1.98,11.95,11.95,0.0,-1.39,5.2,11.16,85.31
2023-03-06,0.08,7.03,7.03,0.0,-3.0,3.64,20.11,85.12
2023-03-07,0.42,0.0,0.0,0.0,-5.58,3.66,10.56,76.45
2023-03-08,2.79,0.0,0.0,0.0,-2.54,6.44,9.82,59.98
2023-03-09,2.45,0.0,0.0,0.0,-2.63,6.42,8.81,65.62
2023-03-10,3.53,0.02,0.0,0.02,-0.91,6.75,14.01,65.9
2023-03-11,6.77,0.0,0.0,0.0,1.2,10.92,18.58,57.1
