,Horma Kanyonu - Kastamonu_temp,Horma Kanyonu - Kastamonu_prcp,Horma Kanyonu - Kastamonu_snow,Horma Kanyonu - Kastamonu_rain,Horma Kanyonu - Kastamonu_tmin,Horma Kanyonu - Kastamonu_tmax,Horma Kanyonu - Kastamonu_wspd,Horma Kanyonu - Kastamonu_rhum
2024-01-21,1.39,10.93,10.93,0.0,-0.27,3.44,10.37,88.61
2024-01-22,-0.81,1.94,1.94,0.0,-3.44,3.0,8.83,82.76
2024-01-23,-1.27,0.0,0.0,0.0,-5.71,4.47,8.69,78.09
2024-01-24,-0.83,0.0,0.0,0.0,-5.68,4.92,8.41,74.34
2024-01-25,1.74,0.75,0.75,0.0,-2.53,5.61,12.89,72.34
2024-01-26,2.51,7.22,0.0,7.22,0.42,5.67,13.55,85.44
2024-01-27,1.12,9.43,9.43,0.0,-0.67,3.37,16.27,85.5
2024-01-28,0.54,5.65,5.65,0.0,-1.32,2.57,10.74,88.42
2024-01-29,-0.31,6.03,6.03,0.0,-2.88,3.46,8.88,89.5
2024-01-30,-0.05,2.9,2.9,0.0,-3.31,3.27,8.76,85.44
2024-01-31,0.91,0.0,0.0,0.0,-4.25,6.04,9.94,81.49
2024-02-01,0.74,0.0,0.0,0.0,-4.36,6.65,7.74,79.11
2024-02-02,2.45,0.0,0.0,0.0,-4.21,7.6,12.31,75.51
2024-02-03,2.11,2.42,0.0,2.42,-1.03,6.83,12.43,78.12
2024-02-04,3.92,0.52,0.0,0.52,0.25,7.43,14.08,70.03
2024-02-05,7.07,0.73,0.0,0.73,3.82,11.3,19.44,69.37
2024-02-06,9.76,0.52,0.0,0.52,7.43,14.24,20.4,61.46
2024-02-07,11.98,0.0,0.0,0.0,3.4,17.45,16.12,53.36
2024-02-08,10.74,0.0,0.0,0.0,5.67,15.05,12.03,64.03
2024-02-09,10.99,0.0,0.0,0.0,3.89,16.17,10.03,66.0
2024-02-10,11.11,0.0,0.0,0.0,3.47,16.27,11.29,60.24
2024-02-11,12.1,0.0,0.0,0.0,5.45,16.93,10.57,54.11
2024-02-12,13.8,0.06,0.0,0.06,7.56,18.88,11.92,50.43
2024-02-13,11.47,1.64,0.0,1.64,6.86,15.86,10.21,61.41
2024-02-14,7.33,1.42,0.0,1.42,5.17,10.04,7.72,90.69
2024-02-15,5.51,6.27,0.0,6.27,4.23,6.77,11.07,95.95
2024-02-16,5.43,3.11,0.0,3.11,3.64,7.9,9.88,91.23
2024-02-17,4.46,3.88,0.0,3.88,2.82,6.61,6.46,94.54
2024-02-18,3.37,3.74,0.0,3.74,2.26,5.47,12.27,87.74
2024-02-19,3.09,0.26,0.0,0.26,1.45,5.9,9.62,85.15
2024-02-20,4.22,0.06,0.0,0.06,1.48,7.52,5.93,85.6
2024-02-21,4.96,2.47,0.0,2.47,0.03,8.47,7.54,85.33
2024-02-22,3.38,0.64,0.0,0.64,-0.01,7.65,8.21,80.95
2024-02-23,6.8,0.0,0.0,0.0,-0.57,12.66,9.6,64.8
2024-02-24,9.61,0.0,0.0,0.0,2.51,14.75,9.19,62.4
2024-02-25,9.85,0.0,0.0,0.0,2.7,14.99,7.04,68.07
2024-02-26,8.69,0.0,0.0,0.0,3.43,13.63,5.3,71.18
2024-02-27,8.54,0.0,0.0,0.0,3.25,13.16,7.24,77.63
2024-02-28,7.9,0.0,0.0,0.0,1.54,13.64,5.93,80.58
2024-02-29,8.02,0.0,0.0,0.0,1.17,13.61,6.13,76.26
2024-03-01,7.74,0.0,0.0,0.0,3.23,12.98,5.16,74.85
2024-03-02,8.1,0.0,0.0,0.0,3.38,11.83,7.27,80.54
2024-03-03,7.64,0.0,0.0,0.0,4.81,10.67,10.01,86.98
2024-03-04,6.47,0.81,0.0,0.81,3.61,10.37,5.25,91.07
2024-03-05,7.09,5.22,0.0,5.22,2.55,13.29,6.91,85.34
2024-03-06,5.14,18.75,0.0,18.75,3.71,7.72,15.76,91.09
2024-03-07,4.29,3.12,0.0,3.12,1.75,6.94,11.49,83.59
2024-03-08,5.29,0.56,0.0,0.56,1.0,10.17,7.4,86.2
2024-03-09,3.08,8.51,0.0,8.51,1.07,5.22,6.78,89.19
2024-03-10,4.81,1.15,0.0,1.15,-0.06,9.22,7.4,79.49
2024-03-11,7.36,0.0,0.0,0.0,-0.07,12.72,8.41,72.81
2024-03-12,10.89,0.02,0.0,0.02,4.42,17.75,8.59,64.68
2024-03-13,10.0,0.58,0.0,0.58,5.45,13.21,8.86,72.53
2024-03-14,7.77,2.12,0.0,2.12,5.55,11.34,7.16,86.24
