,Horma Kanyonu - Kastamonu_temp,Horma Kanyonu - Kastamonu_prcp,Horma Kanyonu - Kastamonu_snow,Horma Kanyonu - Kastamonu_rain,Horma Kanyonu - Kastamonu_tmin,Horma Kanyonu - Kastamonu_tmax,Horma Kanyonu - Kastamonu_wspd,Horma Kanyonu - Kastamonu_rhum
2022-09-06,16.59,5.68,0.0,5.68,12.31,20.63,8.69,76.3
2022-09-07,15.6,0.11,0.0,0.11,11.02,19.88,9.67,71.47
2022-09-08,16.72,0.74,0.0,0.74,9.12,22.59,8.02,73.53
2022-09-09,18.08,0.0,0.0,0.0,10.12,23.98,7.43,75.04
2022-09-10,19.87,0.0,0.0,0.0,12.34,25.18,6.45,70.74
2022-09-11,21.89,0.0,0.0,0.0,13.25,26.94,7.15,67.53
2022-09-12,17.7,18.02,0.0,18.02,13.89,23.54,9.23,83.32
2022-09-13,15.36,5.3,0.0,5.3,10.58,20.39,10.49,84.6
2022-09-14,16.16,0.36,0.0,0.36,10.01,21.61,8.8,73.6
2022-09-15,19.88,0.0,0.0,0.0,10.53,26.42,8.43,65.04
2022-09-16,23.98,0.0,0.0,0.0,14.1,30.71,10.46,53.44
2022-09-17,24.19,0.0,0.0,0.0,15.3,29.92,7.82,52.42
2022-09-18,24.21,0.41,0.0,0.41,15.68,29.72,12.17,59.89
2022-09-19,16.48,0.3,0.0,0.3,13.84,19.41,10.23,76.55
2022-09-20,15.68,0.89,0.0,0.89,12.64,21.12,9.52,78.94
2022-09-21,13.1,2.19,0.0,2.19,11.32,15.31,8.65,83.17
2022-09-22,11.38,14.91,0.0,14.91,9.77,14.71,10.62,89.07
2022-09-23,11.73,6.27,0.0,6.27,8.8,16.67,11.39,77.83
2022-09-24,11.31,1.39,0.0,1.39,7.57,16.66,12.44,80.22
2022-09-25,13.03,0.0,0.0,0.0,5.84,19.4,9.02,72.45
2022-09-26,15.46,0.0,0.0,0.0,6.68,22.49,8.19,65.93
2022-09-27,17.28,0.0,0.0,0.0,10.32,24.04,8.38,56.61
2022-09-28,17.75,5.14,0.0,5.14,13.7,24.29,8.57,67.34
2022-09-29,18.41,2.63,0.0,2.63,13.79,24.2,8.72,75.67
2022-09-30,19.51,0.0,0.0,0.0,12.44,25.84,7.75,66.99
2022-10-01,19.85,0.0,0.0,0.0,12.73,25.82,7.49,67.59
2022-10-02,18.04,8.34,0.0,8.34,12.55,25.85,13.98,73.49
2022-10-03,15.08,2.21,0.0,2.21,10.77,19.74,8.83,77.74
2022-10-04,13.82,3.84,0.0,3.84,10.2,17.53,11.02,79.37
2022-10-05,12.61,2.61,0.0,2.61,9.0,17.07,9.19,80.03
2022-10-06,12.52,0.13,0.0,0.13,8.07,16.14,8.0,83.13
2022-10-07,13.13,2.16,0.0,2.16,8.47,16.69,8.94,80.62
2022-10-08,13.29,13.76,0.0,13.76,11.07,16.32,7.34,89.15
2022-10-09,13.48,17.89,0.0,17.89,10.64,16.02,10.53,91.15
2022-10-10,13.34,1.51,0.0,1.51,9.85,17.42,12.02,84.39
2022-10-11,11.89,0.22,0.0,0.22,7.1,17.03,6.25,83.95
2022-10-12,12.4,0.0,0.0,0.0,8.29,16.83,6.61,86.21
2022-10-13,13.12,0.18,0.0,0.18,9.33,17.27,6.31,83.61
2022-10-14,11.56,0.0,0.0,0.0,6.92,15.74,6.33,83.49
2022-10-15,11.72,0.17,0.0,0.17,8.56,14.98,5.79,85.76
2022-10-16,11.88,6.25,0.0,6.25,10.32,13.58,5.38,93.38
2022-10-17,12.64,3.87,0.0,3.87,11.33,14.96,6.35,93.66
2022-10-18,12.79,0.0,0.0,0.0,9.17,16.24,7.38,87.65
2022-10-19,12.37,1.13,0.0,1.13,8.79,16.23,6.76,91.43
2022-10-20,11.25,8.33,0.0,8.33,8.28,15.41,9.67,85.01
2022-10-21,7.32,1.23,0.0,1.23,3.67,12.54,8.76,78.51
2022-10-22,6.92,0.0,0.0,0.0,1.77,13.82,9.11,77.43
2022-10-23,10.91,0.0,0.0,0.0,3.92,17.0,9.53,64.93
2022-10-24,11.86,0.0,0.0,0.0,6.12,17.01,9.61,80.01
2022-10-25,11.42,0.0,0.0,0.0,4.91,16.61,8.48,81.4
2022-10-26,14.23,0.14,0.0,0.14,6.27,19.79,11.32,76.43
2022-10-27,12.04,0.6,0.0,0.6,8.08,16.26,9.6,83.24
2022-10-28,10.66,0.26,0.0,0.26,4.08,15.42,9.52,79.81
2022-10-29,9.25,0.0,0.0,0.0,2.31,15.13,8.37,82.61
2022-10-30,10.23,0.0,0.0,0.0,2.41,15.96,9.05,79.44
2022-10-31,11.08,0.9,0.0,0.9,4.0,15.85,10.22,79.82
2022-11-01,10.53,1.45,0.0,1.45,6.01,15.02,6.52,79.65
2022-11-02,10.0,0.0,0.0,0.0,1.87,15.83,8.82,76.01
2022-11-03,12.13,1.01,0.0,1.01,5.1,16.98,12.71,70.98
2022-11-04,11.39,0.37,0.0,0.37,5.69,16.3,7.37,81.44
2022-11-05,13.35,0.0,0.0,0.0,5.16,19.48,7.33,70.22
2022-11-06,13.2,0.0,0.0,0.0,4.68,18.66,7.06,65.98
2022-11-07,10.98,1.06,0.0,1.06,4.95,15.41,5.36,77.96
2022-11-08,9.73,4.62,0.0,4.62,7.08,12.25,6.21,89.94
2022-11-09,7.63,0.19,0.0,0.19,4.64,12.48,8.42,80.01
2022-11-10,6.96,0.0,0.0,0.0,0.94,12.98,8.42,78.2
2022-11-11,7.55,0.0,0.0,0.0,1.51,13.43,7.62,82.25
2022-11-12,8.27,0.0,0.0,0.0,2.57,14.37,7.24,82.53
2022-11-13,8.41,0.07,0.0,0.07,1.73,14.36,7.03,83.25
2022-11-14,8.0,0.71,0.0,0.71,3.12,13.22,8.52,81.07
2022-11-15,7.05,0.0,0.0,0.0,1.54,12.28,7.24,82.23
2022-11-16,7.56,0.0,0.0,0.0,0.83,13.27,9.53,76.37
2022-11-17,11.46,0.69,0.0,0.69,3.41,16.27,12.01,62.43
2022-11-18,12.62,3.35,0.0,3.35,8.64,16.96,11.17,70.59
2022-11-19,15.87,0.06,0.0,0.06,11.12,20.21,13.25,60.0
2022-11-20,16.02,0.0,0.0,0.0,10.51,20.9,10.06,61.32
2022-11-21,16.24,0.19,0.0,0.19,12.01,19.75,11.5,55.18
2022-11-22,10.52,5.51,0.0,5.51,6.27,15.4,9.71,78.23
2022-11-23,8.99,1.88,0.0,1.88,4.22,12.8,9.64,72.62
2022-11-24,10.41,0.0,0.0,0.0,6.65,14.57,7.43,78.02
2022-11-25,8.43,12.38,0.0,12.38,6.91,10.09,10.99,92.23
2022-11-26,6.72,6.42,0.0,6.42,4.86,9.02,15.15,86.25
2022-11-27,5.65,0.17,0.0,0.17,2.54,9.66,9.0,81.62
2022-11-28,5.33,0.0,0.0,0.0,1.05,10.34,8.93,81.25
2022-11-29,6.35,0.0,0.0,0.0,2.69,10.35,7.03,81.53
2022-11-30,8.4,0.0,0.0,0.0,2.42,13.19,6.42,83.96
2022-12-01,8.63,0.0,0.0,0.0,3.72,12.9,6.08,88.12
2022-12-02,9.71,1.2,0.0,1.2,5.63,14.33,6.74,88.03
2022-12-03,7.56,3.77,0.0,3.77,5.61,9.38,9.58,94.54
2022-12-04,6.42,2.05,0.0,2.05,4.49,9.07,5.68,92.06
2022-12-05,5.62,4.11,0.0,4.11,2.52,9.86,6.4,89.09
2022-12-06,5.28,0.45,0.0,0.45,1.53,8.6,7.11,90.1
2022-12-07,5.58,0.0,0.0,0.0,1.18,10.37,8.38,84.74
2022-12-08,6.08,0.0,0.0,0.0,0.63,11.38,9.09,77.2
2022-12-09,8.3,1.42,0.0,1.42,3.93,12.09,9.73,73.5
2022-12-10,9.95,1.01,0.0,1.01,6.21,13.16,10.65,70.62
2022-12-11,12.82,0.52,0.0,0.52,9.59,15.33,13.93,68.43
2022-12-12,12.49,6.3,0.0,6.3,8.33,17.29,12.43,71.35
2022-12-13,7.27,10.32,0.0,10.32,3.38,13.0,13.24,86.84
2022-12-14,4.56,6.53,0.0,6.53,2.13,6.52,7.18,89.04
2022-12-15,7.38,5.04,0.0,5.04,3.16,11.74,9.35,85.15
2022-12-16,11.47,5.28,0.0,5.28,7.89,14.73,8.0,88.46
2022-12-17,10.93,0.0,0.0,0.0,7.2,14.7,9.78,74.58
2022-12-18,8.05,2.55,0.0,2.55,4.53,11.06,9.03,86.66
2022-12-19,3.76,16.8,0.0,16.8,1.2,7.13,10.09,93.96
2022-12-20,1.29,2.68,2.68,0.0,-0.92,3.98,9.67,83.27
2022-12-21,2.31,0.0,0.0,0.0,-1.13,6.57,8.97,81.9
2022-12-22,2.48,0.0,0.0,0.0,-1.26,5.91,8.47,85.7
2022-12-23,2.88,0.0,0.0,0.0,-1.0,6.07,8.79,80.25
2022-12-24,3.64,0.0,0.0,0.0,0.33,6.76,9.08,78.85
2022-12-25,4.67,2.31,0.0,2.31,1.96,6.24,9.37,85.07
2022-12-26,4.06,8.84,0.0,8.84,2.89,6.16,13.96,90.13
2022-12-27,4.43,0.04,0.0,0.04,-0.52,8.78,8.97,74.68
2022-12-28,5.82,4.53,0.0,4.53,1.98,9.31,13.48,81.35
2022-12-29,2.48,0.0,0.0,0.0,-1.48,7.25,8.17,86.08
2022-12-30,3.83,0.0,0.0,0.0,0.7,6.69,8.45,80.66
2022-12-31,4.74,0.0,0.0,0.0,0.12,8.46,8.6,80.38
2023-01-01,4.17,0.0,0.0,0.0,-0.59,8.74,8.55,79.56
2023-01-02,2.93,0.0,0.0,0.0,-0.79,6.27,8.33,76.6
2023-01-03,2.22,0.0,0.0,0.0,-2.72,5.59,8.69,70.83
2023-01-04,5.63,0.9,0.0,0.9,-3.11,9.23,12.08,69.9
2023-01-05,5.28,0.17,0.0,0.17,1.73,9.12,6.79,90.41
2023-01-06,5.45,4.41,0.0,4.41,1.88,8.52,12.78,83.34
2023-01-07,3.84,5.46,0.0,5.46,2.2,6.04,10.04,89.91
2023-01-08,3.19,0.45,0.0,0.45,-0.15,6.56,7.08,87.54
2023-01-09,1.36,0.0,0.0,0.0,-3.15,6.62,8.1,78.45
2023-01-10,3.66,0.0,0.0,0.0,-2.0,8.58,8.63,68.73
2023-01-11,5.57,0.06,0.0,0.06,2.19,9.42,10.23,67.63
2023-01-12,6.42,0.0,0.0,0.0,2.91,10.45,7.3,75.6
2023-01-13,5.0,0.0,0.0,0.0,0.46,9.24,6.7,86.94
2023-01-14,4.35,0.27,0.0,0.27,0.39,8.55,5.91,85.55
2023-01-15,3.59,0.81,0.0,0.81,0.44,7.43,5.79,88.29
2023-01-16,3.23,0.0,0.0,0.0,-2.47,8.21,7.24,83.33
2023-01-17,6.92,0.0,0.0,0.0,-1.24,12.8,12.51,60.49
2023-01-18,9.59,0.0,0.0,0.0,4.61,15.22,13.15,58.09
2023-01-19,10.18,0.0,0.0,0.0,3.78,15.63,12.69,57.44
2023-01-20,9.11,0.0,0.0,0.0,3.63,14.11,10.87,55.11
2023-01-21,7.9,0.0,0.0,0.0,0.83,12.89,9.31,62.88
2023-01-22,6.34,0.0,0.0,0.0,0.42,11.94,6.12,71.82
2023-01-23,5.53,0.0,0.0,0.0,0.39,10.91,6.69,78.77
2023-01-24,2.72,1.15,0.0,1.15,0.83,5.23,5.34,87.67
2023-01-25,3.01,1.7,0.0,1.7,1.18,6.17,5.89,85.91
2023-01-26,2.86,0.0,0.0,0.0,-3.28,8.24,7.91,78.94
2023-01-27,6.09,1.08,0.0,1.08,2.16,9.69,9.05,66.73
2023-01-28,7.21,2.15,0.0,2.15,2.37,12.43,8.52,70.91
2023-01-29,2.46,4.96,0.0,4.96,-0.13,4.75,16.21,87.37
2023-01-30,0.95,2.48,2.48,0.0,-0.59,3.67,11.43,83.87
2023-01-31,0.59,3.76,3.76,0.0,-1.02,3.19,7.99,85.59
2023-02-01,0.06,4.65,4.65,0.0,-1.86,2.96,11.17,86.55
2023-02-02,1.23,1.67,1.67,0.0,-1.75,4.65,14.78,75.72
2023-02-03,1.62,2.58,2.58,0.0,-1.36,5.6,13.59,74.83
2023-02-04,1.45,0.33,0.33,0.0,-2.84,4.83,8.91,71.6
2023-02-05,1.31,0.66,0.66,0.0,-1.12,3.97,8.16,74.53
2023-02-06,0.5,8.49,8.49,0.0,-1.37,2.72,15.11,87.26
2023-02-07,-1.99,8.13,8.13,0.0,-3.96,1.15,12.83,81.96
2023-02-08,-1.97,10.27,10.27,0.0,-3.97,0.78,10.79,86.37
2023-02-09,-1.75,4.81,4.81,0.0,-3.48,2.49,7.58,87.71
2023-02-10,-1.19,1.57,1.57,0.0,-3.5,0.86,7.61,82.76
2023-02-11,-1.01,1.57,1.57,0.0,-3.4,1.2,7.53,76.72
2023-02-12,-0.37,0.0,0.0,0.0,-4.68,4.09,11.38,66.17
2023-02-13,-0.21,1.87,1.87,0.0,-2.46,3.36,13.05,63.54
2023-02-14,-0.44,2.5,2.5,0.0,-5.04,3.89,12.98,61.13
2023-02-15,0.64,28.78,28.78,0.0,-1.36,2.2,15.14,76.42
2023-02-16,0.49,12.99,12.99,0.0,-1.6,2.44,14.61,70.99
2023-02-17,2.72,0.0,0.0,0.0,-2.9,8.65,10.7,54.65
2023-02-18,7.43,0.3,0.0,0.3,1.5,11.24,14.57,50.15
2023-02-19,9.24,0.22,0.0,0.22,5.46,13.28,16.29,53.0
2023-02-20,4.46,6.42,0.0,6.42,-0.17,8.36,14.29,80.44
2023-02-21,6.14,0.0,0.0,0.0,-0.99,12.93,16.13,54.98
2023-02-22,7.41,0.0,0.0,0.0,2.65,12.4,12.32,61.89
2023-02-23,4.94,0.15,0.0,0.15,0.77,9.24,6.55,74.5
2023-02-24,3.6,0.0,0.0,0.0,-1.74,9.0,6.8,76.14
2023-02-25,8.25,0.06,0.0,0.06,2.36,14.45,10.23,56.4
2023-02-26,11.29,0.0,0.0,0.0,5.84,17.42,13.37,46.85
2023-02-27,12.52,0.0,0.0,0.0,6.24,18.38,11.18,47.7
2023-02-28,9.16,0.02,0.0,0.02,4.59,14.02,6.31,71.68
2023-03-01,7.25,4.91,0.0,4.91,5.33,10.12,4.4,96.11
2023-03-02,6.01,1.0,0.0,1.0,4.11,8.42,5.18,97.71
2023-03-03,5.63,0.15,0.0,0.15,3.85,9.26,4.8,95.63
2023-03-04,5.62,0.57,0.0,0.57,2.94,8.86,7.39,88.23
2023-03-05,6.8,7.38,0.0,7.38,3.28,12.0,5.81,82.56
2023-03-06,4.52,17.69,0.0,17.69,1.15,6.6,11.43,89.07
2023-03-07,6.6,0.13,0.0,0.13,1.33,12.66,10.12,60.96
2023-03-08,8.44,0.8,0.0,0.8,3.56,14.42,9.37,60.0
2023-03-09,9.87,0.26,0.0,0.26,4.86,14.81,8.8,60.86
2023-03-10,10.75,1.11,0.0,1.11,6.7,15.54,11.0,60.1
2023-03-11,12.08,6.47,0.0,6.47,7.29,17.71,14.62,62.75
2023-03-12,6.91,13.35,0.0,13.35,2.78,11.2,11.67,86.67
2023-03-13,2.96,2.37,0.0,2.37,1.01,4.47,8.81,79.66
2023-03-14,3.26,0.16,0.0,0.16,0.56,7.66,6.29,75.88
2023-03-15,5.6,0.0,0.0,0.0,0.94,10.98,5.53,82.2
2023-03-16,7.04,3.26,0.0,3.26,3.2,10.83,5.62,86.25
2023-03-17,6.06,12.14,0.0,12.14,3.08,9.83,8.16,93.27
2023-03-18,5.25,3.69,0.0,3.69,3.28,8.36,5.69,94.84
2023-03-19,5.29,3.81,0.0,3.81,4.38,6.77,5.95,95.55
2023-03-20,4.91,1.16,0.0,1.16,3.46,7.4,10.04,88.93
2023-03-21,5.78,0.04,0.0,0.04,0.39,12.08,4.96,76.18
2023-03-22,6.33,0.73,0.0,0.73,1.81,9.85,4.53,84.06
2023-03-23,6.19,3.81,0.0,3.81,4.66,9.28,5.93,92.18
2023-03-24,6.92,0.0,0.0,0.0,3.79,11.17,6.6,84.91
2023-03-25,7.68,0.0,0.0,0.0,2.98,13.1,5.53,81.53
2023-03-26,8.42,3.57,0.0,3.57,1.85,14.68,10.28,80.93
2023-03-27,10.47,0.12,0.0,0.12,4.07,16.47,9.45,60.72
2023-03-28,8.23,10.77,0.0,10.77,3.94,14.2,17.01,73.91
2023-03-29,0.89,11.05,11.05,0.0,-1.75,3.13,14.55,79.38
2023-03-30,-0.82,4.77,4.77,0.0,-3.8,3.07,13.71,74.95
2023-03-31,2.93,0.84,0.0,0.84,-2.63,9.27,9.87,52.1
2023-04-01,10.62,0.95,0.0,0.95,3.08,17.09,9.72,54.58
2023-04-02,10.21,1.95,0.0,1.95,6.85,14.54,8.91,76.32
2023-04-03,11.41,3.33,0.0,3.33,7.88,16.2,7.07,74.13
2023-04-04,13.43,1.1,0.0,1.1,7.51,20.46,10.08,57.53
2023-04-05,7.53,3.12,0.0,3.12,4.7,12.05,15.13,86.42
2023-04-06,6.43,3.09,0.0,3.09,4.16,9.38,6.76,83.45
2023-04-07,5.21,3.04,0.0,3.04,3.51,8.66,6.19,92.27
2023-04-08,6.63,3.14,0.0,3.14,3.28,11.04,6.91,83.2
2023-04-09,7.68,0.0,0.0,0.0,2.57,12.42,5.7,82.01
2023-04-10,7.65,6.52,0.0,6.52,4.26,12.53,5.67,87.39
2023-04-11,8.03,0.5,0.0,0.5,4.56,12.41,7.41,81.5
2023-04-12,7.51,1.27,0.0,1.27,4.86,11.68,6.43,82.2
2023-04-13,7.03,1.33,0.0,1.33,4.08,10.56,13.04,81.1
2023-04-14,12.77,0.0,0.0,0.0,4.24,19.34,10.83,49.42
2023-04-15,14.97,0.69,0.0,0.69,7.52,21.31,8.14,52.6
2023-04-16,11.67,2.95,0.0,2.95,8.48,16.03,6.92,77.64
2023-04-17,11.12,0.35,0.0,0.35,7.56,15.26,6.03,83.46
2023-04-18,11.77,2.02,0.0,2.02,8.04,16.03,8.05,76.05
2023-04-19,9.79,8.68,0.0,8.68,7.07,15.48,8.83,86.35
2023-04-20,8.47,0.47,0.0,0.47,5.71,11.45,11.51,84.71
2023-04-21,8.74,0.57,0.0,0.57,5.47,11.89,13.85,81.48
2023-04-22,9.3,0.74,0.0,0.74,4.71,13.72,13.54,68.25
2023-04-23,8.01,0.0,0.0,0.0,3.6,12.67,5.68,82.38
2023-04-24,7.75,7.48,0.0,7.48,4.62,12.41,5.88,86.21
2023-04-25,10.1,0.0,0.0,0.0,3.68,17.1,7.25,66.87
2023-04-26,11.53,2.91,0.0,2.91,7.65,16.44,8.32,71.25
2023-04-27,9.53,8.83,0.0,8.83,6.75,13.97,8.92,92.1
2023-04-28,6.34,16.69,0.0,16.69,5.24,9.17,16.42,82.56
2023-04-29,6.62,3.45,0.0,3.45,4.08,8.73,15.9,75.75
2023-04-30,7.39,0.86,0.0,0.86,4.54,11.24,13.21,69.41
2023-05-01,9.18,0.0,0.0,0.0,4.27,14.35,13.72,57.38
2023-05-02,9.09,0.0,0.0,0.0,2.67,15.64,9.04,55.94
2023-05-03,10.73,0.0,0.0,0.0,3.54,17.35,7.9,59.36
2023-05-04,12.88,0.0,0.0,0.0,6.32,18.64,7.14,63.69
2023-05-05,12.52,0.44,0.0,0.44,7.17,18.03,7.32,74.07
2023-05-06,10.33,8.16,0.0,8.16,7.36,14.04,5.74,76.75
2023-05-07,9.58,12.63,0.0,12.63,8.11,11.31,8.94,94.98
2023-05-08,10.06,2.15,0.0,2.15,7.49,13.68,9.42,92.11
2023-05-09,10.05,0.38,0.0,0.38,6.85,14.54,9.79,87.48
2023-05-10,8.67,4.32,0.0,4.32,6.26,10.57,6.03,91.52
2023-05-11,8.72,0.04,0.0,0.04,5.7,12.84,8.6,85.75
2023-05-12,8.7,0.15,0.0,0.15,5.9,12.72,6.88,88.85
2023-05-13,11.52,0.02,0.0,0.02,7.32,16.58,10.11,73.15
2023-05-14,11.32,0.0,0.0,0.0,4.83,16.43,9.75,65.53
2023-05-15,12.72,0.0,0.0,0.0,4.8,19.55,7.22,62.79
2023-05-16,14.8,0.0,0.0,0.0,8.18,21.76,6.37,63.96
2023-05-17,14.58,0.78,0.0,0.78,9.71,19.65,7.57,67.66
2023-05-18,13.11,8.89,0.0,8.89,9.87,19.47,6.29,84.4
2023-05-19,11.89,9.09,0.0,9.09,9.9,15.62,8.73,93.59
2023-05-20,12.79,0.29,0.0,0.29,9.57,17.15,8.02,88.08
2023-05-21,12.48,1.4,0.0,1.4,9.29,17.15,5.37,91.37
2023-05-22,12.89,1.7,0.0,1.7,8.83,17.41,5.15,90.68
2023-05-23,12.69,0.98,0.0,0.98,10.6,16.71,4.92,94.26
2023-05-24,12.99,9.22,0.0,9.22,10.31,17.09,5.0,93.75
2023-05-25,13.36,0.04,0.0,0.04,9.26,19.34,5.81,89.02
2023-05-26,13.61,1.77,0.0,1.77,9.94,18.85,5.82,91.02
2023-05-27,15.02,2.01,0.0,2.01,9.78,20.49,5.65,87.72
2023-05-28,14.94,4.65,0.0,4.65,12.09,19.83,5.33,93.91
2023-05-29,15.03,1.76,0.0,1.76,11.71,19.97,5.17,91.95
2023-05-30,14.47,6.83,0.0,6.83,12.62,18.65,6.74,93.82
2023-05-31,14.99,10.95,0.0,10.95,11.27,19.92,11.47,86.64
2023-06-01,15.23,0.0,0.0,0.0,10.04,21.02,10.36,70.2
2023-06-02,16.19,0.0,0.0,0.0,10.31,22.09,7.38,74.54
2023-06-03,14.79,7.51,0.0,7.51,12.56,19.57,6.62,93.17
2023-06-04,14.56,16.07,0.0,16.07,12.73,16.98,8.25,96.93
2023-06-05,14.36,31.99,0.0,31.99,12.09,17.63,8.52,92.49
2023-06-06,15.32,0.12,0.0,0.12,11.82,20.83,7.18,80.57
2023-06-07,16.0,0.0,0.0,0.0,10.76,22.02,6.27,80.46
2023-06-08,17.14,0.0,0.0,0.0,11.23,22.74,6.11,79.57
2023-06-09,16.77,0.29,0.0,0.29,12.32,21.42,6.59,79.69
2023-06-10,17.63,0.04,0.0,0.04,12.35,22.87,8.13,77.97
2023-06-11,17.65,0.0,0.0,0.0,11.79,22.65,8.1,76.88
2023-06-12,17.29,1.3,0.0,1.3,12.92,21.74,6.97,80.14
2023-06-13,16.36,2.68,0.0,2.68,13.66,20.51,7.18,86.13
2023-06-14,16.8,28.72,0.0,28.72,13.25,21.65,8.08,82.86
2023-06-15,16.92,0.0,0.0,0.0,12.3,22.46,9.85,78.42
2023-06-16,18.58,0.0,0.0,0.0,11.1,24.71,6.82,72.43
2023-06-17,17.44,4.99,0.0,4.99,14.31,21.83,5.44,87.25
2023-06-18,18.24,4.65,0.0,4.65,14.32,22.82,7.19,84.84
2023-06-19,17.34,4.36,0.0,4.36,12.97,22.3,9.08,85.24
2023-06-20,16.31,14.98,0.0,14.98,14.33,21.0,11.24,87.56
2023-06-21,18.4,0.06,0.0,0.06,13.91,22.89,9.58,76.71
2023-06-22,18.25,0.0,0.0,0.0,11.89,23.2,9.16,74.06
2023-06-23,18.33,0.0,0.0,0.0,11.83,24.53,8.14,68.1
2023-06-24,19.56,0.0,0.0,0.0,11.2,25.64,6.94,59.99
2023-06-25,20.65,0.0,0.0,0.0,12.38,26.33,6.36,67.92
2023-06-26,19.56,0.94,0.0,0.94,14.07,25.82,8.86,76.4
2023-06-27,18.84,0.31,0.0,0.31,14.1,23.63,8.89,78.37
2023-06-28,18.96,0.08,0.0,0.08,13.12,25.02,6.6,73.74
2023-06-29,17.78,2.12,0.0,2.12,13.45,23.9,9.6,76.67
2023-06-30,18.36,0.0,0.0,0.0,13.2,23.19,12.14,67.34
2023-07-01,19.31,0.0,0.0,0.0,11.82,25.05,7.42,61.56
2023-07-02,21.1,0.0,0.0,0.0,13.22,27.12,7.83,64.96
2023-07-03,21.51,0.04,0.0,0.04,14.37,27.78,6.62,70.18
2023-07-04,22.07,0.0,0.0,0.0,16.84,27.19,6.75,73.17
2023-07-05,22.54,0.0,0.0,0.0,15.52,27.68,6.97,68.45
2023-07-06,22.45,0.0,0.0,0.0,15.41,28.26,7.46,66.08
2023-07-07,21.23,1.13,0.0,1.13,16.38,27.6,12.06,73.97
2023-07-08,20.03,6.47,0.0,6.47,17.03,24.47,14.15,80.75
2023-07-09,17.4,27.77,0.0,27.77,14.89,20.62,14.19,89.46
2023-07-10,18.44,14.68,0.0,14.68,14.86,22.59,14.28,74.19
2023-07-11,19.15,0.39,0.0,0.39,12.61,24.77,12.12,64.99
2023-07-12,21.39,0.04,0.0,0.04,14.58,27.41,9.28,63.99
2023-07-13,22.19,0.0,0.0,0.0,14.25,28.12,8.21,64.93
2023-07-14,23.86,0.0,0.0,0.0,15.01,30.09,8.72,59.1
2023-07-15,22.04,0.0,0.0,0.0,17.38,26.89,11.37,61.9
2023-07-16,19.56,0.0,0.0,0.0,13.57,26.54,8.6,66.32
2023-07-17,20.61,0.0,0.0,0.0,13.55,26.54,10.21,62.83
2023-07-18,20.58,0.0,0.0,0.0,12.28,26.49,9.5,57.13
2023-07-19,20.85,0.0,0.0,0.0,13.62,28.88,9.44,56.95
2023-07-20,22.13,0.0,0.0,0.0,13.5,29.04,9.04,58.36
2023-07-21,22.67,0.04,0.0,0.04,15.04,27.8,8.08,62.82
2023-07-22,22.56,0.0,0.0,0.0,15.79,29.11,7.75,60.79
2023-07-23,24.59,0.37,0.0,0.37,16.41,30.19,9.73,53.0
2023-07-24,21.4,2.9,0.0,2.9,17.37,26.14,10.62,68.44
2023-07-25,20.91,0.0,0.0,0.0,12.63,26.77,8.61,62.44
2023-07-26,23.58,0.0,0.0,0.0,15.06,30.78,7.51,54.12
2023-07-27,25.27,5.41,0.0,5.41,17.08,33.44,12.54,52.72
2023-07-28,18.85,2.57,0.0,2.57,15.18,23.91,16.92,65.55
2023-07-29,19.08,0.0,0.0,0.0,12.33,25.32,9.2,63.28
2023-07-30,20.62,0.0,0.0,0.0,12.94,25.51,8.91,63.39
2023-07-31,20.34,0.0,0.0,0.0,12.24,27.06,7.89,62.4
2023-08-01,20.65,0.0,0.0,0.0,15.09,27.28,9.45,70.19
2023-08-02,22.46,0.0,0.0,0.0,17.24,28.85,7.73,70.19
2023-08-03,23.63,0.0,0.0,0.0,15.69,29.9,8.57,58.59
2023-08-04,23.52,0.0,0.0,0.0,15.89,29.51,8.77,59.02
2023-08-05,22.96,0.0,0.0,0.0,15.52,29.23,8.22,59.48
2023-08-06,26.35,0.0,0.0,0.0,17.21,33.21,8.9,50.99
2023-08-07,24.3,0.0,0.0,0.0,18.5,29.63,11.38,58.95
2023-08-08,21.41,0.0,0.0,0.0,16.31,28.36,9.46,69.56
2023-08-09,20.78,0.28,0.0,0.28,17.53,24.99,10.64,72.01
2023-08-10,21.92,1.22,0.0,1.22,16.27,27.22,8.2,73.17
2023-08-11,20.32,6.44,0.0,6.44,18.07,23.95,10.61,83.38
2023-08-12,21.84,0.0,0.0,0.0,17.46,25.55,9.37,71.48
2023-08-13,24.01,0.0,0.0,0.0,15.79,28.84,9.51,71.51
2023-08-14,23.21,0.0,0.0,0.0,17.41,28.86,8.0,76.48
2023-08-15,24.14,0.0,0.0,0.0,17.78,30.43,8.36,65.43
2023-08-16,24.2,0.0,0.0,0.0,16.68,29.95,7.72,65.38
2023-08-17,24.46,0.0,0.0,0.0,16.36,30.11,7.62,65.46
2023-08-18,23.98,0.0,0.0,0.0,15.48,30.24,8.76,65.37
2023-08-19,23.57,0.0,0.0,0.0,15.39,29.69,8.93,69.54
2023-08-20,23.04,0.0,0.0,0.0,14.65,28.95,9.43,59.72
2023-08-21,22.76,0.0,0.0,0.0,15.02,28.67,10.98,64.23
2023-08-22,23.0,0.0,0.0,0.0,15.01,29.75,10.27,54.42
2023-08-23,23.3,0.0,0.0,0.0,14.74,29.08,8.7,56.64
2023-08-24,22.3,0.0,0.0,0.0,14.48,28.82,9.1,65.0
