,Kuzalan şelalesi Tabiat Parkı - Giresun_temp,Kuzalan şelalesi Tabiat Parkı - Giresun_prcp,Kuzalan şelalesi Tabiat Parkı - Giresun_snow,Kuzalan şelalesi Tabiat Parkı - Giresun_rain,Kuzalan şelalesi Tabiat Parkı - Giresun_tmin,Kuzalan şelalesi Tabiat Parkı - Giresun_tmax,Kuzalan şelalesi Tabiat Parkı - Giresun_wspd,Kuzalan şelalesi Tabiat Parkı - Giresun_rhum
2023-03-24,4.9,4.46,0.0,4.46,2.86,7.52,6.65,91.54
2023-03-25,5.27,2.23,0.0,2.23,2.93,7.34,9.85,90.97
2023-03-26,8.05,2.79,0.0,2.79,3.55,12.37,11.13,79.53
2023-03-27,6.88,1.34,0.0,1.34,3.82,9.4,12.13,82.42
2023-03-28,9.05,15.64,0.0,15.64,3.27,15.93,17.45,69.57
2023-03-29,3.08,37.2,0.0,37.2,-0.84,6.8,24.63,89.36
2023-03-30,-0.72,3.46,3.46,0.0,-2.76,1.1,15.92,78.12
2023-03-31,-1.4,0.65,0.65,0.0,-5.19,1.75,11.44,75.26
2023-04-01,1.07,0.0,0.0,0.0,-6.87,7.76,14.07,63.25
2023-04-02,7.86,0.06,0.0,0.06,2.24,13.48,13.65,66.8
2023-04-03,8.42,0.32,0.0,0.32,4.64,12.8,10.49,79.74
2023-04-04,11.84,0.0,0.0,0.0,5.09,18.77,16.18,62.38
2023-04-05,10.51,1.18,0.0,1.18,6.33,16.01,15.09,69.09
2023-04-06,5.26,7.27,0.0,7.27,3.13,7.64,11.58,92.54
2023-04-07,4.95,11.36,0.0,11.36,2.37,7.45,11.28,89.16
2023-04-08,4.87,12.72,0.0,12.72,2.43,7.57,11.49,86.12
2023-04-09,5.4,0.0,0.0,0.0,0.66,9.38,8.8,77.18
2023-04-10,6.63,2.35,0.0,2.35,4.51,8.67,9.25,89.75
2023-04-11,7.66,7.49,0.0,7.49,5.57,10.25,13.34,90.89
2023-04-12,5.74,13.88,0.0,13.88,3.95,7.75,10.27,93.11
2023-04-13,6.13,9.38,0.0,9.38,3.63,8.72,10.0,87.21
2023-04-14,7.82,1.92,0.0,1.92,2.76,11.86,12.15,70.56
2023-04-15,11.16,0.0,0.0,0.0,5.89,15.75,12.48,64.86
2023-04-16,10.44,0.24,0.0,0.24,6.26,14.44,6.44,73.5
2023-04-17,11.73,0.48,0.0,0.48,7.25,16.13,10.57,72.41
