,Güzeldere selalesi Tabiat Parkı - Düzce_temp,Güzeldere selalesi Tabiat Parkı - Düzce_prcp,Güzeldere selalesi Tabiat Parkı - Düzce_snow,Güzeldere selalesi Tabiat Parkı - Düzce_rain,Güzeldere selalesi Tabiat Parkı - Düzce_tmin,Güzeldere selalesi Tabiat Parkı - Düzce_tmax,Güzeldere selalesi Tabiat Parkı - Düzce_wspd,Güzeldere selalesi Tabiat Parkı - Düzce_rhum
2022-06-14,20.9,0.49,0.0,0.49,13.86,26.1,4.94,73.72
2022-06-15,19.03,0.84,0.0,0.84,12.6,24.51,5.02,77.83
2022-06-16,19.15,1.03,0.0,1.03,13.66,23.01,7.89,72.94
2022-06-17,18.95,0.16,0.0,0.16,12.01,22.63,5.7,77.29
2022-06-18,20.04,0.26,0.0,0.26,14.47,24.06,7.91,75.65
2022-06-19,18.44,5.78,0.0,5.78,15.23,20.89,7.73,78.17
2022-06-20,21.0,2.26,0.0,2.26,14.1,25.77,4.66,79.65
2022-06-21,17.88,13.94,0.0,13.94,13.35,22.18,4.85,84.23
2022-06-22,21.73,6.19,0.0,6.19,12.82,25.7,7.45,71.06
2022-06-23,20.63,0.92,0.0,0.92,12.32,26.14,5.87,65.06
2022-06-24,16.56,6.53,0.0,6.53,11.21,20.78,5.24,76.94
2022-06-25,17.96,2.48,0.0,2.48,12.25,21.86,6.59,78.23
2022-06-26,16.64,2.55,0.0,2.55,11.97,20.03,4.74,83.11
2022-06-27,16.25,14.0,0.0,14.0,12.25,19.62,6.22,87.23
2022-06-28,17.93,33.46,0.0,33.46,14.13,21.3,6.92,85.52
2022-06-29,18.27,10.77,0.0,10.77,14.35,21.64,4.37,85.05
2022-06-30,18.86,2.47,0.0,2.47,12.66,23.22,4.86,83.11
2022-07-01,21.55,1.89,0.0,1.89,14.27,26.52,5.33,74.89
2022-07-02,21.06,0.0,0.0,0.0,13.07,26.04,6.18,71.48
2022-07-03,20.2,0.0,0.0,0.0,13.39,25.18,6.93,69.95
2022-07-04,19.37,0.0,0.0,0.0,9.97,25.44,5.83,68.18
2022-07-05,19.72,0.0,0.0,0.0,10.98,25.23,6.17,72.65
2022-07-06,21.11,0.0,0.0,0.0,12.15,26.9,5.07,74.71
2022-07-07,21.39,0.0,0.0,0.0,14.96,26.15,4.78,77.06
2022-07-08,21.66,0.88,0.0,0.88,15.66,25.61,5.2,77.82
2022-07-09,20.55,3.1,0.0,3.1,14.76,25.24,4.77,78.41
2022-07-10,16.99,14.7,0.0,14.7,13.64,20.27,6.11,86.29
2022-07-11,18.67,0.65,0.0,0.65,11.64,22.56,3.93,77.47
2022-07-12,19.51,0.0,0.0,0.0,12.3,23.61,5.7,75.4
2022-07-13,17.99,1.44,0.0,1.44,12.85,21.56,4.79,77.33
2022-07-14,19.91,0.12,0.0,0.12,10.72,24.65,7.27,66.99
2022-07-15,19.94,0.0,0.0,0.0,11.12,24.48,6.13,71.4
2022-07-16,20.28,0.02,0.0,0.02,12.7,25.52,6.75,69.42
2022-07-17,22.19,0.05,0.0,0.05,11.84,27.22,5.54,71.36
2022-07-18,20.33,0.19,0.0,0.19,13.47,24.38,10.17,66.82
2022-07-19,18.0,0.25,0.0,0.25,11.43,22.82,7.79,68.99
2022-07-20,20.83,0.12,0.0,0.12,14.3,24.12,8.47,63.76
2022-07-21,20.93,0.0,0.0,0.0,9.64,26.87,3.8,64.47
2022-07-22,20.96,0.04,0.0,0.04,11.55,25.9,4.61,66.71
2022-07-23,21.55,0.0,0.0,0.0,10.03,27.27,5.11,59.35
2022-07-24,21.52,0.0,0.0,0.0,10.21,27.36,4.71,60.7
2022-07-25,21.72,0.0,0.0,0.0,10.82,27.22,5.07,65.58
2022-07-26,22.11,0.0,0.0,0.0,12.87,27.02,5.34,69.88
2022-07-27,22.3,0.0,0.0,0.0,11.85,28.18,5.43,65.65
2022-07-28,22.97,0.0,0.0,0.0,11.95,29.18,5.97,67.48
2022-07-29,23.28,0.0,0.0,0.0,14.83,27.52,6.34,70.71
2022-07-30,22.06,0.09,0.0,0.09,16.42,27.72,5.78,74.0
2022-07-31,23.38,0.43,0.0,0.43,16.31,27.16,5.72,75.53
2022-08-01,23.39,0.45,0.0,0.45,18.11,26.8,5.74,73.29
2022-08-02,22.28,0.0,0.0,0.0,13.09,26.49,5.25,68.11
2022-08-03,22.74,0.05,0.0,0.05,14.62,27.02,6.62,70.17
2022-08-04,21.87,0.85,0.0,0.85,15.93,25.13,7.36,74.28
2022-08-05,22.43,0.42,0.0,0.42,16.93,25.93,7.13,75.4
2022-08-06,23.3,0.09,0.0,0.09,17.07,27.0,7.92,72.94
2022-08-07,23.38,0.14,0.0,0.14,15.93,27.12,6.94,71.53
2022-08-08,24.08,0.26,0.0,0.26,15.88,28.31,7.22,71.35
2022-08-09,22.54,2.47,0.0,2.47,18.17,27.08,5.35,74.64
2022-08-10,20.48,2.83,0.0,2.83,16.47,26.53,4.49,77.63
2022-08-11,19.28,5.87,0.0,5.87,14.71,22.0,5.45,80.46
2022-08-12,22.4,15.11,0.0,15.11,14.83,26.63,5.05,75.46
2022-08-13,21.17,7.6,0.0,7.6,15.63,27.06,5.34,80.75
2022-08-14,22.18,1.57,0.0,1.57,14.25,28.05,4.58,78.47
2022-08-15,19.77,7.67,0.0,7.67,15.34,24.04,4.88,83.82
2022-08-16,21.68,1.71,0.0,1.71,12.85,28.78,2.77,70.45
2022-08-17,23.08,0.02,0.0,0.02,13.84,29.63,3.47,66.81
2022-08-18,22.94,0.0,0.0,0.0,13.65,29.48,3.95,66.99
2022-08-19,21.43,2.53,0.0,2.53,14.33,25.95,4.46,75.77
2022-08-20,21.86,0.0,0.0,0.0,15.56,27.7,4.84,75.53
2022-08-21,22.46,0.0,0.0,0.0,15.21,28.07,4.77,77.4
2022-08-22,23.8,0.0,0.0,0.0,17.7,28.57,4.34,78.94
2022-08-23,24.89,0.62,0.0,0.62,17.08,30.32,4.12,72.65
2022-08-24,24.25,0.37,0.0,0.37,17.89,30.31,5.23,72.88
2022-08-25,21.52,6.49,0.0,6.49,16.8,27.18,4.52,80.3
2022-08-26,21.01,2.17,0.0,2.17,16.04,26.58,3.03,80.82
2022-08-27,21.78,0.26,0.0,0.26,14.49,27.58,3.26,78.99
2022-08-28,22.29,0.82,0.0,0.82,16.22,27.99,3.97,78.11
2022-08-29,21.5,0.0,0.0,0.0,16.01,28.28,4.57,76.94
2022-08-30,24.78,0.27,0.0,0.27,18.04,29.49,4.89,78.0
2022-08-31,22.06,2.27,0.0,2.27,18.54,25.92,4.45,84.11
2022-09-01,23.13,1.45,0.0,1.45,18.16,27.95,3.66,80.18
2022-09-02,23.01,0.35,0.0,0.35,16.2,28.12,3.59,78.05
2022-09-03,22.11,0.81,0.0,0.81,17.38,27.4,4.67,81.7
2022-09-04,19.43,2.84,0.0,2.84,16.69,22.29,5.4,82.45
2022-09-05,17.31,3.62,0.0,3.62,13.11,22.15,7.12,79.63
2022-09-06,16.72,3.14,0.0,3.14,10.71,21.13,5.89,76.33
2022-09-07,18.29,0.38,0.0,0.38,12.33,21.91,8.61,63.11
2022-09-08,17.19,0.0,0.0,0.0,7.88,23.48,4.86,67.51
2022-09-09,18.72,0.0,0.0,0.0,9.58,26.58,3.44,68.93
2022-09-10,20.46,0.0,0.0,0.0,9.55,29.18,3.3,65.88
2022-09-11,21.18,0.0,0.0,0.0,11.52,28.39,4.92,67.16
2022-09-12,16.3,5.53,0.0,5.53,12.71,20.25,4.44,82.46
2022-09-13,14.63,2.4,0.0,2.4,9.83,20.69,4.76,78.4
2022-09-14,15.0,0.0,0.0,0.0,7.9,23.04,3.34,70.11
2022-09-15,18.4,0.0,0.0,0.0,6.58,28.65,3.12,62.75
2022-09-16,21.89,0.0,0.0,0.0,11.11,31.95,4.18,56.09
2022-09-17,21.31,0.0,0.0,0.0,11.78,33.03,3.11,56.8
2022-09-18,20.79,0.39,0.0,0.39,11.6,30.02,6.6,62.87
2022-09-19,16.68,0.0,0.0,0.0,11.79,21.23,5.16,70.46
2022-09-20,13.91,0.23,0.0,0.23,8.66,20.94,5.5,72.45
2022-09-21,13.79,0.42,0.0,0.42,10.29,18.88,6.12,66.57
2022-09-22,9.87,8.3,0.0,8.3,7.32,12.24,7.62,84.5
2022-09-23,9.76,3.51,0.0,3.51,4.79,16.81,3.79,77.28
2022-09-24,10.44,0.0,0.0,0.0,4.36,17.59,4.35,71.76
2022-09-25,11.48,0.0,0.0,0.0,3.73,22.49,2.94,67.8
2022-09-26,13.55,0.0,0.0,0.0,3.97,26.5,3.69,63.87
2022-09-27,16.39,0.0,0.0,0.0,7.3,27.58,3.75,56.23
2022-09-28,16.95,2.62,0.0,2.62,13.54,23.04,4.03,71.86
2022-09-29,17.74,0.23,0.0,0.23,11.58,26.5,3.5,72.45
2022-09-30,18.19,0.0,0.0,0.0,9.89,28.14,2.84,66.21
2022-10-01,19.9,0.0,0.0,0.0,10.82,27.98,2.98,68.22
2022-10-02,16.19,5.39,0.0,5.39,12.03,25.1,6.41,78.8
2022-10-03,14.33,0.16,0.0,0.16,10.0,20.57,4.24,73.4
2022-10-04,11.28,0.59,0.0,0.59,9.04,15.88,3.77,83.08
2022-10-05,11.63,0.97,0.0,0.97,5.86,16.44,4.96,79.69
2022-10-06,13.03,1.19,0.0,1.19,6.96,18.04,6.21,79.99
2022-10-07,12.44,3.47,0.0,3.47,8.68,15.97,5.25,84.98
2022-10-08,11.4,11.36,0.0,11.36,10.52,12.84,5.3,93.22
2022-10-09,11.98,16.82,0.0,16.82,9.51,13.67,7.29,91.34
2022-10-10,12.08,1.31,0.0,1.31,6.15,18.03,3.62,84.58
2022-10-11,12.41,0.0,0.0,0.0,6.68,18.97,4.05,82.17
2022-10-12,11.54,0.47,0.0,0.47,6.81,16.52,4.3,86.22
2022-10-13,13.32,1.8,0.0,1.8,9.29,17.47,5.37,81.58
2022-10-14,13.39,1.5,0.0,1.5,8.12,17.76,4.89,80.35
2022-10-15,12.42,3.02,0.0,3.02,10.89,14.41,3.09,89.58
2022-10-16,11.44,18.51,0.0,18.51,10.14,12.67,7.05,92.93
2022-10-17,12.28,11.35,0.0,11.35,10.38,14.02,8.41,90.15
2022-10-18,13.02,1.73,0.0,1.73,10.95,15.77,6.68,85.05
2022-10-19,12.39,0.4,0.0,0.4,10.99,14.43,3.59,88.58
2022-10-20,11.98,1.98,0.0,1.98,8.19,16.14,5.12,82.4
2022-10-21,8.18,0.0,0.0,0.0,3.49,13.31,5.99,68.92
2022-10-22,8.62,0.0,0.0,0.0,-0.46,17.7,2.81,70.69
2022-10-23,11.85,0.0,0.0,0.0,2.36,20.0,4.24,63.91
2022-10-24,11.62,0.0,0.0,0.0,2.99,19.59,2.69,72.63
2022-10-25,11.3,0.0,0.0,0.0,2.65,20.91,1.88,76.69
2022-10-26,12.38,0.0,0.0,0.0,2.87,20.03,4.04,79.17
2022-10-27,11.94,0.0,0.0,0.0,7.82,17.46,4.02,78.95
2022-10-28,9.12,0.0,0.0,0.0,2.95,15.73,4.44,80.35
2022-10-29,7.94,0.0,0.0,0.0,1.89,15.98,3.57,82.47
2022-10-30,7.79,0.0,0.0,0.0,0.96,17.05,2.27,83.05
2022-10-31,7.89,0.63,0.0,0.63,0.21,15.15,2.39,81.12
2022-11-01,9.37,0.0,0.0,0.0,2.38,15.89,2.96,78.64
2022-11-02,9.04,0.0,0.0,0.0,1.21,18.45,2.25,75.17
2022-11-03,10.24,0.0,0.0,0.0,1.46,17.95,3.42,76.58
2022-11-04,10.51,0.0,0.0,0.0,4.52,18.12,2.78,83.23
2022-11-05,12.59,0.0,0.0,0.0,2.66,23.26,1.96,67.56
2022-11-06,12.39,0.0,0.0,0.0,2.99,21.37,2.17,64.92
2022-11-07,10.5,1.49,0.0,1.49,4.95,14.32,5.11,80.82
2022-11-08,8.82,0.19,0.0,0.19,5.61,12.61,3.87,81.75
2022-11-09,7.8,0.0,0.0,0.0,3.31,14.04,3.05,78.87
2022-11-10,5.98,0.0,0.0,0.0,-0.38,13.88,2.11,77.05
2022-11-11,6.78,0.0,0.0,0.0,-2.15,14.81,2.65,79.7
2022-11-12,8.79,0.0,0.0,0.0,1.9,15.07,2.64,79.53
2022-11-13,8.52,0.0,0.0,0.0,-0.18,15.71,3.21,82.06
2022-11-14,8.93,0.0,0.0,0.0,5.8,12.61,3.98,82.83
2022-11-15,8.22,0.0,0.0,0.0,2.56,13.71,2.68,81.48
2022-11-16,7.45,0.0,0.0,0.0,-0.96,14.69,2.81,77.28
2022-11-17,10.9,0.0,0.0,0.0,1.64,16.06,5.46,67.15
2022-11-18,14.35,3.01,0.0,3.01,10.15,18.64,5.71,69.99
2022-11-19,15.93,0.53,0.0,0.53,11.14,20.14,7.48,61.82
2022-11-20,16.71,0.0,0.0,0.0,8.9,19.47,5.91,60.47
2022-11-21,17.18,0.18,0.0,0.18,12.04,21.37,8.59,48.94
2022-11-22,9.53,2.1,0.0,2.1,4.4,13.67,6.64,74.16
2022-11-23,12.03,2.45,0.0,2.45,3.57,15.94,6.07,65.17
2022-11-24,9.48,2.45,0.0,2.45,6.88,11.51,3.05,87.36
2022-11-25,6.36,13.87,0.0,13.87,5.04,7.64,7.62,89.98
2022-11-26,4.96,5.14,0.0,5.14,3.91,6.74,5.45,90.45
2022-11-27,5.69,1.58,0.0,1.58,3.23,9.12,3.25,81.33
2022-11-28,4.96,0.0,0.0,0.0,0.15,9.81,2.46,80.98
2022-11-29,5.82,0.05,0.0,0.05,0.79,10.26,1.98,82.21
2022-11-30,7.75,0.0,0.0,0.0,2.1,13.16,3.03,87.35
2022-12-01,8.95,3.54,0.0,3.54,4.88,14.14,3.43,88.71
2022-12-02,7.61,4.06,0.0,4.06,4.38,11.46,2.53,92.35
2022-12-03,7.45,5.66,0.0,5.66,6.43,8.75,4.32,93.16
2022-12-04,7.29,0.02,0.0,0.02,5.9,9.8,4.1,87.64
2022-12-05,7.06,0.0,0.0,0.0,3.74,11.21,3.4,87.06
2022-12-06,5.82,0.0,0.0,0.0,2.68,9.43,2.89,87.94
2022-12-07,5.4,0.0,0.0,0.0,-0.05,11.06,2.2,84.53
2022-12-08,7.08,0.0,0.0,0.0,-0.5,14.73,2.18,80.4
2022-12-09,10.88,0.41,0.0,0.41,5.66,14.72,3.02,75.97
2022-12-10,12.34,0.21,0.0,0.21,7.09,15.48,5.13,68.22
2022-12-11,15.26,4.89,0.0,4.89,11.96,17.61,10.41,60.83
2022-12-12,12.91,0.13,0.0,0.13,8.65,15.81,6.95,64.65
2022-12-13,6.21,6.95,0.0,6.95,3.41,10.06,6.09,85.22
2022-12-14,5.56,10.63,0.0,10.63,2.03,8.66,4.09,84.45
2022-12-15,10.17,1.01,0.0,1.01,1.35,14.42,3.45,86.4
2022-12-16,12.83,1.66,0.0,1.66,7.41,18.5,2.61,85.29
2022-12-17,12.3,0.0,0.0,0.0,3.91,19.69,3.03,76.92
2022-12-18,8.64,0.93,0.0,0.93,3.26,13.77,4.43,86.63
2022-12-19,3.88,8.06,0.0,8.06,1.84,6.15,9.44,85.52
2022-12-20,1.65,0.76,0.76,0.0,-2.14,5.8,6.43,72.11
2022-12-21,0.46,0.0,0.0,0.0,-5.22,6.81,2.29,73.62
2022-12-22,3.0,0.0,0.0,0.0,-3.83,9.26,2.84,78.1
2022-12-23,3.79,0.0,0.0,0.0,-1.47,9.42,2.99,75.62
2022-12-24,5.44,0.0,0.0,0.0,1.14,10.54,2.43,75.04
2022-12-25,4.53,4.91,0.0,4.91,1.43,6.28,3.47,88.82
2022-12-26,3.89,8.25,0.0,8.25,-0.39,8.57,4.85,85.75
2022-12-27,4.34,0.33,0.0,0.33,-2.6,10.83,3.11,78.52
2022-12-28,5.91,1.58,0.0,1.58,2.67,8.17,3.6,84.62
2022-12-29,4.4,0.33,0.0,0.33,0.44,10.42,2.2,87.28
2022-12-30,4.72,0.0,0.0,0.0,-1.19,12.38,2.22,82.51
2022-12-31,5.33,0.0,0.0,0.0,0.44,10.98,1.51,80.87
2023-01-01,3.26,0.0,0.0,0.0,-2.46,11.74,1.85,81.28
2023-01-02,1.96,0.0,0.0,0.0,-3.89,11.44,2.18,76.87
2023-01-03,2.13,0.0,0.0,0.0,-4.59,11.56,2.19,70.8
2023-01-04,3.42,0.18,0.0,0.18,-3.22,9.7,2.71,77.92
2023-01-05,5.3,0.0,0.0,0.0,0.17,11.22,2.71,83.82
2023-01-06,3.71,2.22,0.0,2.22,-0.44,6.84,4.09,86.63
2023-01-07,2.94,0.0,0.0,0.0,-2.03,9.47,2.44,82.94
2023-01-08,2.1,0.0,0.0,0.0,-3.52,9.08,2.62,80.58
2023-01-09,1.97,0.0,0.0,0.0,-3.18,8.19,3.55,71.98
2023-01-10,5.64,0.0,0.0,0.0,-2.71,11.89,5.3,60.04
2023-01-11,10.1,2.71,0.0,2.71,6.17,13.68,8.86,65.45
2023-01-12,9.06,0.3,0.0,0.3,5.28,11.9,5.48,71.09
2023-01-13,6.37,0.29,0.0,0.29,3.31,10.53,4.26,83.13
2023-01-14,5.07,0.02,0.0,0.02,2.23,8.49,4.47,87.53
2023-01-15,4.89,0.0,0.0,0.0,0.64,8.75,5.29,84.31
2023-01-16,3.45,0.0,0.0,0.0,-2.77,10.39,3.35,81.82
2023-01-17,9.89,0.0,0.0,0.0,0.41,14.17,10.39,60.71
2023-01-18,13.4,0.0,0.0,0.0,8.76,16.84,11.42,51.19
2023-01-19,12.31,0.0,0.0,0.0,2.65,18.46,10.01,54.3
2023-01-20,10.52,0.0,0.0,0.0,1.56,18.44,7.82,54.47
2023-01-21,8.59,0.0,0.0,0.0,0.59,17.02,5.61,66.12
2023-01-22,7.22,0.0,0.0,0.0,-0.54,15.2,4.64,70.58
2023-01-23,5.18,0.0,0.0,0.0,-0.36,9.7,5.23,81.41
2023-01-24,5.02,0.98,0.0,0.98,3.42,6.55,7.1,81.01
2023-01-25,3.76,0.95,0.0,0.95,1.39,5.16,4.93,78.04
2023-01-26,4.03,0.18,0.0,0.18,-4.0,9.69,4.28,76.24
2023-01-27,10.72,1.52,0.0,1.52,4.32,13.41,10.22,55.91
2023-01-28,5.24,4.65,0.0,4.65,1.29,9.77,6.87,81.41
2023-01-29,0.78,7.02,7.02,0.0,-0.58,2.19,6.71,84.68
2023-01-30,-0.15,1.6,1.6,0.0,-1.17,1.8,5.27,83.57
2023-01-31,-0.33,1.82,1.82,0.0,-2.79,3.48,4.6,82.63
2023-02-01,-0.11,3.47,3.47,0.0,-2.57,3.19,6.97,84.99
2023-02-02,0.99,1.9,1.9,0.0,-3.31,5.45,8.35,79.28
2023-02-03,0.48,4.41,4.41,0.0,-2.52,4.21,6.33,82.28
2023-02-04,-0.12,1.34,1.34,0.0,-4.37,3.36,5.68,78.88
2023-02-05,1.38,2.42,2.42,0.0,-2.34,5.07,7.54,79.76
2023-02-06,0.24,11.26,11.26,0.0,-1.23,1.88,12.66,86.58
2023-02-07,-2.1,9.19,9.19,0.0,-3.49,0.83,9.6,80.33
2023-02-08,-2.38,6.62,6.62,0.0,-4.43,-0.24,6.19,85.92
2023-02-09,-1.51,6.67,6.67,0.0,-2.92,-0.01,5.0,91.0
2023-02-10,-1.25,4.72,4.72,0.0,-2.7,0.37,3.8,87.34
2023-02-11,-0.42,1.29,1.29,0.0,-2.14,1.38,4.78,81.22
2023-02-12,-0.96,0.0,0.0,0.0,-6.55,3.77,4.07,77.4
2023-02-13,1.13,0.2,0.2,0.0,-2.97,5.23,4.29,73.94
2023-02-14,0.13,0.0,0.0,0.0,-6.3,5.17,5.58,73.11
2023-02-15,0.66,4.36,4.36,0.0,-2.02,2.45,8.58,82.47
2023-02-16,0.76,2.73,2.73,0.0,-3.35,4.98,5.25,79.05
2023-02-17,3.36,0.0,0.0,0.0,-5.62,10.25,7.89,70.46
2023-02-18,7.96,0.0,0.0,0.0,-1.77,13.43,10.4,60.87
2023-02-19,10.99,0.0,0.0,0.0,3.75,16.59,11.17,56.41
2023-02-20,3.62,5.02,0.0,5.02,0.6,7.34,7.55,85.16
2023-02-21,6.41,2.52,0.0,2.52,-1.56,13.66,8.92,72.58
2023-02-22,8.59,0.0,0.0,0.0,0.09,16.02,7.84,66.94
2023-02-23,6.09,0.0,0.0,0.0,-0.56,12.15,5.7,78.71
2023-02-24,7.51,0.0,0.0,0.0,-0.32,14.21,4.87,78.24
2023-02-25,9.82,0.09,0.0,0.09,0.49,17.61,7.01,68.48
2023-02-26,12.72,0.0,0.0,0.0,6.85,17.27,9.01,53.94
2023-02-27,13.64,0.56,0.0,0.56,5.46,19.38,7.52,51.36
2023-02-28,10.03,1.64,0.0,1.64,5.53,14.28,5.45,71.47
2023-03-01,8.11,5.49,0.0,5.49,5.44,11.88,7.31,90.94
2023-03-02,5.96,1.13,0.0,1.13,4.5,7.56,7.14,90.28
2023-03-03,5.92,0.7,0.0,0.7,3.51,9.22,4.4,88.82
2023-03-04,7.36,0.09,0.0,0.09,3.17,11.43,4.07,82.18
2023-03-05,6.2,5.57,0.0,5.57,2.68,10.82,4.9,87.94
2023-03-06,5.95,20.11,0.0,20.11,2.18,10.53,5.4,79.87
2023-03-07,8.29,0.29,0.0,0.29,0.98,14.58,6.27,70.17
2023-03-08,9.69,0.93,0.0,0.93,4.35,15.19,6.29,73.99
2023-03-09,10.93,0.0,0.0,0.0,4.01,16.75,7.56,69.53
2023-03-10,12.9,0.0,0.0,0.0,5.58,18.04,6.31,62.12
2023-03-11,11.99,1.0,0.0,1.0,7.8,16.72,11.59,65.95
2023-03-12,5.64,14.93,0.0,14.93,3.14,8.83,7.74,85.93
2023-03-13,3.79,5.12,0.0,5.12,2.44,6.36,11.81,76.28
2023-03-14,4.44,0.83,0.0,0.83,-0.71,8.12,7.44,73.47
2023-03-15,8.42,0.0,0.0,0.0,-2.06,17.62,4.98,73.18
2023-03-16,7.1,5.94,0.0,5.94,3.32,9.6,4.45,86.46
2023-03-17,4.25,13.63,0.0,13.63,2.85,5.66,8.25,94.47
2023-03-18,4.86,21.33,0.0,21.33,2.52,7.23,8.05,90.58
2023-03-19,5.37,4.59,0.0,4.59,4.21,6.68,6.6,91.76
2023-03-20,6.76,1.66,0.0,1.66,1.36,10.55,5.1,81.41
2023-03-21,5.81,0.0,0.0,0.0,-1.23,15.45,4.76,76.13
2023-03-22,6.76,1.09,0.0,1.09,2.16,10.47,4.56,83.12
2023-03-23,6.1,0.95,0.0,0.95,4.91,7.62,4.88,90.87
2023-03-24,8.44,0.74,0.0,0.74,2.91,13.25,5.41,83.65
2023-03-25,9.41,0.02,0.0,0.02,0.39,18.58,4.24,77.83
2023-03-26,7.95,1.58,0.0,1.58,1.69,14.89,5.49,81.29
2023-03-27,12.0,0.0,0.0,0.0,1.14,21.01,6.2,71.25
2023-03-28,7.49,17.21,0.0,17.21,1.84,15.54,10.95,75.47
2023-03-29,0.43,13.87,13.87,0.0,-2.45,3.21,8.63,85.04
2023-03-30,-0.64,3.82,3.82,0.0,-4.43,3.5,7.49,79.1
2023-03-31,4.92,1.14,0.0,1.14,-6.47,12.4,6.7,64.36
2023-04-01,13.02,1.36,0.0,1.36,2.81,19.5,7.0,62.83
2023-04-02,11.63,5.08,0.0,5.08,7.63,15.6,7.28,78.0
2023-04-03,13.03,5.31,0.0,5.31,7.48,19.97,6.3,75.59
2023-04-04,13.01,0.33,0.0,0.33,7.51,19.63,8.79,65.61
2023-04-05,6.97,8.33,0.0,8.33,4.41,9.78,7.84,85.87
2023-04-06,7.92,4.17,0.0,4.17,3.37,14.08,5.26,76.94
2023-04-07,6.05,6.43,0.0,6.43,3.61,8.48,6.96,82.23
2023-04-08,7.86,0.05,0.0,0.05,1.65,14.53,6.94,75.6
2023-04-09,9.23,0.0,0.0,0.0,2.79,14.12,6.17,77.31
2023-04-10,6.56,7.62,0.0,7.62,4.9,8.31,5.35,89.75
2023-04-11,7.04,2.39,0.0,2.39,4.81,10.51,10.23,78.82
2023-04-12,7.71,1.83,0.0,1.83,4.27,10.86,9.6,77.05
2023-04-13,8.93,3.83,0.0,3.83,4.55,14.33,7.99,77.0
2023-04-14,14.44,2.18,0.0,2.18,1.74,22.78,6.38,63.18
2023-04-15,16.43,0.0,0.0,0.0,6.21,23.01,6.8,60.77
2023-04-16,13.96,1.46,0.0,1.46,9.09,20.38,5.39,72.06
2023-04-17,14.06,3.13,0.0,3.13,7.42,20.31,6.16,73.53
2023-04-18,12.51,3.63,0.0,3.63,7.26,17.34,6.51,78.12
2023-04-19,11.14,3.72,0.0,3.72,6.49,17.2,5.69,83.53
2023-04-20,10.08,1.32,0.0,1.32,6.7,15.04,6.59,81.3
2023-04-21,10.75,2.72,0.0,2.72,7.24,15.58,5.99,81.83
2023-04-22,11.62,1.56,0.0,1.56,3.58,17.27,6.25,70.07
2023-04-23,8.84,0.0,0.0,0.0,3.73,12.53,6.59,78.12
2023-04-24,11.52,0.0,0.0,0.0,4.64,17.15,4.74,70.96
2023-04-25,13.98,0.48,0.0,0.48,2.39,21.03,6.02,65.6
2023-04-26,12.87,5.91,0.0,5.91,7.4,18.82,6.53,78.29
2023-04-27,8.29,23.11,0.0,23.11,5.72,10.97,7.45,92.82
2023-04-28,6.61,20.26,0.0,20.26,4.31,10.34,9.64,77.87
2023-04-29,5.73,0.82,0.0,0.82,3.53,8.39,5.7,80.57
2023-04-30,8.89,0.12,0.0,0.12,3.05,15.32,6.69,67.4
2023-05-01,11.08,0.0,0.0,0.0,2.82,18.58,5.79,63.22
2023-05-02,9.91,0.0,0.0,0.0,1.54,18.8,7.33,60.65
2023-05-03,14.33,0.0,0.0,0.0,1.73,24.51,5.35,59.0
2023-05-04,13.93,3.09,0.0,3.09,7.02,21.76,6.63,69.53
2023-05-05,11.34,1.95,0.0,1.95,8.34,15.11,7.06,84.35
2023-05-06,9.89,3.47,0.0,3.47,6.73,13.65,7.95,83.16
2023-05-07,10.0,2.61,0.0,2.61,5.74,13.86,5.7,85.69
2023-05-08,11.49,0.0,0.0,0.0,6.78,16.13,6.44,80.59
2023-05-09,11.13,0.8,0.0,0.8,8.94,14.09,9.34,79.94
2023-05-10,9.15,2.83,0.0,2.83,7.26,11.01,8.06,84.16
2023-05-11,10.73,0.69,0.0,0.69,7.62,13.72,10.01,80.99
2023-05-12,10.17,2.33,0.0,2.33,8.72,12.92,6.93,86.99
2023-05-13,10.89,0.2,0.0,0.2,5.58,15.45,6.34,78.23
2023-05-14,12.09,0.0,0.0,0.0,3.32,18.82,6.45,71.88
2023-05-15,15.78,0.0,0.0,0.0,7.39,24.32,4.92,68.82
2023-05-16,19.34,0.0,0.0,0.0,8.27,27.2,5.61,65.11
2023-05-17,15.88,9.31,0.0,9.31,11.11,23.46,7.3,76.23
2023-05-18,13.2,7.79,0.0,7.79,9.99,17.96,7.3,85.64
2023-05-19,11.76,4.42,0.0,4.42,8.71,14.92,7.1,85.52
2023-05-20,13.21,4.36,0.0,4.36,7.59,18.04,6.88,84.11
2023-05-21,14.47,2.45,0.0,2.45,9.86,20.63,5.63,82.47
2023-05-22,14.04,0.68,0.0,0.68,10.4,18.25,7.37,82.11
2023-05-23,12.94,0.63,0.0,0.63,10.93,15.47,5.42,86.45
2023-05-24,14.07,0.93,0.0,0.93,11.35,18.53,4.71,86.81
2023-05-25,14.46,0.82,0.0,0.82,10.69,19.55,5.45,83.4
2023-05-26,15.74,0.74,0.0,0.74,11.12,21.62,5.51,79.82
2023-05-27,15.42,0.05,0.0,0.05,10.34,19.58,6.03,83.53
2023-05-28,15.5,6.24,0.0,6.24,12.33,19.48,6.58,85.99
2023-05-29,15.75,4.25,0.0,4.25,13.08,18.81,5.38,85.46
2023-05-30,15.58,15.45,0.0,15.45,12.95,18.69,5.89,84.7
