,Güzeldere selalesi Tabiat Parkı - Düzce_temp,Güzeldere selalesi Tabiat Parkı - Düzce_prcp,Güzeldere selalesi Tabiat Parkı - Düzce_snow,Güzeldere selalesi Tabiat Parkı - Düzce_rain,Güzeldere selalesi Tabiat Parkı - Düzce_tmin,Güzeldere selalesi Tabiat Parkı - Düzce_tmax,Güzeldere selalesi Tabiat Parkı - Düzce_wspd,Güzeldere selalesi Tabiat Parkı - Düzce_rhum
2024-10-11,18.4,0.0,0.0,0.0,9.79,27.21,3.6,71.28
2024-10-12,16.79,4.28,0.0,4.28,12.19,23.43,5.36,80.34
2024-10-13,14.56,6.61,0.0,6.61,12.42,16.82,5.81,86.69
2024-10-14,14.18,0.0,0.0,0.0,9.84,18.98,3.79,79.76
2024-10-15,14.05,0.0,0.0,0.0,6.7,20.78,5.06,78.7
2024-10-16,12.71,2.39,0.0,2.39,5.58,18.37,5.03,82.24
2024-10-17,8.62,5.35,0.0,5.35,5.66,11.29,6.7,85.28
2024-10-18,7.88,6.6,0.0,6.6,4.92,11.63,5.23,84.87
2024-10-19,7.96,3.56,0.0,3.56,3.62,12.38,4.5,81.69
2024-10-20,8.38,0.22,0.0,0.22,2.55,13.55,4.33,81.05
2024-10-21,9.15,0.21,0.0,0.21,4.32,13.4,3.99,78.7
2024-10-22,9.75,0.23,0.0,0.23,6.02,13.55,3.56,82.22
2024-10-23,10.35,0.0,0.0,0.0,3.35,17.45,4.18,81.29
2024-10-24,9.94,0.0,0.0,0.0,3.5,15.61,4.29,83.35
2024-10-25,10.44,0.07,0.0,0.07,3.65,16.22,5.29,80.65
2024-10-26,10.67,0.0,0.0,0.0,4.36,16.57,5.04,78.71
2024-10-27,9.95,0.0,0.0,0.0,0.34,18.69,3.6,78.19
2024-10-28,10.1,0.0,0.0,0.0,1.62,18.23,3.04,79.6
2024-10-29,10.38,0.0,0.0,0.0,0.92,17.55,3.35,78.6
2024-10-30,10.71,3.91,0.0,3.91,9.13,12.57,3.71,88.47
2024-10-31,11.24,1.83,0.0,1.83,8.79,14.47,4.69,84.17
2024-11-01,10.22,0.0,0.0,0.0,3.56,16.4,4.27,81.7
2024-11-02,10.63,0.0,0.0,0.0,2.91,19.39,3.62,80.3
2024-11-03,7.47,1.74,0.0,1.74,3.64,10.98,7.45,80.16
2024-11-04,5.18,0.0,0.0,0.0,0.18,11.32,3.92,71.62
2024-11-05,5.5,0.0,0.0,0.0,0.69,9.36,4.98,78.62
2024-11-06,4.32,0.0,0.0,0.0,-1.49,11.6,5.47,76.62
2024-11-07,5.76,0.0,0.0,0.0,-1.98,13.56,4.76,77.46
2024-11-08,5.74,0.0,0.0,0.0,-1.21,14.96,4.42,79.88
2024-11-09,6.17,0.0,0.0,0.0,-0.37,14.46,4.78,81.89
2024-11-10,6.0,0.05,0.0,0.05,-0.73,13.99,4.3,79.82
2024-11-11,7.14,0.21,0.0,0.21,4.39,11.67,3.15,84.99
2024-11-12,8.01,0.0,0.0,0.0,2.17,15.42,4.94,85.48
2024-11-13,9.55,0.4,0.0,0.4,5.48,15.25,3.9,85.24
2024-11-14,9.59,2.59,0.0,2.59,7.64,13.35,4.27,87.53
2024-11-15,8.87,13.07,0.0,13.07,7.4,10.95,4.42,94.17
2024-11-16,7.55,16.87,0.0,16.87,6.33,9.82,9.4,85.04
2024-11-17,6.32,0.43,0.0,0.43,3.73,9.48,5.88,84.46
2024-11-18,7.52,0.53,0.0,0.53,4.1,10.83,3.41,87.76
2024-11-19,7.85,0.0,0.0,0.0,3.56,13.31,3.24,84.76
2024-11-20,7.4,0.0,0.0,0.0,1.41,15.16,5.39,76.12
2024-11-21,11.27,13.1,0.0,13.1,4.63,16.9,14.18,63.76
2024-11-22,9.72,5.96,0.0,5.96,3.3,16.79,4.67,77.35
2024-11-23,6.53,5.48,0.0,5.48,-0.7,17.48,12.94,73.18
2024-11-24,0.69,34.74,34.74,0.0,-2.1,5.39,7.67,87.29
2024-11-25,0.49,7.2,7.2,0.0,-2.34,3.34,4.57,88.46
2024-11-26,1.7,4.81,4.81,0.0,-1.6,5.42,4.88,87.46
2024-11-27,1.85,0.02,0.02,0.0,-2.07,4.11,3.4,87.8
2024-11-28,3.41,0.0,0.0,0.0,0.33,6.06,2.58,90.33
2024-11-29,4.43,0.0,0.0,0.0,0.16,10.91,4.33,83.16
2024-11-30,3.92,0.0,0.0,0.0,-0.75,11.91,4.49,80.81
2024-12-01,2.66,0.0,0.0,0.0,-1.32,9.39,5.8,86.58
2024-12-02,3.22,0.0,0.0,0.0,-1.87,9.52,3.7,86.52
2024-12-03,4.17,0.79,0.0,0.79,0.73,8.26,3.55,86.94
2024-12-04,5.4,1.94,0.0,1.94,4.08,7.21,3.71,91.7
2024-12-05,5.17,0.86,0.0,0.86,1.02,9.92,3.13,88.23
2024-12-06,4.63,0.0,0.0,0.0,-1.41,12.41,3.93,82.99
2024-12-07,7.42,0.83,0.0,0.83,2.86,11.41,7.1,76.76
2024-12-08,9.81,2.16,0.0,2.16,6.43,13.04,6.28,74.55
2024-12-09,13.7,0.0,0.0,0.0,7.01,18.31,7.77,69.77
2024-12-10,12.84,0.18,0.0,0.18,7.61,18.97,6.75,72.71
2024-12-11,7.34,5.14,0.0,5.14,5.72,9.59,5.93,83.22
2024-12-12,4.4,1.11,0.0,1.11,2.32,6.49,5.84,85.58
2024-12-13,2.52,3.04,0.0,3.04,1.05,4.32,5.98,81.54
2024-12-14,1.56,1.43,1.43,0.0,-1.65,6.51,5.01,74.09
2024-12-15,2.48,3.14,0.0,3.14,-2.43,5.69,5.29,87.28
2024-12-16,2.41,13.31,0.0,13.31,-0.75,4.55,6.13,89.99
2024-12-17,2.87,0.28,0.0,0.28,-2.73,9.62,5.37,79.7
2024-12-18,3.4,0.0,0.0,0.0,-0.8,11.28,4.2,80.45
2024-12-19,2.76,0.0,0.0,0.0,-1.79,9.91,3.23,88.82
2024-12-20,5.0,0.0,0.0,0.0,-1.0,13.09,5.35,77.81
2024-12-21,7.7,5.0,0.0,5.0,2.4,12.24,8.43,75.7
2024-12-22,4.0,8.79,0.0,8.79,1.61,5.79,6.93,89.23
2024-12-23,5.22,0.0,0.0,0.0,0.26,12.67,4.85,77.65
2024-12-24,9.54,0.6,0.0,0.6,3.11,13.34,8.57,70.5
2024-12-25,9.98,0.11,0.0,0.11,7.0,14.24,6.88,71.09
2024-12-26,7.84,1.75,0.0,1.75,5.24,10.61,6.8,80.29
2024-12-27,3.71,17.4,0.0,17.4,0.94,6.62,8.59,91.53
2024-12-28,2.62,7.45,0.0,7.45,0.6,4.66,6.02,88.16
2024-12-29,3.98,6.1,0.0,6.1,2.87,5.67,8.75,86.76
2024-12-30,3.67,3.58,0.0,3.58,2.92,4.96,7.24,82.94
2024-12-31,2.94,2.15,0.0,2.15,-1.17,8.01,3.27,80.35
2025-01-01,1.9,0.0,0.0,0.0,-4.24,10.24,2.94,81.75
2025-01-02,4.16,0.0,0.0,0.0,-1.17,12.63,5.3,72.45
2025-01-03,6.05,0.0,0.0,0.0,-0.41,11.63,7.12,68.3
2025-01-04,6.09,1.98,0.0,1.98,2.99,9.74,7.09,81.59
2025-01-05,2.83,3.85,0.0,3.85,-0.43,5.66,5.72,88.22
2025-01-06,2.59,0.11,0.0,0.11,-2.16,9.83,3.49,82.87
2025-01-07,5.63,0.0,0.0,0.0,-2.04,14.95,4.34,73.53
2025-01-08,7.91,0.0,0.0,0.0,2.93,14.27,4.98,73.35
2025-01-09,6.33,0.0,0.0,0.0,1.27,15.02,4.2,78.7
2025-01-10,6.23,0.0,0.0,0.0,0.67,13.93,4.59,77.64
2025-01-11,5.98,1.4,0.0,1.4,1.43,10.08,5.25,83.24
2025-01-12,6.69,3.41,0.0,3.41,4.42,9.02,4.99,90.42
2025-01-13,3.63,13.9,0.0,13.9,1.48,5.88,8.69,90.53
2025-01-14,2.77,13.19,0.0,13.19,1.27,4.7,8.89,87.4
2025-01-15,3.95,3.5,0.0,3.5,2.44,5.73,4.99,89.52
2025-01-16,3.32,5.87,0.0,5.87,1.83,4.15,6.65,92.7
2025-01-17,1.96,3.4,3.4,0.0,-2.07,6.44,3.14,82.81
2025-01-18,0.81,0.0,0.0,0.0,-4.22,7.72,4.06,81.11
2025-01-19,2.69,0.0,0.0,0.0,-2.41,9.99,4.02,76.29
2025-01-20,2.14,0.0,0.0,0.0,-2.34,7.49,3.95,79.94
2025-01-21,2.73,0.0,0.0,0.0,-4.49,11.28,3.63,74.88
2025-01-22,6.69,4.36,0.0,4.36,3.21,11.04,4.26,80.05
2025-01-23,4.91,3.72,0.0,3.72,1.38,8.98,3.33,86.93
2025-01-24,6.22,3.54,0.0,3.54,1.8,12.89,4.39,81.47
2025-01-25,4.7,14.19,0.0,14.19,2.41,6.67,4.41,91.17
2025-01-26,5.24,9.73,0.0,9.73,1.75,10.04,4.03,87.18
2025-01-27,4.32,0.0,0.0,0.0,-0.76,12.64,3.22,86.17
2025-01-28,6.0,0.0,0.0,0.0,0.28,14.68,5.19,75.17
2025-01-29,6.59,0.0,0.0,0.0,0.11,16.66,4.66,68.99
2025-01-30,6.65,0.0,0.0,0.0,0.66,14.8,3.66,73.41
2025-01-31,6.55,0.0,0.0,0.0,1.02,14.55,3.87,75.59
2025-02-01,5.88,0.02,0.0,0.02,1.27,12.91,4.87,82.3
2025-02-02,5.51,0.0,0.0,0.0,2.0,10.62,4.78,80.71
2025-02-03,4.13,0.76,0.0,0.76,-0.59,10.86,5.02,86.35
2025-02-04,1.98,5.65,5.65,0.0,0.37,3.66,9.03,77.11
2025-02-05,-1.02,4.53,4.53,0.0,-2.9,0.75,7.57,80.93
2025-02-06,-2.22,9.78,9.78,0.0,-3.33,0.42,6.94,85.62
2025-02-07,-1.68,10.21,10.21,0.0,-3.38,0.08,4.9,88.63
2025-02-08,-0.16,6.24,6.24,0.0,-1.8,2.08,4.88,86.28
2025-02-09,-0.3,1.68,1.68,0.0,-1.26,1.03,6.13,83.63
2025-02-10,-0.72,1.83,1.83,0.0,-1.96,0.93,5.11,85.52
2025-02-11,-0.92,1.47,1.47,0.0,-3.78,2.98,4.73,79.7
2025-02-12,-1.33,1.39,1.39,0.0,-5.22,1.97,5.62,85.23
2025-02-13,-0.05,3.31,3.31,0.0,-3.55,2.89,4.74,87.65
2025-02-14,2.01,0.3,0.0,0.3,-4.94,9.23,3.79,72.82
2025-02-15,6.22,0.84,0.0,0.84,2.29,12.4,5.74,72.87
2025-02-16,4.99,1.93,0.0,1.93,3.15,7.66,7.04,86.94
2025-02-17,3.21,6.26,0.0,6.26,1.62,6.75,7.72,91.77
2025-02-18,1.64,6.56,6.56,0.0,0.84,3.05,7.37,89.69
2025-02-19,0.73,4.94,4.94,0.0,-1.15,3.46,10.5,79.39
2025-02-20,-3.21,3.7,3.7,0.0,-5.76,-0.76,8.82,75.8
2025-02-21,-4.75,3.65,3.65,0.0,-7.67,-1.52,5.74,82.81
2025-02-22,-5.34,9.04,9.04,0.0,-8.27,-1.8,5.44,79.51
2025-02-23,-6.01,1.91,1.91,0.0,-10.2,-1.52,4.42,80.93
2025-02-24,-4.94,0.12,0.12,0.0,-10.99,1.12,3.68,75.3
2025-02-25,-1.89,0.0,0.0,0.0,-9.92,5.28,4.51,69.75
2025-02-26,1.83,0.0,0.0,0.0,-3.73,8.87,3.66,69.7
2025-02-27,4.71,0.0,0.0,0.0,-1.92,12.67,4.08,71.94
2025-02-28,5.26,0.53,0.0,0.53,1.67,11.87,6.3,77.77
2025-03-01,3.74,0.0,0.0,0.0,-0.93,9.75,5.72,79.13
2025-03-02,3.67,0.14,0.0,0.14,-3.53,13.14,4.94,78.18
2025-03-03,2.74,3.91,0.0,3.91,0.95,5.58,8.69,77.76
2025-03-04,1.86,0.07,0.07,0.0,-2.84,7.01,9.13,69.3
2025-03-05,2.4,0.0,0.0,0.0,-4.89,11.7,5.57,74.07
2025-03-06,3.99,0.0,0.0,0.0,-4.17,15.74,4.14,68.9
2025-03-07,4.44,0.0,0.0,0.0,-3.91,15.35,4.99,65.19
2025-03-08,5.49,0.0,0.0,0.0,-1.49,14.85,5.08,69.83
2025-03-09,6.74,0.0,0.0,0.0,0.62,15.53,5.92,71.6
2025-03-10,8.1,0.0,0.0,0.0,-0.96,18.88,4.1,70.6
2025-03-11,10.63,0.0,0.0,0.0,0.97,22.1,5.12,63.96
2025-03-12,14.36,0.02,0.0,0.02,4.24,24.72,5.34,54.55
2025-03-13,16.14,0.0,0.0,0.0,6.98,23.73,5.02,50.09
2025-03-14,17.32,0.0,0.0,0.0,9.34,25.74,4.7,50.56
2025-03-15,15.75,0.0,0.0,0.0,6.17,27.07,4.03,56.4
2025-03-16,17.14,0.04,0.0,0.04,7.54,26.73,4.32,52.91
2025-03-17,12.82,0.0,0.0,0.0,6.67,20.55,5.21,59.74
2025-03-18,4.16,1.77,0.0,1.77,-0.89,7.38,5.63,75.26
2025-03-19,0.25,2.41,2.41,0.0,-1.95,2.75,6.1,72.78
2025-03-20,0.45,1.01,1.01,0.0,-2.79,3.57,5.24,77.57
2025-03-21,2.53,0.74,0.0,0.74,-2.15,7.06,5.83,69.44
2025-03-22,3.07,0.0,0.0,0.0,-3.92,11.75,4.65,69.18
2025-03-23,7.76,0.0,0.0,0.0,-3.29,17.43,3.8,63.6
2025-03-24,13.02,0.14,0.0,0.14,8.52,17.74,5.45,63.78
2025-03-25,14.27,0.0,0.0,0.0,9.54,20.22,5.52,62.14
2025-03-26,13.11,0.0,0.0,0.0,8.18,20.3,3.08,61.67
2025-03-27,14.14,0.0,0.0,0.0,7.11,21.52,4.9,62.07
2025-03-28,15.13,0.47,0.0,0.47,9.5,22.78,6.95,61.19
2025-03-29,11.65,4.47,0.0,4.47,7.55,17.62,5.96,78.53
2025-03-30,9.45,4.01,0.0,4.01,5.97,15.06,5.22,85.47
