,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_tmin,Ulugöl Tabiat Parkı - Ordu_tmax,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2022-11-28,2.45,0.0,0.0,0.0,-1.85,6.42,8.31,80.64
2022-11-29,3.07,0.0,0.0,0.0,-0.28,6.78,7.87,80.57
2022-11-30,3.86,0.25,0.0,0.25,1.43,6.09,5.72,84.91
2022-12-01,4.96,0.0,0.0,0.0,1.94,8.56,7.76,82.8
2022-12-02,5.65,1.35,0.0,1.35,3.06,9.74,8.1,80.74
2022-12-03,3.77,1.99,0.0,1.99,1.64,7.47,5.59,88.46
2022-12-04,3.19,1.69,0.0,1.69,0.09,6.32,4.91,86.56
2022-12-05,1.96,0.08,0.08,0.0,-0.4,4.56,3.94,87.52
2022-12-06,2.07,0.0,0.0,0.0,-0.45,5.65,5.79,82.96
2022-12-07,1.33,0.0,0.0,0.0,-2.25,5.81,7.12,78.23
2022-12-08,2.65,0.0,0.0,0.0,-1.16,7.42,8.48,76.97
2022-12-09,3.11,0.0,0.0,0.0,-0.17,7.89,9.31,77.1
2022-12-10,3.41,0.0,0.0,0.0,-0.47,8.19,9.65,76.87
2022-12-11,6.13,0.31,0.0,0.31,3.28,9.35,14.49,66.2
2022-12-12,6.07,1.38,0.0,1.38,3.92,7.78,14.74,73.27
2022-12-13,6.55,1.01,0.0,1.01,3.22,10.27,13.28,71.63
2022-12-14,4.08,5.33,0.0,5.33,2.6,6.57,13.23,89.28
2022-12-15,6.03,2.44,0.0,2.44,2.81,9.31,8.88,83.13
2022-12-16,6.61,1.96,0.0,1.96,2.49,9.34,7.71,87.53
2022-12-17,4.49,0.0,0.0,0.0,0.51,8.85,8.28,82.05
2022-12-18,3.62,0.0,0.0,0.0,0.56,6.91,6.42,82.77
2022-12-19,1.92,8.4,8.4,0.0,-1.45,4.46,10.15,88.65
2022-12-20,-1.83,3.07,3.07,0.0,-3.46,-0.33,12.52,80.93
2022-12-21,-0.81,0.07,0.07,0.0,-4.74,3.67,6.07,78.91
2022-12-22,-1.22,0.0,0.0,0.0,-4.59,2.22,6.75,81.31
2022-12-23,-0.37,0.0,0.0,0.0,-3.58,3.52,8.03,78.3
2022-12-24,-1.59,0.0,0.0,0.0,-4.92,0.86,6.33,80.13
2022-12-25,-0.71,0.0,0.0,0.0,-3.25,2.73,6.87,73.19
2022-12-26,-0.36,3.36,3.36,0.0,-2.55,1.63,5.58,83.35
2022-12-27,0.02,0.19,0.19,0.0,-3.01,3.07,6.78,81.61
2022-12-28,0.87,5.46,5.46,0.0,-2.24,4.28,8.31,77.57
2022-12-29,0.25,1.76,1.76,0.0,-3.43,3.82,6.23,81.58
2022-12-30,-1.08,0.0,0.0,0.0,-5.69,5.08,9.14,72.71
2022-12-31,-0.96,0.0,0.0,0.0,-5.81,5.11,6.83,66.31
2023-01-01,-1.38,0.0,0.0,0.0,-6.93,4.71,5.22,64.51
2023-01-02,-1.19,0.0,0.0,0.0,-6.59,5.03,5.32,58.18
2023-01-03,-0.32,0.0,0.0,0.0,-5.32,5.89,5.95,57.86
2023-01-04,-0.83,0.0,0.0,0.0,-5.51,4.82,7.85,59.32
2023-01-05,0.59,1.55,1.55,0.0,-3.27,5.11,6.43,79.94
2023-01-06,-0.72,3.22,3.22,0.0,-5.32,3.81,10.01,78.69
2023-01-07,-0.5,2.77,2.77,0.0,-2.19,1.16,8.28,86.28
2023-01-08,-1.45,2.57,2.57,0.0,-3.4,0.29,7.53,87.66
2023-01-09,-3.61,0.65,0.65,0.0,-8.0,1.29,7.0,75.48
2023-01-10,-2.5,0.0,0.0,0.0,-7.78,2.91,9.25,64.49
2023-01-11,-0.73,0.0,0.0,0.0,-6.87,5.37,12.97,57.75
2023-01-12,0.37,0.0,0.0,0.0,-3.78,5.38,14.3,54.65
2023-01-13,0.32,0.0,0.0,0.0,-5.45,6.94,12.59,50.43
2023-01-14,0.24,0.0,0.0,0.0,-4.69,4.94,12.73,64.37
2023-01-15,-0.37,0.0,0.0,0.0,-4.33,3.86,10.08,77.58
2023-01-16,-0.39,0.08,0.08,0.0,-5.75,4.05,10.14,76.04
2023-01-17,2.83,0.0,0.0,0.0,-3.05,8.47,14.22,65.92
