,Yedigöller Milli Parkı - Bolu_temp,Yedigöller Milli Parkı - Bolu_prcp,Yedigöller Milli Parkı - Bolu_snow,Yedigöller Milli Parkı - Bolu_rain,Yedigöller Milli Parkı - Bolu_tmin,Yedigöller Milli Parkı - Bolu_tmax,Yedigöller Milli Parkı - Bolu_wspd,Yedigöller Milli Parkı - Bolu_rhum
2022-08-05,20.26,0.61,0.0,0.61,15.69,23.15,4.75,80.38
2022-08-06,21.19,0.19,0.0,0.19,15.74,24.51,5.29,77.86
2022-08-07,21.63,0.03,0.0,0.03,15.17,24.72,4.6,73.88
2022-08-08,22.36,0.0,0.0,0.0,14.32,26.28,5.46,74.61
2022-08-09,20.35,2.23,0.0,2.23,16.69,24.85,3.9,77.0
2022-08-10,19.06,3.01,0.0,3.01,15.52,24.67,4.21,79.99
2022-08-11,19.01,6.33,0.0,6.33,13.17,21.47,5.6,78.69
2022-08-12,21.14,5.57,0.0,5.57,14.28,24.32,4.85,76.61
2022-08-13,20.13,10.15,0.0,10.15,14.23,24.92,4.76,82.6
2022-08-14,21.27,0.86,0.0,0.86,13.61,25.76,3.94,80.41
2022-08-15,18.67,12.84,0.0,12.84,14.34,23.08,4.48,84.47
2022-08-16,21.04,1.53,0.0,1.53,12.67,26.57,4.02,69.99
2022-08-17,22.31,0.0,0.0,0.0,13.68,26.68,3.86,67.2
2022-08-18,22.02,0.0,0.0,0.0,13.13,26.26,3.61,68.08
2022-08-19,20.47,1.39,0.0,1.39,13.2,24.0,3.97,75.5
2022-08-20,20.91,0.11,0.0,0.11,14.69,25.02,4.05,77.61
2022-08-21,21.7,0.0,0.0,0.0,14.95,26.22,4.31,78.67
2022-08-22,22.42,0.0,0.0,0.0,15.67,26.23,3.36,82.01
2022-08-23,24.25,0.9,0.0,0.9,15.82,28.57,3.32,72.38
2022-08-24,23.43,0.0,0.0,0.0,16.38,28.48,4.44,72.64
2022-08-25,20.71,7.47,0.0,7.47,16.58,24.79,4.54,81.54
2022-08-26,20.07,1.26,0.0,1.26,15.05,24.95,3.97,80.68
2022-08-27,20.9,0.31,0.0,0.31,13.4,25.4,3.88,79.01
2022-08-28,21.18,1.41,0.0,1.41,15.72,25.31,3.59,80.0
2022-08-29,19.95,0.0,0.0,0.0,14.55,26.05,3.71,78.94
2022-08-30,23.64,0.07,0.0,0.07,16.8,28.58,4.49,78.29
2022-08-31,21.49,0.19,0.0,0.19,17.84,24.71,4.43,83.62
2022-09-01,21.57,1.15,0.0,1.15,17.09,25.67,4.07,80.08
2022-09-02,21.7,0.0,0.0,0.0,15.02,25.94,3.32,80.34
2022-09-03,21.14,0.41,0.0,0.41,16.35,25.32,5.16,81.29
2022-09-04,18.16,1.14,0.0,1.14,15.34,20.7,5.29,81.2
2022-09-05,16.29,0.26,0.0,0.26,11.71,20.14,6.1,78.27
2022-09-06,15.76,1.02,0.0,1.02,9.49,20.18,5.81,73.2
2022-09-07,16.31,0.14,0.0,0.14,11.49,19.25,7.3,64.99
2022-09-08,16.14,0.0,0.0,0.0,7.61,21.19,4.83,67.2
2022-09-09,17.44,0.0,0.0,0.0,7.72,24.0,3.54,68.55
2022-09-10,19.28,0.0,0.0,0.0,9.88,25.72,3.52,65.37
2022-09-11,19.91,0.0,0.0,0.0,10.9,25.84,4.11,66.28
2022-09-12,15.2,9.94,0.0,9.94,11.57,20.05,4.34,82.82
2022-09-13,13.68,3.53,0.0,3.53,9.81,18.79,4.67,79.94
2022-09-14,14.25,0.08,0.0,0.08,7.84,20.23,3.64,70.67
2022-09-15,18.37,0.0,0.0,0.0,6.63,26.62,3.88,57.41
2022-09-16,21.95,0.0,0.0,0.0,10.35,29.97,4.2,51.33
2022-09-17,20.86,0.0,0.0,0.0,11.62,30.85,3.74,50.53
2022-09-18,21.27,0.49,0.0,0.49,11.51,27.97,6.02,59.4
2022-09-19,15.61,0.03,0.0,0.03,11.6,18.89,4.39,72.65
2022-09-20,13.01,0.11,0.0,0.11,9.06,18.72,5.22,71.72
2022-09-21,12.13,0.99,0.0,0.99,9.38,16.2,5.37,70.12
2022-09-22,8.41,10.26,0.0,10.26,6.34,10.53,6.5,87.38
2022-09-23,8.67,4.01,0.0,4.01,5.31,14.46,4.93,78.55
2022-09-24,9.29,0.8,0.0,0.8,5.05,14.84,4.78,73.09
2022-09-25,10.56,0.0,0.0,0.0,3.51,20.33,3.61,67.66
2022-09-26,12.83,0.0,0.0,0.0,3.77,23.98,3.08,62.3
2022-09-27,15.32,0.0,0.0,0.0,7.04,25.54,3.81,52.3
2022-09-28,15.93,5.05,0.0,5.05,12.81,21.51,4.41,69.71
2022-09-29,16.65,0.46,0.0,0.46,10.88,23.78,3.75,71.7
2022-09-30,17.02,0.0,0.0,0.0,8.95,25.25,2.84,64.38
2022-10-01,19.25,0.0,0.0,0.0,10.19,25.4,2.9,66.4
2022-10-02,14.99,9.64,0.0,9.64,11.97,23.18,6.33,79.95
2022-10-03,12.98,0.48,0.0,0.48,9.51,17.86,5.14,76.52
2022-10-04,10.06,1.55,0.0,1.55,8.18,13.97,4.89,85.23
2022-10-05,10.81,0.66,0.0,0.66,6.02,14.48,4.87,81.39
2022-10-06,12.15,0.16,0.0,0.16,6.72,15.9,5.49,80.78
2022-10-07,10.86,3.31,0.0,3.31,6.54,13.3,4.32,84.44
2022-10-08,10.01,11.1,0.0,11.1,8.87,11.55,4.33,93.52
2022-10-09,10.71,29.08,0.0,29.08,8.56,11.74,6.64,95.9
2022-10-10,11.37,1.71,0.0,1.71,6.42,15.52,3.07,86.79
2022-10-11,11.28,0.0,0.0,0.0,5.91,16.67,3.39,83.13
2022-10-12,10.69,0.0,0.0,0.0,6.36,14.75,3.25,88.11
2022-10-13,11.99,0.08,0.0,0.08,8.71,15.33,4.04,83.54
2022-10-14,12.03,0.0,0.0,0.0,6.63,16.12,3.06,83.07
2022-10-15,10.77,0.21,0.0,0.21,8.39,13.17,2.15,92.06
2022-10-16,9.99,8.98,0.0,8.98,9.04,10.97,4.39,95.97
2022-10-17,10.63,6.66,0.0,6.66,9.05,11.79,6.12,94.03
2022-10-18,11.37,0.48,0.0,0.48,8.28,13.96,4.91,88.64
2022-10-19,10.67,0.11,0.0,0.11,8.65,12.36,2.77,91.6
2022-10-20,10.73,3.35,0.0,3.35,7.15,14.0,4.48,83.14
2022-10-21,6.99,0.0,0.0,0.0,2.4,10.86,4.59,70.39
2022-10-22,7.82,0.0,0.0,0.0,-0.92,14.22,3.1,69.74
2022-10-23,11.32,0.0,0.0,0.0,1.45,17.97,3.84,61.11
2022-10-24,11.14,0.0,0.0,0.0,1.9,16.22,2.39,74.2
2022-10-25,11.0,0.0,0.0,0.0,2.17,17.78,2.32,76.78
2022-10-26,11.91,0.08,0.0,0.08,2.53,17.69,3.94,78.0
2022-10-27,10.72,0.0,0.0,0.0,7.4,15.3,3.35,77.24
2022-10-28,7.71,0.0,0.0,0.0,1.09,13.74,3.36,81.2
2022-10-29,7.02,0.0,0.0,0.0,0.68,13.8,3.2,82.8
2022-10-30,7.09,0.0,0.0,0.0,-0.03,14.95,2.29,83.74
2022-10-31,7.35,0.0,0.0,0.0,-0.66,12.91,1.83,80.1
2022-11-01,8.18,0.08,0.0,0.08,1.63,13.32,2.44,78.35
2022-11-02,8.37,0.0,0.0,0.0,0.86,16.27,2.23,73.49
2022-11-03,9.28,0.0,0.0,0.0,0.17,15.73,3.19,74.28
2022-11-04,8.84,0.0,0.0,0.0,3.15,15.3,2.64,83.01
2022-11-05,11.93,0.0,0.0,0.0,2.18,20.62,2.83,62.32
2022-11-06,11.51,0.0,0.0,0.0,1.86,18.96,2.73,60.0
2022-11-07,8.6,0.5,0.0,0.5,1.44,12.87,4.37,79.1
2022-11-08,7.57,1.87,0.0,1.87,6.07,9.98,3.44,86.24
2022-11-09,7.12,0.0,0.0,0.0,3.35,11.97,2.95,78.87
2022-11-10,5.51,0.0,0.0,0.0,-1.87,12.04,2.79,74.02
2022-11-11,6.31,0.0,0.0,0.0,-3.15,12.69,2.54,76.89
2022-11-12,7.85,0.0,0.0,0.0,-0.02,13.36,2.33,74.96
2022-11-13,7.27,0.0,0.0,0.0,-2.41,13.14,2.47,80.88
2022-11-14,6.82,0.0,0.0,0.0,3.19,10.84,2.91,80.01
2022-11-15,6.44,0.0,0.0,0.0,0.88,11.18,2.3,79.14
2022-11-16,6.97,0.0,0.0,0.0,-2.53,12.94,2.74,73.47
2022-11-17,9.71,0.53,0.0,0.53,0.24,13.73,5.88,61.97
2022-11-18,12.43,3.84,0.0,3.84,8.28,15.95,6.82,65.2
2022-11-19,14.53,0.86,0.0,0.86,10.57,18.0,6.67,57.92
2022-11-20,14.78,0.0,0.0,0.0,7.51,17.3,5.58,56.78
2022-11-21,15.24,0.07,0.0,0.07,10.83,18.73,7.32,46.39
2022-11-22,8.53,2.32,0.0,2.32,4.32,12.22,5.75,69.29
2022-11-23,10.85,1.25,0.0,1.25,1.94,14.12,4.85,58.92
2022-11-24,7.65,0.3,0.0,0.3,5.9,10.02,3.59,82.87
2022-11-25,4.68,23.76,0.0,23.76,3.4,5.79,8.3,94.75
2022-11-26,3.34,7.32,0.0,7.32,2.08,4.73,6.97,91.83
2022-11-27,4.0,0.87,0.0,0.87,1.41,6.65,2.75,81.64
2022-11-28,3.69,0.0,0.0,0.0,-1.18,7.73,2.6,78.83
2022-11-29,5.42,0.0,0.0,0.0,0.18,9.11,1.94,78.25
2022-11-30,6.19,0.0,0.0,0.0,-1.1,11.66,2.39,84.99
2022-12-01,6.89,0.56,0.0,0.56,1.2,11.91,2.01,89.34
2022-12-02,6.3,4.34,0.0,4.34,2.82,10.96,2.16,91.34
2022-12-03,5.97,3.79,0.0,3.79,4.73,7.16,3.04,94.91
2022-12-04,5.31,0.0,0.0,0.0,3.81,7.69,2.58,91.31
2022-12-05,5.01,0.0,0.0,0.0,1.78,8.68,2.63,88.24
2022-12-06,4.43,0.05,0.0,0.05,1.38,7.6,2.39,85.67
2022-12-07,4.62,0.0,0.0,0.0,-0.81,9.18,2.27,82.61
2022-12-08,6.0,0.0,0.0,0.0,-2.04,12.23,2.76,75.53
2022-12-09,9.3,0.5,0.0,0.5,3.62,12.92,3.87,70.9
2022-12-10,10.31,0.3,0.0,0.3,5.36,13.57,4.6,63.17
2022-12-11,12.97,6.82,0.0,6.82,8.54,15.51,9.33,60.91
2022-12-12,11.15,0.31,0.0,0.31,8.37,13.71,6.13,63.53
2022-12-13,5.29,1.73,0.0,1.73,2.18,10.87,6.14,82.86
2022-12-14,4.43,8.16,0.0,8.16,1.26,6.66,3.72,84.24
2022-12-15,8.61,0.0,0.0,0.0,1.55,12.0,3.72,83.66
2022-12-16,11.89,7.59,0.0,7.59,6.56,16.36,2.76,82.26
2022-12-17,11.5,0.0,0.0,0.0,2.83,18.24,3.27,69.04
2022-12-18,8.25,0.6,0.0,0.6,2.21,13.63,3.9,83.93
2022-12-19,2.08,5.23,0.0,5.23,-0.03,4.07,8.62,86.53
2022-12-20,0.58,0.45,0.45,0.0,-2.8,3.34,5.7,70.8
2022-12-21,0.32,0.0,0.0,0.0,-5.87,4.78,2.61,69.85
2022-12-22,2.23,0.0,0.0,0.0,-4.72,6.46,3.3,77.85
2022-12-23,2.83,0.0,0.0,0.0,-3.16,6.79,3.0,72.63
2022-12-24,4.87,0.0,0.0,0.0,-0.05,8.21,2.85,70.64
2022-12-25,3.29,3.05,0.0,3.05,1.22,4.34,4.07,85.73
2022-12-26,2.79,13.29,0.0,13.29,0.04,5.65,6.22,85.71
2022-12-27,3.25,0.48,0.0,0.48,-3.23,8.72,3.02,73.88
2022-12-28,5.11,1.97,0.0,1.97,1.69,7.34,4.27,83.5
2022-12-29,3.77,0.48,0.0,0.48,-0.41,8.6,1.97,84.25
2022-12-30,4.24,0.0,0.0,0.0,-1.91,10.36,2.05,79.25
2022-12-31,5.02,0.0,0.0,0.0,-0.19,7.96,2.11,77.11
2023-01-01,3.02,0.0,0.0,0.0,-2.92,8.96,2.04,79.83
2023-01-02,1.47,0.0,0.0,0.0,-4.39,8.82,1.83,73.38
2023-01-03,1.83,0.0,0.0,0.0,-5.99,9.72,1.6,63.72
2023-01-04,2.69,0.12,0.0,0.12,-5.25,8.45,2.32,71.66
2023-01-05,3.65,0.03,0.0,0.03,-0.72,9.35,2.38,85.01
2023-01-06,3.2,3.75,0.0,3.75,-0.73,5.02,4.81,83.92
2023-01-07,3.01,0.0,0.0,0.0,-0.64,6.86,2.44,81.22
2023-01-08,1.7,0.0,0.0,0.0,-3.9,6.98,2.83,78.81
2023-01-09,1.69,0.0,0.0,0.0,-4.65,6.41,3.93,67.71
2023-01-10,5.0,0.0,0.0,0.0,-4.2,10.72,4.11,57.51
2023-01-11,8.01,0.15,0.0,0.15,4.2,12.01,7.26,57.11
2023-01-12,7.87,0.0,0.0,0.0,3.6,11.7,4.7,62.47
2023-01-13,4.3,0.07,0.0,0.07,-1.13,8.82,2.6,79.98
2023-01-14,2.57,0.11,0.0,0.11,-0.33,5.44,2.48,89.87
2023-01-15,3.01,0.03,0.0,0.03,-0.64,6.51,2.97,85.28
2023-01-16,2.61,0.0,0.0,0.0,-4.59,8.53,2.49,79.82
2023-01-17,8.74,0.0,0.0,0.0,0.11,11.6,8.18,56.26
2023-01-18,11.64,0.0,0.0,0.0,7.1,14.8,8.52,48.4
2023-01-19,11.09,0.0,0.0,0.0,1.64,16.06,6.91,48.33
2023-01-20,10.42,0.0,0.0,0.0,1.43,16.53,5.23,43.9
2023-01-21,8.37,0.0,0.0,0.0,-1.1,14.13,4.07,57.36
2023-01-22,6.93,0.0,0.0,0.0,-1.3,12.66,3.29,65.61
2023-01-23,4.04,0.0,0.0,0.0,-2.3,9.27,3.41,80.01
2023-01-24,3.34,1.34,0.0,1.34,1.74,4.99,3.98,82.87
2023-01-25,2.66,2.23,0.0,2.23,0.71,4.03,3.26,76.37
2023-01-26,3.39,0.07,0.0,0.07,-5.01,8.73,3.34,71.24
2023-01-27,9.81,0.0,0.0,0.0,2.32,12.97,8.19,50.84
2023-01-28,5.28,2.08,0.0,2.08,0.67,9.76,5.98,74.44
2023-01-29,-0.49,8.28,8.28,0.0,-1.91,0.92,7.16,87.44
2023-01-30,-1.39,2.92,2.92,0.0,-2.99,0.38,4.63,84.46
2023-01-31,-1.34,2.02,2.02,0.0,-3.12,1.3,3.9,84.18
2023-02-01,-1.27,3.53,3.53,0.0,-3.25,0.88,5.92,84.48
2023-02-02,0.23,1.67,1.67,0.0,-3.77,3.05,7.36,76.25
2023-02-03,-0.26,5.66,5.66,0.0,-2.44,3.04,5.6,79.52
2023-02-04,-0.82,0.34,0.34,0.0,-4.8,1.62,4.85,71.95
2023-02-05,0.29,0.63,0.63,0.0,-2.75,2.38,4.65,74.96
2023-02-06,-1.18,5.87,5.87,0.0,-2.66,0.35,9.55,86.12
2023-02-07,-3.36,9.33,9.33,0.0,-4.98,-0.79,7.98,79.85
2023-02-08,-3.6,3.36,3.36,0.0,-6.02,-1.51,4.73,85.0
2023-02-09,-2.78,4.4,4.4,0.0,-4.38,-1.12,3.3,89.43
2023-02-10,-2.25,3.16,3.16,0.0,-3.8,-0.54,3.26,83.94
2023-02-11,-1.83,0.89,0.89,0.0,-3.78,-0.16,3.41,79.13
2023-02-12,-2.29,0.0,0.0,0.0,-7.0,1.43,4.14,74.65
2023-02-13,-0.27,0.55,0.55,0.0,-4.1,3.0,3.8,72.21
2023-02-14,-0.93,0.45,0.45,0.0,-6.46,2.72,5.16,70.99
2023-02-15,-0.97,5.7,5.7,0.0,-2.78,0.85,7.29,82.53
2023-02-16,-0.33,3.91,3.91,0.0,-3.41,2.46,5.61,77.6
2023-02-17,2.81,0.0,0.0,0.0,-6.41,7.9,5.96,64.65
2023-02-18,6.84,0.0,0.0,0.0,-2.83,11.33,6.67,57.39
2023-02-19,9.96,0.0,0.0,0.0,5.13,13.99,7.78,53.4
2023-02-20,2.4,5.3,0.0,5.3,-0.47,5.31,6.12,81.87
2023-02-21,6.0,0.96,0.0,0.96,-1.65,11.58,6.98,65.46
2023-02-22,7.89,0.0,0.0,0.0,-0.57,13.54,5.34,61.2
2023-02-23,5.69,0.0,0.0,0.0,-1.71,9.87,3.99,75.89
2023-02-24,6.77,0.0,0.0,0.0,-2.25,12.51,3.06,72.43
2023-02-25,9.58,0.03,0.0,0.03,0.51,14.49,5.43,60.82
2023-02-26,12.07,0.0,0.0,0.0,6.38,14.46,6.67,47.67
2023-02-27,12.38,0.48,0.0,0.48,5.0,17.68,4.91,46.86
2023-02-28,9.49,0.66,0.0,0.66,4.9,12.94,3.32,68.89
2023-03-01,7.76,6.4,0.0,6.4,4.4,12.46,4.18,90.81
2023-03-02,4.93,0.43,0.0,0.43,3.28,6.45,4.59,92.06
2023-03-03,4.85,0.78,0.0,0.78,2.6,8.19,3.68,91.06
2023-03-04,6.07,0.24,0.0,0.24,2.22,9.87,3.53,82.09
2023-03-05,5.44,4.13,0.0,4.13,2.92,9.72,3.42,84.61
2023-03-06,3.83,20.75,0.0,20.75,0.92,7.21,4.83,83.06
2023-03-07,7.35,0.2,0.0,0.2,0.65,12.14,4.97,64.19
2023-03-08,9.02,0.33,0.0,0.33,3.39,13.66,4.81,64.94
2023-03-09,10.14,0.0,0.0,0.0,3.88,14.34,5.49,62.82
2023-03-10,11.98,0.08,0.0,0.08,6.47,15.29,5.19,56.29
2023-03-11,10.59,1.34,0.0,1.34,6.29,14.63,9.67,64.2
2023-03-12,4.22,13.04,0.0,13.04,1.21,7.81,6.14,88.17
2023-03-13,1.93,5.18,5.18,0.0,0.53,3.37,8.25,79.09
2023-03-14,3.35,0.84,0.0,0.84,-0.86,6.15,5.21,74.85
2023-03-15,7.69,0.0,0.0,0.0,-2.1,14.15,3.58,73.07
2023-03-16,5.51,3.85,0.0,3.85,1.93,7.38,2.76,86.26
2023-03-17,2.49,12.46,0.0,12.46,0.75,4.19,5.27,95.59
2023-03-18,3.65,16.06,0.0,16.06,0.5,7.09,5.78,91.47
2023-03-19,3.82,1.24,0.0,1.24,2.61,4.85,4.08,91.74
2023-03-20,5.52,1.37,0.0,1.37,1.33,8.37,3.92,82.69
2023-03-21,4.45,0.0,0.0,0.0,-1.44,12.25,3.0,75.9
2023-03-22,5.73,0.15,0.0,0.15,0.69,8.75,3.12,80.77
2023-03-23,4.54,1.29,0.0,1.29,3.28,5.86,3.84,92.2
2023-03-24,7.08,1.07,0.0,1.07,2.48,10.88,3.57,85.21
2023-03-25,8.73,0.0,0.0,0.0,1.04,14.79,3.18,78.5
2023-03-26,7.56,0.78,0.0,0.78,0.96,13.05,5.1,77.23
2023-03-27,11.22,0.0,0.0,0.0,1.9,17.78,5.24,63.82
2023-03-28,6.43,15.4,0.0,15.4,0.32,14.18,8.49,73.15
2023-03-29,-0.6,8.57,8.57,0.0,-3.79,1.9,7.8,82.78
2023-03-30,-2.4,7.08,7.08,0.0,-5.7,0.25,5.97,83.1
2023-03-31,3.84,1.51,0.0,1.51,-6.79,9.65,5.25,58.8
2023-04-01,12.12,2.16,0.0,2.16,2.54,16.57,5.74,58.13
2023-04-02,10.28,2.66,0.0,2.66,7.02,13.44,5.73,73.49
2023-04-03,12.02,4.79,0.0,4.79,6.93,16.9,4.78,71.16
2023-04-04,12.47,0.64,0.0,0.64,7.15,19.48,6.57,55.85
2023-04-05,5.85,5.32,0.0,5.32,2.96,9.89,6.1,86.39
2023-04-06,6.48,2.59,0.0,2.59,2.59,10.83,4.05,75.76
2023-04-07,4.73,3.91,0.0,3.91,2.57,7.18,6.35,82.02
2023-04-08,6.96,0.0,0.0,0.0,1.63,12.75,5.04,74.11
2023-04-09,8.49,0.0,0.0,0.0,0.13,13.42,4.23,76.17
2023-04-10,5.25,10.27,0.0,10.27,3.45,7.37,3.58,91.85
2023-04-11,5.59,1.59,0.0,1.59,3.11,9.04,7.5,78.41
2023-04-12,6.53,0.49,0.0,0.49,2.78,9.54,6.83,75.86
2023-04-13,6.7,6.38,0.0,6.38,3.35,10.96,6.24,80.44
2023-04-14,14.02,3.16,0.0,3.16,1.56,19.82,5.21,56.92
2023-04-15,16.14,0.29,0.0,0.29,5.56,20.93,4.49,53.02
2023-04-16,12.68,1.61,0.0,1.61,8.53,17.98,4.94,68.99
2023-04-17,13.4,3.1,0.0,3.1,6.46,18.95,4.38,67.88
2023-04-18,12.47,2.07,0.0,2.07,6.37,16.73,5.22,73.67
2023-04-19,9.75,3.39,0.0,3.39,4.95,14.67,4.26,85.61
2023-04-20,8.4,1.59,0.0,1.59,5.33,12.23,5.58,81.48
2023-04-21,8.68,2.24,0.0,2.24,5.68,12.45,5.12,82.47
2023-04-22,10.47,2.27,0.0,2.27,3.32,14.6,4.6,67.56
2023-04-23,7.23,0.0,0.0,0.0,2.75,9.4,4.01,77.89
2023-04-24,10.15,0.43,0.0,0.43,4.28,13.82,4.61,70.05
2023-04-25,13.05,0.6,0.0,0.6,1.62,18.08,4.54,59.55
2023-04-26,12.07,4.94,0.0,4.94,6.89,17.28,5.02,72.34
2023-04-27,7.33,14.49,0.0,14.49,4.37,10.28,5.72,93.47
2023-04-28,4.59,20.23,0.0,20.23,2.5,7.59,8.47,81.85
2023-04-29,3.85,4.68,0.0,4.68,2.19,6.25,5.94,82.52
2023-04-30,6.91,0.74,0.0,0.74,2.25,12.18,6.62,67.86
2023-05-01,9.92,0.0,0.0,0.0,2.15,15.37,5.08,58.47
2023-05-02,8.99,0.0,0.0,0.0,0.77,16.85,5.22,54.48
2023-05-03,13.82,0.0,0.0,0.0,2.53,21.3,3.96,50.78
2023-05-04,13.81,1.4,0.0,1.4,6.05,20.7,4.99,58.85
2023-05-05,10.83,1.0,0.0,1.0,7.71,15.43,4.78,84.14
2023-05-06,8.69,5.98,0.0,5.98,6.55,12.09,5.27,87.32
2023-05-07,9.0,3.66,0.0,3.66,6.12,11.19,4.04,88.99
2023-05-08,10.06,0.03,0.0,0.03,5.56,14.71,4.74,83.62
2023-05-09,9.85,0.19,0.0,0.19,7.32,12.92,6.04,83.53
2023-05-10,7.91,2.46,0.0,2.46,5.82,10.08,6.35,86.71
2023-05-11,9.87,0.6,0.0,0.6,5.6,13.98,6.65,82.59
2023-05-12,9.36,1.26,0.0,1.26,7.12,13.49,5.06,89.12
2023-05-13,10.01,0.09,0.0,0.09,6.06,14.91,5.75,78.79
2023-05-14,11.69,0.0,0.0,0.0,3.43,17.42,5.59,70.0
2023-05-15,14.29,0.0,0.0,0.0,4.8,21.28,4.33,65.48
2023-05-16,19.22,0.0,0.0,0.0,7.53,26.05,4.01,62.48
2023-05-17,14.76,11.35,0.0,11.35,10.24,21.93,6.13,75.2
2023-05-18,12.57,3.19,0.0,3.19,9.13,18.07,5.58,85.6
2023-05-19,10.47,6.5,0.0,6.5,8.25,14.43,5.2,88.65
2023-05-20,12.37,1.48,0.0,1.48,6.97,16.82,5.53,84.67
2023-05-21,13.61,0.69,0.0,0.69,9.51,18.73,4.87,84.41
2023-05-22,12.87,0.03,0.0,0.03,10.06,16.9,5.25,84.79
2023-05-23,11.77,0.3,0.0,0.3,9.47,14.3,4.15,87.59
2023-05-24,13.06,2.04,0.0,2.04,10.32,18.02,4.13,88.52
2023-05-25,13.27,1.25,0.0,1.25,9.26,18.1,4.07,85.46
2023-05-26,14.62,1.07,0.0,1.07,10.38,19.11,4.1,80.75
2023-05-27,14.72,0.05,0.0,0.05,9.72,19.39,4.83,84.54
2023-05-28,13.91,5.77,0.0,5.77,10.45,18.12,4.36,89.46
2023-05-29,14.59,1.85,0.0,1.85,11.51,18.09,3.8,87.13
2023-05-30,14.25,20.78,0.0,20.78,11.52,17.46,4.66,86.41
2023-05-31,15.14,3.19,0.0,3.19,10.78,19.4,3.65,80.14
2023-06-01,13.99,0.0,0.0,0.0,8.07,20.35,4.2,71.62
2023-06-02,16.79,0.0,0.0,0.0,7.82,23.41,4.93,72.34
2023-06-03,14.15,4.89,0.0,4.89,11.15,18.96,4.26,88.59
2023-06-04,13.01,26.98,0.0,26.98,11.73,15.38,5.0,91.98
2023-06-05,14.42,5.58,0.0,5.58,11.32,17.55,5.69,83.06
2023-06-06,16.25,0.0,0.0,0.0,10.7,21.79,5.74,79.15
2023-06-07,17.31,0.0,0.0,0.0,11.43,23.31,5.24,80.94
2023-06-08,17.79,0.0,0.0,0.0,11.32,24.24,4.0,79.76
2023-06-09,15.99,0.0,0.0,0.0,13.05,20.24,4.27,85.33
2023-06-10,16.74,0.0,0.0,0.0,12.51,22.65,5.19,76.95
2023-06-11,17.48,0.0,0.0,0.0,11.14,22.44,5.75,74.28
2023-06-12,15.59,1.41,0.0,1.41,10.83,19.37,6.13,81.89
2023-06-13,15.18,0.78,0.0,0.78,12.36,18.84,4.91,83.06
2023-06-14,16.02,0.24,0.0,0.24,11.22,20.55,4.76,80.68
2023-06-15,18.37,0.31,0.0,0.31,11.22,23.32,5.26,73.23
2023-06-16,20.37,0.0,0.0,0.0,10.2,26.82,5.01,67.97
2023-06-17,17.09,10.07,0.0,10.07,13.89,21.72,5.22,82.81
2023-06-18,16.2,9.48,0.0,9.48,13.71,20.9,5.47,86.92
2023-06-19,15.86,20.21,0.0,20.21,12.98,21.24,5.38,88.19
2023-06-20,15.75,37.02,0.0,37.02,12.78,18.21,6.99,86.47
2023-06-21,17.43,5.18,0.0,5.18,13.25,21.1,4.42,79.95
2023-06-22,17.86,3.46,0.0,3.46,10.48,22.91,5.12,74.63
2023-06-23,18.05,0.0,0.0,0.0,10.59,25.07,5.3,70.5
2023-06-24,21.24,0.0,0.0,0.0,12.36,26.26,4.77,65.76
2023-06-25,19.22,0.0,0.0,0.0,11.51,26.13,4.95,71.43
2023-06-26,18.73,0.9,0.0,0.9,14.06,23.92,5.29,76.68
2023-06-27,17.47,2.57,0.0,2.57,13.0,22.67,5.13,78.29
2023-06-28,18.33,1.36,0.0,1.36,13.13,23.94,5.25,72.94
2023-06-29,16.27,0.0,0.0,0.0,10.3,21.55,4.84,79.82
2023-06-30,18.32,1.32,0.0,1.32,12.37,22.51,5.19,70.22
2023-07-01,19.7,0.0,0.0,0.0,9.35,26.13,5.41,64.67
2023-07-02,21.61,0.0,0.0,0.0,11.35,27.47,5.7,65.22
2023-07-03,22.54,0.0,0.0,0.0,11.73,28.53,5.41,65.49
2023-07-04,21.85,0.0,0.0,0.0,13.63,26.68,5.11,73.17
2023-07-05,22.53,0.0,0.0,0.0,16.12,28.13,4.31,77.1
2023-07-06,22.08,0.84,0.0,0.84,15.49,27.88,4.24,76.29
2023-07-07,22.11,0.62,0.0,0.62,16.7,27.85,5.23,74.16
2023-07-08,16.7,13.11,0.0,13.11,14.54,19.06,6.04,85.94
2023-07-09,14.91,51.52,0.0,51.52,13.4,16.39,9.57,91.19
2023-07-10,18.21,20.17,0.0,20.17,13.3,22.08,6.58,69.41
2023-07-11,19.28,0.03,0.0,0.03,9.51,25.17,5.54,63.2
2023-07-12,21.4,0.0,0.0,0.0,13.08,27.18,5.86,65.6
2023-07-13,21.98,0.0,0.0,0.0,13.22,29.6,4.19,68.48
2023-07-14,23.5,0.0,0.0,0.0,13.74,30.8,4.23,62.15
2023-07-15,20.83,0.0,0.0,0.0,14.79,27.06,6.08,64.83
2023-07-16,20.32,0.0,0.0,0.0,11.15,25.31,6.43,68.5
2023-07-17,20.76,0.0,0.0,0.0,11.51,26.31,6.56,72.88
2023-07-18,21.22,0.0,0.0,0.0,13.83,26.07,6.19,70.6
2023-07-19,21.48,0.0,0.0,0.0,12.08,27.39,5.52,66.15
2023-07-20,22.69,0.0,0.0,0.0,12.4,29.14,5.48,62.29
2023-07-21,23.58,0.0,0.0,0.0,13.35,28.31,5.26,64.02
