,Yedigöller Milli Parkı - Bolu_temp,Yedigöller Milli Parkı - Bolu_prcp,Yedigöller Milli Parkı - Bolu_snow,Yedigöller Milli Parkı - Bolu_rain,Yedigöller Milli Parkı - Bolu_tmin,Yedigöller Milli Parkı - Bolu_tmax,Yedigöller Milli Parkı - Bolu_wspd,Yedigöller Milli Parkı - Bolu_rhum
2023-10-27,17.89,0.9,0.0,0.9,10.44,24.19,4.87,61.56
2023-10-28,18.06,0.0,0.0,0.0,10.18,23.54,4.45,61.75
2023-10-29,16.12,0.59,0.0,0.59,9.71,22.02,3.47,75.94
2023-10-30,15.48,0.0,0.0,0.0,10.31,21.92,2.78,81.76
2023-10-31,15.34,0.0,0.0,0.0,7.3,23.15,2.5,77.26
2023-11-01,14.53,0.0,0.0,0.0,7.51,21.07,3.27,72.7
2023-11-02,12.25,1.96,0.0,1.96,6.64,17.23,3.09,78.83
2023-11-03,15.35,2.32,0.0,2.32,9.08,19.93,5.33,71.16
2023-11-04,18.17,0.0,0.0,0.0,10.27,25.7,6.74,53.61
2023-11-05,17.59,1.07,0.0,1.07,11.48,21.73,6.15,56.51
2023-11-06,14.25,0.89,0.0,0.89,10.08,19.45,5.78,67.62
2023-11-07,15.09,0.0,0.0,0.0,9.09,20.95,3.05,74.88
2023-11-08,14.68,0.0,0.0,0.0,5.62,22.26,3.19,70.35
2023-11-09,9.91,5.0,0.0,5.0,7.05,12.78,4.62,83.42
2023-11-10,10.33,0.38,0.0,0.38,3.91,16.12,3.73,76.49
2023-11-11,16.34,0.0,0.0,0.0,8.95,20.42,6.6,59.89
2023-11-12,10.91,12.86,0.0,12.86,8.73,13.64,6.6,75.24
2023-11-13,9.83,3.18,0.0,3.18,7.16,12.37,3.36,88.47
2023-11-14,9.59,6.93,0.0,6.93,5.13,14.58,4.73,75.28
2023-11-15,11.62,0.0,0.0,0.0,1.73,18.28,4.63,67.01
2023-11-16,7.04,9.53,0.0,9.53,5.3,9.1,6.59,85.47
2023-11-17,7.17,13.88,0.0,13.88,2.52,10.75,4.48,77.42
2023-11-18,7.9,0.0,0.0,0.0,1.95,12.46,7.54,74.15
2023-11-19,0.43,39.83,39.83,0.0,-1.49,1.44,16.65,90.05
2023-11-20,2.62,26.57,0.0,26.57,-0.02,4.92,8.09,86.51
2023-11-21,6.25,1.81,0.0,1.81,1.09,10.81,5.15,77.53
2023-11-22,10.64,0.0,0.0,0.0,3.19,17.04,5.2,68.38
2023-11-23,8.39,5.98,0.0,5.98,5.88,10.67,3.59,90.73
2023-11-24,10.22,1.2,0.0,1.2,4.4,13.75,5.32,83.01
2023-11-25,11.37,2.49,0.0,2.49,7.88,13.24,9.98,63.86
2023-11-26,6.17,11.34,0.0,11.34,-1.11,13.31,14.12,70.83
2023-11-27,-1.33,6.96,6.96,0.0,-3.41,0.31,9.4,73.52
2023-11-28,2.14,0.81,0.0,0.81,-5.84,6.97,7.98,57.67
2023-11-29,8.76,0.0,0.0,0.0,4.53,11.47,10.0,67.62
2023-11-30,8.27,17.85,0.0,17.85,5.02,11.03,4.59,84.96
2023-12-01,11.21,0.07,0.0,0.07,3.97,15.93,5.23,72.97
2023-12-02,12.56,0.0,0.0,0.0,5.09,18.54,5.61,62.94
2023-12-03,12.79,0.0,0.0,0.0,6.66,17.92,4.46,58.97
2023-12-04,6.18,0.47,0.0,0.47,2.52,10.01,4.93,83.63
2023-12-05,6.86,0.29,0.0,0.29,3.73,10.65,3.64,86.34
2023-12-06,6.63,0.35,0.0,0.35,1.97,9.38,2.99,89.02
2023-12-07,8.04,2.61,0.0,2.61,5.53,10.92,2.44,88.16
2023-12-08,5.65,10.42,0.0,10.42,4.43,6.66,4.55,96.86
2023-12-09,5.23,14.95,0.0,14.95,4.33,6.59,6.48,96.12
2023-12-10,4.79,8.27,0.0,8.27,1.13,8.88,5.59,84.54
2023-12-11,5.88,0.0,0.0,0.0,1.44,10.17,2.65,81.29
2023-12-12,4.93,0.32,0.0,0.32,1.26,8.7,3.25,85.62
2023-12-13,6.47,0.59,0.0,0.59,2.42,10.78,4.4,73.03
2023-12-14,9.55,0.0,0.0,0.0,1.55,16.17,5.22,60.2
2023-12-15,8.32,0.0,0.0,0.0,2.54,14.59,4.54,72.61
2023-12-16,5.34,6.27,0.0,6.27,2.06,7.75,7.52,92.91
