,Perşembe Yaylası - Ordu_temp,Perşembe Yaylası - Ordu_prcp,Perşembe Yaylası - Ordu_snow,Perşembe Yaylası - Ordu_rain,Perşembe Yaylası - Ordu_tmin,Perşembe Yaylası - Ordu_tmax,Perşembe Yaylası - Ordu_wspd,Perşembe Yaylası - Ordu_rhum
2022-11-11,4.47,0.15,0.0,0.15,-0.98,7.52,3.5,82.43
2022-11-12,3.07,0.18,0.0,0.18,-1.09,7.9,4.46,84.52
2022-11-13,2.74,0.0,0.0,0.0,-1.68,6.94,3.9,84.75
2022-11-14,2.96,0.0,0.0,0.0,-1.17,7.22,4.74,82.24
2022-11-15,3.93,0.31,0.0,0.31,-1.92,8.71,5.08,73.76
2022-11-16,2.08,1.62,0.0,1.62,-1.97,5.98,5.63,78.41
2022-11-17,4.0,0.0,0.0,0.0,-3.17,10.54,8.5,66.45
2022-11-18,9.08,0.0,0.0,0.0,4.78,12.72,12.28,51.97
2022-11-19,10.36,0.03,0.0,0.03,5.48,15.5,11.93,51.86
2022-11-20,9.33,0.0,0.0,0.0,1.64,16.39,10.28,59.49
2022-11-21,9.04,0.0,0.0,0.0,4.58,14.26,10.53,55.56
2022-11-22,8.34,0.53,0.0,0.53,2.87,11.88,10.2,56.46
2022-11-23,6.16,0.03,0.0,0.03,-1.52,12.21,7.31,71.18
2022-11-24,8.14,0.15,0.0,0.15,3.0,12.04,9.36,58.78
2022-11-25,5.78,13.79,0.0,13.79,2.98,9.11,8.47,75.21
2022-11-26,2.38,27.99,0.0,27.99,0.65,3.73,11.67,88.5
2022-11-27,2.04,3.13,0.0,3.13,-1.89,5.93,7.9,79.21
2022-11-28,0.74,0.0,0.0,0.0,-3.5,4.65,5.42,81.97
2022-11-29,0.45,0.0,0.0,0.0,-3.03,4.15,4.41,84.49
2022-11-30,1.07,0.0,0.0,0.0,-1.54,3.82,3.42,89.1
2022-12-01,2.59,0.0,0.0,0.0,-0.83,6.51,5.51,85.79
2022-12-02,4.17,1.56,0.0,1.56,1.36,8.78,7.43,82.25
2022-12-03,2.53,3.25,0.0,3.25,0.84,5.81,6.65,88.94
2022-12-04,2.37,1.87,0.0,1.87,-0.64,4.78,5.55,85.09
2022-12-05,1.54,0.8,0.8,0.0,-0.77,3.82,4.47,84.4
2022-12-06,1.22,0.31,0.31,0.0,-2.13,5.12,5.33,79.66
2022-12-07,-0.22,0.0,0.0,0.0,-4.51,5.23,5.09,76.76
2022-12-08,0.29,0.0,0.0,0.0,-3.94,6.08,6.36,77.02
2022-12-09,1.17,0.0,0.0,0.0,-3.53,7.34,8.16,74.58
2022-12-10,2.51,0.0,0.0,0.0,-2.34,7.94,9.1,72.52
2022-12-11,6.34,0.2,0.0,0.2,3.15,9.65,12.88,57.29
2022-12-12,6.37,1.16,0.0,1.16,3.54,8.28,11.84,64.12
2022-12-13,6.17,0.78,0.0,0.78,2.27,10.45,12.36,65.36
2022-12-14,1.86,10.84,10.84,0.0,0.24,4.51,9.03,89.21
2022-12-15,4.29,3.07,0.0,3.07,0.56,8.85,5.74,82.61
2022-12-16,5.02,2.13,0.0,2.13,0.81,8.27,6.72,87.35
2022-12-17,3.08,0.0,0.0,0.0,-1.5,9.61,7.3,79.79
2022-12-18,3.11,0.03,0.0,0.03,-0.62,7.46,6.54,77.18
2022-12-19,0.56,11.75,11.75,0.0,-3.27,3.44,11.38,86.95
2022-12-20,-2.79,2.81,2.81,0.0,-4.64,-0.89,11.43,75.07
2022-12-21,-2.47,0.08,0.08,0.0,-6.14,1.37,5.4,77.01
2022-12-22,-3.14,0.0,0.0,0.0,-6.67,0.58,5.75,80.42
2022-12-23,-2.05,0.0,0.0,0.0,-5.95,2.52,5.17,75.66
2022-12-24,-1.99,0.0,0.0,0.0,-6.02,1.82,7.0,69.4
2022-12-25,-0.84,0.09,0.09,0.0,-4.45,3.76,7.29,64.54
2022-12-26,-0.87,3.27,3.27,0.0,-3.01,1.47,6.95,80.04
2022-12-27,-0.89,0.48,0.48,0.0,-5.16,3.34,6.84,76.47
2022-12-28,0.69,5.22,5.22,0.0,-2.64,4.0,11.05,70.78
2022-12-29,-0.94,1.48,1.48,0.0,-5.48,3.38,6.19,79.71
2022-12-30,-2.12,0.0,0.0,0.0,-7.86,5.41,8.27,68.96
2022-12-31,-1.76,0.0,0.0,0.0,-6.88,4.81,6.57,64.16
2023-01-01,-2.7,0.0,0.0,0.0,-8.28,3.74,5.35,66.95
2023-01-02,-3.26,0.0,0.0,0.0,-8.93,3.35,5.17,63.44
2023-01-03,-3.11,0.0,0.0,0.0,-8.54,4.09,4.93,64.69
2023-01-04,-3.18,0.65,0.65,0.0,-9.0,2.68,6.83,67.37
2023-01-05,-0.47,2.16,2.16,0.0,-4.22,4.29,6.32,77.56
2023-01-06,-1.6,3.01,3.01,0.0,-5.96,1.96,8.48,73.79
2023-01-07,-1.74,3.73,3.73,0.0,-3.66,0.14,7.62,85.59
2023-01-08,-2.89,3.66,3.66,0.0,-4.84,-1.2,6.36,87.81
2023-01-09,-4.72,1.03,1.03,0.0,-9.01,0.71,6.37,75.59
2023-01-10,-4.09,0.0,0.0,0.0,-9.89,2.14,7.93,64.86
2023-01-11,-2.09,0.0,0.0,0.0,-9.7,5.48,10.16,60.08
2023-01-12,-1.7,0.0,0.0,0.0,-6.41,4.37,9.56,61.83
2023-01-13,-1.3,0.0,0.0,0.0,-7.7,6.01,9.35,57.67
2023-01-14,-1.27,0.0,0.0,0.0,-6.74,3.78,9.29,66.93
2023-01-15,-2.28,0.0,0.0,0.0,-6.98,2.74,7.0,79.4
2023-01-16,-1.71,0.0,0.0,0.0,-7.44,3.71,7.8,76.09
2023-01-17,0.97,0.0,0.0,0.0,-6.89,8.21,11.59,62.65
2023-01-18,3.14,0.0,0.0,0.0,-3.74,9.79,14.3,56.27
2023-01-19,2.99,0.0,0.0,0.0,-3.83,10.56,10.23,58.01
2023-01-20,1.86,0.0,0.0,0.0,-5.84,9.45,10.26,59.37
2023-01-21,1.51,0.0,0.0,0.0,-5.56,7.95,8.64,60.38
2023-01-22,-1.07,0.0,0.0,0.0,-8.23,5.07,6.34,71.43
2023-01-23,-1.69,0.0,0.0,0.0,-6.66,2.73,6.2,73.55
2023-01-24,-2.14,0.03,0.03,0.0,-6.6,0.84,5.74,81.13
2023-01-25,-1.04,1.04,1.04,0.0,-4.25,1.4,5.31,79.75
2023-01-26,-2.0,0.83,0.83,0.0,-6.72,2.99,7.37,75.86
2023-01-27,-1.11,0.0,0.0,0.0,-9.1,5.97,11.82,59.94
2023-01-28,2.8,1.25,0.0,1.25,-1.67,6.36,14.9,57.42
2023-01-29,-0.82,6.08,6.08,0.0,-4.1,1.94,12.54,82.58
2023-01-30,-2.93,5.58,5.58,0.0,-4.93,-0.41,7.82,86.43
2023-01-31,-3.19,3.99,3.99,0.0,-5.9,-1.33,10.25,87.05
2023-02-01,-4.1,13.01,13.01,0.0,-5.17,-2.92,13.23,91.69
2023-02-02,-4.5,2.92,2.92,0.0,-8.38,-0.87,14.04,72.19
2023-02-03,-3.26,0.27,0.27,0.0,-8.01,0.76,13.99,57.68
2023-02-04,-4.5,0.89,0.89,0.0,-7.74,-1.7,7.61,72.77
2023-02-05,-4.8,0.0,0.0,0.0,-9.41,0.4,7.12,73.14
2023-02-06,-4.74,24.18,24.18,0.0,-6.51,-2.96,15.93,86.8
2023-02-07,-6.23,13.18,13.18,0.0,-8.12,-4.75,27.12,83.5
2023-02-08,-7.64,4.19,4.19,0.0,-11.35,-5.76,20.89,76.13
2023-02-09,-6.33,0.2,0.2,0.0,-9.25,-2.85,13.29,72.42
2023-02-10,-7.12,0.84,0.84,0.0,-10.76,-3.62,8.65,75.75
2023-02-11,-5.61,3.55,3.55,0.0,-8.61,-2.42,7.39,82.65
2023-02-12,-4.9,0.67,0.67,0.0,-7.79,-1.82,8.44,69.61
2023-02-13,-7.11,6.11,6.11,0.0,-12.6,-4.4,15.42,73.39
2023-02-14,-7.34,0.0,0.0,0.0,-12.97,-2.25,9.84,62.42
2023-02-15,-5.54,9.52,9.52,0.0,-8.38,-2.82,18.74,73.56
2023-02-16,-6.4,6.67,6.67,0.0,-9.9,-4.4,19.78,78.24
2023-02-17,-4.58,0.09,0.09,0.0,-10.22,1.12,11.59,61.54
2023-02-18,-0.44,0.26,0.26,0.0,-6.36,4.82,13.8,51.3
2023-02-19,2.02,2.72,0.0,2.72,-1.06,6.44,16.13,61.8
2023-02-20,0.73,9.71,9.71,0.0,-3.81,5.18,14.15,69.03
2023-02-21,-0.41,0.38,0.38,0.0,-6.02,5.25,12.83,67.93
2023-02-22,1.92,0.18,0.18,0.0,-3.81,5.94,13.07,60.0
2023-02-23,-1.97,3.7,3.7,0.0,-4.79,1.74,10.92,81.07
2023-02-24,-2.4,0.0,0.0,0.0,-7.22,3.45,10.76,72.96
2023-02-25,2.5,0.0,0.0,0.0,-5.22,10.05,14.89,46.31
2023-02-26,5.49,0.0,0.0,0.0,0.27,11.31,18.24,44.47
2023-02-27,5.82,0.0,0.0,0.0,-0.52,12.57,14.34,47.37
2023-02-28,4.56,0.0,0.0,0.0,-1.9,10.75,9.51,60.34
2023-03-01,3.31,1.9,0.0,1.9,-0.32,8.35,7.61,79.36
2023-03-02,2.16,5.04,0.0,5.04,-1.6,5.22,9.46,83.0
2023-03-03,1.28,8.42,8.42,0.0,-1.43,4.85,8.8,88.87
2023-03-04,1.75,0.13,0.13,0.0,-1.97,5.94,8.47,80.11
2023-03-05,3.36,8.06,0.0,8.06,0.4,7.12,8.43,79.54
2023-03-06,1.1,6.09,6.09,0.0,-1.9,4.56,16.44,83.1
2023-03-07,1.15,0.0,0.0,0.0,-4.83,7.21,8.24,71.46
2023-03-08,3.0,0.0,0.0,0.0,-3.48,9.77,8.13,60.84
2023-03-09,2.85,0.33,0.0,0.33,-3.57,9.91,8.53,66.21
2023-03-10,4.01,0.92,0.0,0.92,-0.03,9.69,9.94,67.2
2023-03-11,8.29,0.03,0.0,0.03,1.38,14.72,16.62,49.23
2023-03-12,7.23,6.44,0.0,6.44,2.19,12.36,16.35,55.01
2023-03-13,-1.78,22.16,22.16,0.0,-4.18,1.51,20.32,87.48
2023-03-14,-2.79,4.75,4.75,0.0,-5.35,-0.69,9.04,83.54
2023-03-15,-0.52,7.23,7.23,0.0,-3.55,3.32,5.55,90.06
2023-03-16,4.35,0.38,0.0,0.38,0.2,8.83,8.16,81.44
2023-03-17,3.15,0.37,0.0,0.37,0.07,6.14,9.4,82.17
2023-03-18,3.31,1.3,0.0,1.3,1.2,5.23,9.62,81.85
2023-03-19,0.79,7.3,7.3,0.0,-0.47,1.74,16.59,86.93
2023-03-20,-0.86,14.04,14.04,0.0,-1.84,0.61,21.83,87.19
2023-03-21,0.13,2.43,2.43,0.0,-2.63,3.24,8.01,81.46
2023-03-22,2.99,0.0,0.0,0.0,-3.53,6.32,8.16,79.23
2023-03-23,1.35,3.28,3.28,0.0,-0.41,4.12,8.4,83.78
2023-03-24,1.02,1.18,1.18,0.0,-2.17,4.62,7.45,86.34
2023-03-25,2.86,0.04,0.0,0.04,-2.9,7.07,8.2,82.56
2023-03-26,4.86,0.0,0.0,0.0,-3.03,10.6,9.27,74.48
2023-03-27,4.14,0.42,0.0,0.42,-0.61,8.9,9.15,71.44
2023-03-28,5.58,13.69,0.0,13.69,-0.84,14.33,14.72,66.95
2023-03-29,-2.14,26.89,26.89,0.0,-5.56,1.9,24.1,86.92
2023-03-30,-3.77,2.15,2.15,0.0,-7.02,-1.18,12.79,71.63
2023-03-31,-4.18,0.27,0.27,0.0,-8.94,0.43,9.4,66.43
2023-04-01,-0.24,0.0,0.0,0.0,-8.26,8.11,12.36,59.35
2023-04-02,6.0,0.77,0.0,0.77,-1.25,10.87,12.42,64.82
2023-04-03,5.41,0.11,0.0,0.11,1.51,10.75,9.86,77.03
2023-04-04,8.71,0.04,0.0,0.04,0.88,17.12,15.28,58.23
2023-04-05,6.8,0.97,0.0,0.97,1.48,11.21,13.88,65.44
2023-04-06,1.51,6.16,6.16,0.0,-1.69,3.7,9.42,88.47
2023-04-07,1.28,9.76,9.76,0.0,-0.87,4.62,9.53,88.58
2023-04-08,3.19,7.98,0.0,7.98,-0.56,6.38,9.81,77.25
2023-04-09,4.2,0.0,0.0,0.0,-3.33,8.73,8.55,73.44
2023-04-10,4.17,2.05,0.0,2.05,1.53,7.27,9.48,82.36
2023-04-11,3.41,17.2,0.0,17.2,1.27,5.39,11.17,89.91
2023-04-12,3.37,8.33,0.0,8.33,-0.15,6.46,8.57,84.02
2023-04-13,2.5,4.25,0.0,4.25,-1.22,7.3,8.37,82.07
2023-04-14,5.85,1.99,0.0,1.99,-2.28,12.03,9.47,66.08
2023-04-15,8.1,0.0,0.0,0.0,0.06,15.53,9.72,61.1
2023-04-16,7.89,0.84,0.0,0.84,1.95,12.56,7.02,74.04
2023-04-17,9.21,0.27,0.0,0.27,2.8,15.45,7.75,73.46
2023-04-18,10.73,0.16,0.0,0.16,4.3,16.6,11.47,61.48
2023-04-19,9.68,1.63,0.0,1.63,2.99,14.58,14.01,68.79
2023-04-20,4.5,11.83,0.0,11.83,2.41,6.12,10.06,88.1
2023-04-21,4.6,2.93,0.0,2.93,0.6,9.05,9.26,78.12
2023-04-22,5.42,0.38,0.0,0.38,-0.81,8.81,10.28,77.27
2023-04-23,3.96,10.7,0.0,10.7,0.05,8.04,10.0,86.29
2023-04-24,2.7,8.6,0.0,8.6,0.38,4.26,8.98,89.86
2023-04-25,4.56,0.0,0.0,0.0,-2.01,11.42,8.35,75.37
2023-04-26,8.3,0.5,0.0,0.5,1.48,13.77,9.24,69.44
2023-04-27,7.91,6.2,0.0,6.2,3.79,11.58,9.89,73.93
2023-04-28,3.9,8.35,0.0,8.35,1.36,6.68,14.14,87.6
2023-04-29,2.36,10.27,0.0,10.27,0.66,4.41,10.18,83.67
2023-04-30,3.84,2.05,0.0,2.05,-0.42,7.22,7.07,80.84
2023-05-01,4.69,0.38,0.0,0.38,-0.47,8.39,9.19,73.03
2023-05-02,4.01,0.3,0.0,0.3,-1.58,7.59,9.32,73.32
2023-05-03,3.57,0.0,0.0,0.0,-3.19,10.09,8.83,69.78
2023-05-04,7.35,0.0,0.0,0.0,-2.28,13.34,9.02,67.57
2023-05-05,8.43,0.0,0.0,0.0,1.29,13.57,7.54,73.49
2023-05-06,6.87,3.97,0.0,3.97,3.67,11.61,11.89,78.77
2023-05-07,5.62,4.07,0.0,4.07,2.0,9.18,10.82,84.67
2023-05-08,5.51,5.13,0.0,5.13,3.35,7.66,14.46,88.37
2023-05-09,6.02,0.0,0.0,0.0,1.92,10.94,7.83,81.48
2023-05-10,5.01,3.55,0.0,3.55,2.64,7.72,8.8,86.99
2023-05-11,4.22,5.64,0.0,5.64,2.57,6.44,11.48,86.76
2023-05-12,5.08,5.74,0.0,5.74,3.03,7.39,9.8,86.67
2023-05-13,4.61,4.65,0.0,4.65,2.95,6.18,11.88,86.85
2023-05-14,6.44,0.96,0.0,0.96,0.51,11.04,12.94,72.8
2023-05-15,8.05,0.0,0.0,0.0,-0.65,13.6,8.02,67.18
2023-05-16,7.83,0.0,0.0,0.0,1.32,14.88,8.24,64.73
2023-05-17,7.96,0.36,0.0,0.36,1.62,14.11,6.93,72.77
2023-05-18,9.25,2.37,0.0,2.37,3.53,16.05,10.54,77.18
2023-05-19,8.62,9.43,0.0,9.43,5.08,13.24,9.03,81.41
2023-05-20,8.2,0.32,0.0,0.32,5.59,12.56,7.96,82.6
2023-05-21,7.99,3.12,0.0,3.12,4.69,12.0,7.93,85.57
2023-05-22,8.59,4.56,0.0,4.56,4.72,13.94,8.61,83.75
2023-05-23,8.47,3.61,0.0,3.61,5.3,11.5,10.4,86.07
2023-05-24,8.72,2.11,0.0,2.11,5.21,13.36,8.24,85.45
2023-05-25,9.11,0.6,0.0,0.6,5.06,12.89,8.38,85.46
2023-05-26,10.23,3.28,0.0,3.28,5.03,15.37,8.05,83.85
2023-05-27,11.39,0.0,0.0,0.0,5.09,15.42,8.22,80.96
2023-05-28,10.73,0.41,0.0,0.41,6.56,14.12,8.89,84.67
2023-05-29,12.31,0.12,0.0,0.12,6.47,16.3,10.82,78.1
2023-05-30,12.03,0.87,0.0,0.87,7.38,16.83,10.53,79.5
2023-05-31,9.81,7.96,0.0,7.96,6.86,13.6,8.18,85.57
2023-06-01,11.59,0.8,0.0,0.8,6.6,15.42,6.6,79.72
2023-06-02,12.39,0.0,0.0,0.0,6.16,16.96,8.96,79.52
2023-06-03,14.02,0.28,0.0,0.28,8.23,19.4,10.42,78.59
2023-06-04,11.65,3.7,0.0,3.7,8.77,14.71,11.74,84.95
2023-06-05,11.04,19.17,0.0,19.17,8.6,14.33,14.83,87.27
2023-06-06,11.11,4.15,0.0,4.15,8.76,13.04,17.13,84.26
2023-06-07,12.38,0.0,0.0,0.0,5.86,16.19,7.4,77.03
2023-06-08,12.66,0.0,0.0,0.0,5.1,17.68,7.64,77.45
2023-06-09,13.3,1.93,0.0,1.93,9.76,16.56,8.02,85.29
2023-06-10,12.03,3.54,0.0,3.54,8.76,16.46,8.05,83.84
2023-06-11,12.9,5.87,0.0,5.87,7.76,17.95,8.04,82.95
2023-06-12,12.13,2.41,0.0,2.41,9.64,14.91,7.13,88.66
2023-06-13,11.78,15.29,0.0,15.29,9.44,15.52,7.3,86.69
2023-06-14,11.58,6.45,0.0,6.45,9.41,14.71,9.19,87.16
2023-06-15,12.72,6.66,0.0,6.66,9.67,15.46,10.39,81.21
2023-06-16,14.4,0.0,0.0,0.0,6.98,18.41,7.64,76.33
2023-06-17,13.85,0.2,0.0,0.2,7.04,19.87,8.65,77.25
2023-06-18,12.5,13.6,0.0,13.6,9.46,16.21,9.52,86.06
2023-06-19,12.55,0.65,0.0,0.65,8.43,16.47,7.34,86.75
2023-06-20,12.25,6.39,0.0,6.39,9.47,15.3,13.53,85.14
2023-06-21,12.3,2.71,0.0,2.71,9.38,15.8,16.58,81.06
2023-06-22,12.88,6.05,0.0,6.05,8.2,16.28,16.1,78.61
2023-06-23,12.91,1.33,0.0,1.33,8.51,17.1,16.72,73.4
2023-06-24,13.06,1.87,0.0,1.87,6.39,19.8,7.78,72.15
2023-06-25,14.55,0.0,0.0,0.0,7.45,19.94,7.63,77.73
2023-06-26,13.76,0.0,0.0,0.0,7.8,19.95,7.17,76.44
2023-06-27,14.33,0.34,0.0,0.34,9.84,18.35,11.41,75.22
2023-06-28,14.69,0.37,0.0,0.37,10.76,19.86,7.99,76.67
2023-06-29,14.38,1.96,0.0,1.96,10.24,19.8,10.48,75.9
2023-06-30,12.27,6.67,0.0,6.67,8.48,15.88,12.47,77.14
2023-07-01,12.33,0.0,0.0,0.0,5.59,18.57,7.96,67.87
2023-07-02,14.6,0.0,0.0,0.0,5.97,20.84,8.68,67.75
2023-07-03,15.89,0.0,0.0,0.0,8.57,23.08,7.94,65.53
2023-07-04,17.32,0.0,0.0,0.0,10.7,21.08,8.96,71.37
2023-07-05,15.37,0.0,0.0,0.0,9.01,21.22,8.18,69.88
2023-07-06,15.89,0.0,0.0,0.0,9.38,22.05,7.66,70.98
2023-07-07,17.09,0.08,0.0,0.08,11.97,19.94,8.84,77.49
2023-07-08,15.81,7.84,0.0,7.84,11.13,21.28,10.49,77.17
2023-07-09,13.67,14.48,0.0,14.48,11.24,17.85,11.05,82.65
2023-07-10,12.16,15.37,0.0,15.37,9.52,14.49,18.28,84.96
2023-07-11,12.45,1.33,0.0,1.33,7.25,18.19,10.7,70.15
2023-07-12,15.54,0.0,0.0,0.0,6.91,20.97,8.91,64.94
2023-07-13,16.46,0.0,0.0,0.0,9.46,20.45,8.41,70.7
2023-07-14,16.3,0.0,0.0,0.0,8.06,21.81,7.76,68.69
2023-07-15,16.4,0.83,0.0,0.83,9.29,20.16,11.12,70.05
2023-07-16,15.41,4.58,0.0,4.58,11.38,18.77,12.49,77.66
2023-07-17,14.98,0.92,0.0,0.92,8.96,18.98,11.01,69.5
2023-07-18,12.79,0.0,0.0,0.0,6.31,18.62,9.83,69.64
2023-07-19,14.89,0.0,0.0,0.0,7.5,19.48,8.71,71.87
2023-07-20,16.34,0.0,0.0,0.0,8.26,21.54,7.77,70.49
2023-07-21,15.22,0.0,0.0,0.0,8.73,21.44,8.01,69.87
2023-07-22,16.95,0.0,0.0,0.0,9.8,21.55,8.15,70.85
2023-07-23,17.41,0.0,0.0,0.0,10.05,23.7,8.16,65.38
2023-07-24,15.11,6.82,0.0,6.82,11.41,19.22,13.99,75.16
2023-07-25,14.48,0.63,0.0,0.63,10.7,19.16,11.82,72.12
2023-07-26,16.54,0.0,0.0,0.0,7.92,22.12,9.19,70.55
2023-07-27,19.83,0.0,0.0,0.0,10.02,28.13,9.18,64.3
2023-07-28,15.56,2.05,0.0,2.05,12.25,19.12,16.93,67.56
2023-07-29,13.52,0.32,0.0,0.32,8.13,18.63,10.35,69.86
2023-07-30,14.06,0.82,0.0,0.82,10.2,17.73,9.74,73.18
2023-07-31,13.92,0.06,0.0,0.06,8.85,19.82,7.84,71.57
2023-08-01,17.04,0.0,0.0,0.0,8.52,22.36,8.32,69.67
2023-08-02,18.48,0.09,0.0,0.09,11.88,23.56,9.09,71.74
2023-08-03,17.32,0.0,0.0,0.0,12.41,23.03,8.19,72.37
2023-08-04,17.83,0.0,0.0,0.0,10.83,22.75,7.59,72.18
2023-08-05,18.41,0.0,0.0,0.0,10.9,24.01,8.77,74.47
2023-08-06,20.06,0.0,0.0,0.0,12.47,26.95,9.27,68.68
2023-08-07,19.73,0.0,0.0,0.0,14.23,26.7,11.41,66.37
2023-08-08,19.33,0.48,0.0,0.48,13.66,23.51,10.68,75.25
2023-08-09,16.85,0.67,0.0,0.67,14.42,20.46,17.97,75.39
2023-08-10,18.27,3.06,0.0,3.06,13.97,22.19,10.94,78.7
2023-08-11,17.22,2.26,0.0,2.26,13.57,21.03,13.26,79.32
2023-08-12,17.2,9.18,0.0,9.18,14.61,19.56,14.62,80.18
2023-08-13,17.96,0.82,0.0,0.82,13.66,22.03,8.35,76.82
2023-08-14,19.37,0.0,0.0,0.0,12.24,25.1,8.24,74.56
2023-08-15,19.34,0.0,0.0,0.0,11.75,25.81,7.41,68.09
2023-08-16,18.66,0.0,0.0,0.0,11.22,23.73,7.36,71.59
2023-08-17,18.6,0.0,0.0,0.0,11.48,24.01,7.35,72.85
2023-08-18,18.94,0.0,0.0,0.0,11.92,23.27,9.56,72.27
2023-08-19,17.76,0.09,0.0,0.09,12.64,23.3,9.55,75.49
2023-08-20,16.73,0.15,0.0,0.15,10.94,22.24,8.33,73.46
2023-08-21,17.9,0.0,0.0,0.0,11.06,22.77,8.1,73.67
2023-08-22,18.29,0.26,0.0,0.26,10.74,23.15,8.46,68.25
2023-08-23,17.7,0.0,0.0,0.0,9.58,22.8,8.56,67.57
2023-08-24,16.11,0.32,0.0,0.32,10.63,21.93,8.65,70.99
2023-08-25,16.46,0.0,0.0,0.0,9.89,20.97,10.78,67.81
2023-08-26,14.86,0.0,0.0,0.0,8.26,21.66,9.31,68.24
2023-08-27,15.62,0.09,0.0,0.09,8.94,20.94,9.83,72.43
2023-08-28,16.35,0.27,0.0,0.27,11.92,19.78,11.49,75.4
2023-08-29,17.28,0.69,0.0,0.69,11.93,21.76,17.6,69.98
2023-08-30,17.21,0.0,0.0,0.0,10.02,24.63,9.47,63.84
2023-08-31,19.51,0.0,0.0,0.0,10.83,25.61,7.82,63.03
2023-09-01,18.6,0.15,0.0,0.15,13.56,22.95,13.48,65.2
2023-09-02,17.45,2.97,0.0,2.97,13.55,21.37,15.31,76.15
2023-09-03,15.95,14.84,0.0,14.84,12.96,19.25,18.73,78.99
2023-09-04,15.33,2.98,0.0,2.98,12.28,18.92,15.18,75.84
2023-09-05,16.11,0.09,0.0,0.09,11.11,21.01,10.17,76.98
2023-09-06,16.77,3.1,0.0,3.1,12.91,20.12,9.81,79.54
2023-09-07,16.0,1.47,0.0,1.47,11.75,19.44,15.28,75.35
2023-09-08,14.75,0.39,0.0,0.39,10.38,18.3,15.53,68.73
2023-09-09,13.21,0.0,0.0,0.0,8.17,17.6,13.08,63.07
2023-09-10,10.55,0.53,0.0,0.53,5.18,14.85,9.98,70.43
2023-09-11,10.24,0.06,0.0,0.06,3.64,14.96,11.62,66.75
2023-09-12,9.4,0.49,0.0,0.49,4.06,14.94,11.76,70.61
2023-09-13,9.66,0.0,0.0,0.0,3.82,15.37,9.47,69.94
2023-09-14,10.22,0.0,0.0,0.0,2.33,15.85,7.88,70.57
2023-09-15,11.25,0.0,0.0,0.0,3.86,16.49,7.44,71.92
2023-09-16,11.71,0.25,0.0,0.25,5.12,16.88,8.89,74.64
2023-09-17,11.66,1.56,0.0,1.56,8.01,16.26,13.74,76.61
2023-09-18,10.68,0.0,0.0,0.0,5.2,15.71,13.87,68.11
2023-09-19,10.54,0.0,0.0,0.0,3.76,15.68,8.68,72.92
2023-09-20,11.68,0.03,0.0,0.03,6.2,16.84,9.38,76.73
2023-09-21,12.46,0.0,0.0,0.0,6.36,17.83,7.6,74.02
2023-09-22,12.87,0.0,0.0,0.0,5.24,19.52,7.01,73.42
2023-09-23,13.45,0.0,0.0,0.0,6.49,19.28,6.36,71.86
2023-09-24,13.3,0.0,0.0,0.0,5.84,19.53,6.31,70.72
2023-09-25,13.35,0.0,0.0,0.0,6.81,18.17,7.44,73.59
2023-09-26,12.67,0.0,0.0,0.0,8.56,17.34,8.7,74.26
2023-09-27,12.43,0.0,0.0,0.0,5.83,17.95,6.78,74.44
2023-09-28,13.19,0.0,0.0,0.0,6.27,20.74,7.01,71.96
2023-09-29,14.39,0.08,0.0,0.08,8.71,19.33,7.85,72.1
2023-09-30,13.62,0.78,0.0,0.78,8.45,17.55,7.8,76.46
2023-10-01,11.46,9.73,0.0,9.73,9.04,14.17,6.5,84.42
2023-10-02,10.28,30.18,0.0,30.18,7.91,12.0,17.89,86.94
2023-10-03,8.58,6.16,0.0,6.16,6.03,10.89,15.11,82.77
2023-10-04,8.36,0.23,0.0,0.23,3.5,12.91,9.34,71.81
2023-10-05,8.14,0.0,0.0,0.0,1.21,14.44,7.82,72.42
2023-10-06,8.11,0.0,0.0,0.0,1.0,14.2,6.8,74.16
2023-10-07,8.58,0.0,0.0,0.0,1.97,14.42,7.09,75.36
2023-10-08,9.7,0.0,0.0,0.0,1.58,17.26,7.88,68.81
2023-10-09,6.2,8.54,0.0,8.54,2.0,10.15,13.36,76.79
2023-10-10,6.09,0.09,0.0,0.09,1.87,11.01,7.19,75.36
2023-10-11,5.35,3.63,0.0,3.63,0.49,9.61,9.62,79.68
2023-10-12,5.43,2.31,0.0,2.31,-0.61,11.04,7.64,74.96
2023-10-13,6.01,0.0,0.0,0.0,-2.04,13.37,7.31,71.42
2023-10-14,6.75,0.0,0.0,0.0,-1.77,14.07,7.91,68.56
2023-10-15,7.87,0.52,0.0,0.52,0.01,13.45,7.07,72.98
2023-10-16,9.94,2.97,0.0,2.97,5.94,14.89,9.67,76.33
2023-10-17,6.53,7.02,0.0,7.02,3.46,9.42,13.65,74.0
2023-10-18,4.42,8.08,0.0,8.08,1.73,6.06,7.27,86.52
2023-10-19,5.9,12.4,0.0,12.4,2.01,9.43,8.96,84.8
2023-10-20,6.91,0.0,0.0,0.0,-0.54,14.95,8.76,73.29
2023-10-21,9.88,0.0,0.0,0.0,1.82,18.26,8.77,65.5
2023-10-22,9.83,0.0,0.0,0.0,3.85,15.71,5.9,69.43
2023-10-23,10.28,0.0,0.0,0.0,4.1,16.56,6.19,71.84
2023-10-24,10.45,1.16,0.0,1.16,3.76,17.1,7.48,72.76
2023-10-25,10.76,0.0,0.0,0.0,3.47,16.16,8.08,72.05
