,Perşembe Yaylası - Ordu_temp,Perşembe Yaylası - Ordu_prcp,Perşembe Yaylası - Ordu_snow,Perşembe Yaylası - Ordu_rain,Perşembe Yaylası - Ordu_tmin,Perşembe Yaylası - Ordu_tmax,Perşembe Yaylası - Ordu_wspd,Perşembe Yaylası - Ordu_rhum
2022-06-01,12.76,0.2,0.0,0.2,8.68,17.65,7.27,77.77
2022-06-02,12.39,0.53,0.0,0.53,8.89,16.09,8.01,79.16
2022-06-03,14.14,0.45,0.0,0.45,10.19,19.29,8.57,74.94
2022-06-04,13.45,0.09,0.0,0.09,9.2,16.96,9.87,76.37
2022-06-05,14.68,0.0,0.0,0.0,9.97,20.22,10.76,74.75
2022-06-06,13.33,0.0,0.0,0.0,10.07,17.29,8.35,81.23
2022-06-07,12.65,0.44,0.0,0.44,10.01,16.22,9.17,81.05
2022-06-08,14.41,0.15,0.0,0.15,9.04,19.5,6.56,77.45
2022-06-09,14.02,2.7,0.0,2.7,9.99,18.5,6.74,81.36
2022-06-10,14.49,1.92,0.0,1.92,9.81,20.58,7.14,79.53
2022-06-11,14.94,0.99,0.0,0.99,10.05,22.0,7.7,77.67
2022-06-12,13.53,8.03,0.0,8.03,10.23,18.39,8.94,81.67
2022-06-13,13.28,12.12,0.0,12.12,10.35,17.45,7.09,80.46
2022-06-14,13.3,5.36,0.0,5.36,11.12,16.48,7.81,82.25
2022-06-15,13.97,11.28,0.0,11.28,8.56,19.15,7.01,74.18
2022-06-16,13.97,0.25,0.0,0.25,9.18,17.75,8.63,73.62
2022-06-17,13.27,0.06,0.0,0.06,9.41,17.75,7.57,76.67
2022-06-18,13.78,0.15,0.0,0.15,8.7,17.88,8.02,74.58
2022-06-19,13.92,0.22,0.0,0.22,9.01,17.24,8.47,73.9
2022-06-20,14.15,0.0,0.0,0.0,7.66,19.92,6.46,69.55
2022-06-21,14.81,1.32,0.0,1.32,8.67,19.98,11.56,73.87
2022-06-22,14.73,2.07,0.0,2.07,10.38,20.6,11.55,67.51
2022-06-23,13.49,0.82,0.0,0.82,7.66,19.14,7.2,57.8
2022-06-24,10.99,1.41,0.0,1.41,7.27,15.08,6.74,74.47
2022-06-25,11.72,3.93,0.0,3.93,6.7,16.77,7.19,78.2
2022-06-26,10.93,6.94,0.0,6.94,7.04,15.2,6.56,80.58
2022-06-27,11.07,2.03,0.0,2.03,7.11,15.53,6.53,79.71
2022-06-28,11.9,4.63,0.0,4.63,8.75,16.02,5.63,82.29
2022-06-29,13.06,1.86,0.0,1.86,9.08,16.63,7.42,83.89
2022-06-30,14.35,3.51,0.0,3.51,10.92,17.38,6.96,81.56
2022-07-01,13.47,1.39,0.0,1.39,10.22,16.39,9.87,81.39
2022-07-02,15.01,0.47,0.0,0.47,9.03,19.3,10.49,69.76
2022-07-03,13.66,0.0,0.0,0.0,8.69,17.09,11.56,66.9
2022-07-04,13.31,0.0,0.0,0.0,6.39,18.11,8.96,70.12
2022-07-05,14.39,0.18,0.0,0.18,8.31,18.85,8.76,72.69
2022-07-06,14.08,0.0,0.0,0.0,7.88,19.65,7.99,73.75
2022-07-07,15.1,0.0,0.0,0.0,9.25,20.93,6.32,73.33
2022-07-08,15.51,0.0,0.0,0.0,9.23,21.05,7.67,70.47
2022-07-09,16.87,0.0,0.0,0.0,10.2,22.02,8.02,71.7
2022-07-10,16.27,1.12,0.0,1.12,11.82,20.23,9.15,75.93
2022-07-11,15.51,0.25,0.0,0.25,11.86,18.93,10.07,72.52
2022-07-12,13.61,8.52,0.0,8.52,9.79,16.64,8.45,75.35
2022-07-13,14.38,3.56,0.0,3.56,9.74,17.93,7.73,74.64
2022-07-14,13.66,1.68,0.0,1.68,11.2,16.66,10.87,72.32
2022-07-15,13.47,1.28,0.0,1.28,10.53,16.41,8.74,75.32
2022-07-16,14.5,1.63,0.0,1.63,10.89,17.49,11.02,74.15
2022-07-17,16.19,3.3,0.0,3.3,13.34,18.54,15.4,76.12
2022-07-18,14.02,11.87,0.0,11.87,12.25,15.68,16.3,80.57
2022-07-19,13.48,1.08,0.0,1.08,11.01,15.58,15.83,70.6
2022-07-20,13.65,0.24,0.0,0.24,9.93,16.74,14.91,71.95
2022-07-21,13.04,3.56,0.0,3.56,9.12,16.11,10.12,71.3
2022-07-22,14.06,0.38,0.0,0.38,7.27,18.8,9.12,70.4
2022-07-23,14.67,0.03,0.0,0.03,7.84,19.79,8.92,69.56
2022-07-24,13.88,1.91,0.0,1.91,8.28,18.09,8.83,74.18
2022-07-25,14.62,1.4,0.0,1.4,7.66,19.72,7.26,70.29
2022-07-26,14.98,0.0,0.0,0.0,7.99,19.59,6.42,70.39
2022-07-27,14.9,0.0,0.0,0.0,8.83,22.69,8.02,68.69
2022-07-28,15.03,0.0,0.0,0.0,8.6,20.71,8.62,71.38
2022-07-29,15.7,0.0,0.0,0.0,9.65,21.83,9.47,72.05
2022-07-30,15.31,0.0,0.0,0.0,9.44,21.19,7.05,69.22
