,Erfelek Tatlıca Şelaleleri - Sinop_temp,Erfelek Tatlıca Şelaleleri - Sinop_prcp,Erfelek Tatlıca Şelaleleri - Sinop_snow,Erfelek Tatlıca Şelaleleri - Sinop_rain,Erfelek Tatlıca Şelaleleri - Sinop_tmin,Erfelek Tatlıca Şelaleleri - Sinop_tmax,Erfelek Tatlıca Şelaleleri - Sinop_wspd,Erfelek Tatlıca Şelaleleri - Sinop_rhum
2022-04-21,6.89,0.14,0.0,0.14,4.47,9.65,21.4,81.94
2022-04-22,7.99,0.0,0.0,0.0,4.46,11.58,14.72,81.57
2022-04-23,8.62,0.0,0.0,0.0,6.29,11.35,14.99,85.57
2022-04-24,11.77,0.0,0.0,0.0,8.48,15.01,11.56,73.64
2022-04-25,11.25,0.0,0.0,0.0,8.6,14.33,12.82,74.29
2022-04-26,11.41,0.0,0.0,0.0,8.89,14.54,13.09,72.47
2022-04-27,11.32,0.0,0.0,0.0,8.02,15.04,6.86,74.2
2022-04-28,10.27,0.0,0.0,0.0,8.28,13.06,6.7,85.27
2022-04-29,9.61,0.0,0.0,0.0,7.06,12.52,8.85,90.61
2022-04-30,8.93,0.0,0.0,0.0,7.47,10.89,8.79,94.81
2022-05-01,9.46,2.88,0.0,2.88,8.36,10.93,15.24,92.81
2022-05-02,9.48,0.0,0.0,0.0,7.42,11.74,11.42,85.21
2022-05-03,8.92,0.97,0.0,0.97,7.16,10.87,10.39,85.6
2022-05-04,8.3,1.03,0.0,1.03,7.71,9.21,9.08,92.04
2022-05-05,9.7,0.39,0.0,0.39,7.84,12.82,20.46,79.2
2022-05-06,8.37,14.21,0.0,14.21,7.77,8.89,19.03,92.74
2022-05-07,7.71,3.56,0.0,3.56,6.84,8.35,19.16,86.39
2022-05-08,8.8,1.63,0.0,1.63,6.57,10.47,15.58,82.78
2022-05-09,9.46,0.0,0.0,0.0,5.82,12.17,6.9,82.06
2022-05-10,10.44,0.0,0.0,0.0,6.38,14.2,7.56,75.49
2022-05-11,10.09,0.0,0.0,0.0,5.6,12.82,8.09,81.31
2022-05-12,11.48,0.0,0.0,0.0,7.2,14.83,8.31,68.0
2022-05-13,13.28,0.0,0.0,0.0,8.53,17.24,12.66,61.04
2022-05-14,13.54,0.0,0.0,0.0,9.31,17.38,12.89,69.61
2022-05-15,14.36,0.0,0.0,0.0,8.93,18.69,7.75,64.99
2022-05-16,14.77,0.0,0.0,0.0,10.74,18.09,9.06,62.57
2022-05-17,14.57,0.0,0.0,0.0,10.51,18.41,7.79,67.34
2022-05-18,15.33,0.28,0.0,0.28,11.14,21.7,17.06,66.06
2022-05-19,10.51,4.78,0.0,4.78,8.21,13.27,21.79,77.98
2022-05-20,12.45,0.66,0.0,0.66,9.67,15.84,15.79,70.15
2022-05-21,14.12,0.0,0.0,0.0,8.24,18.75,9.44,65.05
