tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Şahinkaya Kanyonu - Samsun_temp,Şahinkaya Kanyonu - Samsun_prcp,Şahinkaya Kanyonu - Samsun_snow,Şahinkaya Kanyonu - Samsun_rain,Şahinkaya Kanyonu - Samsun_wspd,Şahinkaya Kanyonu - Samsun_rhum
2023.06.12 - 2023.06.18,1416.0,2.0,4.0,708.15,19.66,19.91,0.0,19.91,6.27,79.11
2023.06.19 - 2023.06.25,2124.0,3.0,4.33,708.15,20.97,33.49,0.0,33.49,8.14,78.38
2023.06.26 - 2023.07.02,4248.0,6.0,5.0,708.15,22.0,17.54,0.0,17.54,8.95,71.9
2023.07.03 - 2023.07.09,12745.0,18.0,3.97,708.15,23.01,5.67,0.0,5.67,8.53,68.49
2023.07.10 - 2023.07.16,11329.0,16.0,4.3,708.15,24.34,37.91,0.0,37.91,9.93,69.33
2023.07.17 - 2023.07.23,5664.0,8.0,4.42,708.15,23.97,2.99,0.0,2.99,8.86,64.95
2023.07.24 - 2023.07.30,5664.0,8.0,4.9,708.15,24.56,1.94,0.0,1.94,9.38,61.8
2023.07.31 - 2023.08.06,9205.0,13.0,4.62,708.15,23.53,9.0,0.0,9.0,9.8,63.51
2023.08.07 - 2023.08.13,7081.0,10.0,4.42,708.15,25.84,0.08,0.0,0.08,9.17,67.18
2023.08.14 - 2023.08.20,12038.0,17.0,4.88,708.15,25.58,3.11,0.0,3.11,12.99,69.72
2023.08.21 - 2023.08.27,9913.0,14.0,4.83,708.15,26.47,0.0,0.0,0.0,8.75,66.65
2023.08.28 - 2023.09.03,11329.0,16.0,4.4,708.15,25.01,0.0,0.0,0.0,9.36,61.43
2023.09.04 - 2023.09.10,10622.0,15.0,4.88,708.15,25.29,26.62,0.0,26.62,9.82,66.9
2023.09.11 - 2023.09.17,12037.0,17.0,4.61,708.15,21.64,0.23,0.0,0.23,10.05,67.61
2023.09.18 - 2023.09.24,4248.0,6.0,4.8,708.15,19.44,4.54,0.0,4.54,8.71,65.47
2023.09.25 - 2023.10.01,7789.0,11.0,4.17,708.15,20.89,0.15,0.0,0.15,7.22,69.68
2023.10.02 - 2023.10.08,2124.0,3.0,5.0,708.15,20.93,35.69,0.0,35.69,6.5,76.31
2023.10.09 - 2023.10.15,4248.0,6.0,5.0,708.15,16.92,10.85,0.0,10.85,5.59,69.2
2023.10.16 - 2023.10.22,708.0,1.0,2.0,708.15,15.74,6.29,0.0,6.29,5.76,69.15
2023.10.23 - 2023.10.29,1416.0,2.0,5.0,708.15,16.68,41.35,0.0,41.35,5.27,69.97
2023.10.30 - 2023.11.05,708.0,1.0,5.0,708.15,19.66,0.0,0.0,0.0,5.12,61.64
