tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Erfelek Tatlıca Şelaleleri - Sinop_temp,Erfelek Tatlıca Şelaleleri - Sinop_prcp,Erfelek Tatlıca Şelaleleri - Sinop_snow,Erfelek Tatlıca Şelaleleri - Sinop_rain,Erfelek Tatlıca Şelaleleri - Sinop_wspd,Erfelek Tatlıca Şelaleleri - Sinop_rhum
2025.03.03 - 2025.03.09,0.0,0.0,,265.04,1.65,19.58,8.78,10.8,14.03,80.1
2025.03.10 - 2025.03.16,265.0,1.0,4.0,265.04,4.52,0.48,0.0,0.48,11.33,76.61
2025.03.17 - 2025.03.23,265.0,1.0,5.0,265.04,9.74,0.0,0.0,0.0,13.94,59.8
2025.03.24 - 2025.03.30,0.0,0.0,,265.04,2.75,2.95,2.03,0.92,16.44,78.76
2025.03.31 - 2025.04.06,795.0,3.0,4.75,265.04,9.77,0.94,0.0,0.94,11.49,79.13
2025.04.07 - 2025.04.13,5300.0,20.0,4.79,265.04,7.68,7.82,0.0,7.82,12.68,89.19
2025.04.14 - 2025.04.20,1060.0,4.0,4.5,265.04,3.15,39.95,2.4,37.55,18.79,77.22
2025.04.21 - 2025.04.27,1325.0,5.0,5.0,265.04,7.41,2.99,0.0,2.99,13.9,85.43
2025.04.28 - 2025.05.04,1855.0,7.0,4.9,265.04,7.88,8.74,0.0,8.74,10.96,86.87
2025.05.05 - 2025.05.11,2385.0,9.0,4.57,265.04,8.11,0.53,0.0,0.53,11.74,80.73
2025.05.12 - 2025.05.18,3180.0,12.0,4.47,265.04,11.6,6.73,0.0,6.73,10.9,81.86
2025.05.19 - 2025.05.25,3975.0,15.0,4.95,265.04,11.27,12.55,0.0,12.55,14.9,78.29
2025.05.26 - 2025.06.01,3975.0,15.0,4.81,265.04,14.75,0.85,0.0,0.85,15.47,71.96
2025.06.02 - 2025.06.08,4240.0,16.0,4.36,265.04,14.58,0.93,0.0,0.93,11.65,77.97
2025.06.09 - 2025.06.15,9010.0,34.0,4.62,265.04,17.13,0.0,0.0,0.0,12.14,71.65
2025.06.16 - 2025.06.22,8215.0,31.0,4.77,265.04,17.9,4.92,0.0,4.92,15.72,76.26
2025.06.23 - 2025.06.29,7950.0,30.0,4.38,265.04,18.11,6.52,0.0,6.52,14.16,69.45
2025.06.30 - 2025.07.06,6890.0,26.0,4.71,265.04,19.56,9.42,0.0,9.42,14.82,66.78
2025.07.07 - 2025.07.13,7155.0,27.0,4.78,265.04,19.29,9.53,0.0,9.53,15.98,72.17
2025.07.14 - 2025.07.20,14045.0,53.0,4.22,265.04,21.44,0.35,0.0,0.35,14.53,76.75
2025.07.21 - 2025.07.27,15635.0,59.0,4.17,265.04,22.15,2.16,0.0,2.16,11.9,71.28
2025.07.28 - 2025.08.03,15900.0,60.0,4.28,265.04,23.53,0.0,0.0,0.0,12.19,73.69
2025.08.04 - 2025.08.10,18020.0,68.0,4.59,265.04,22.51,3.79,0.0,3.79,12.57,78.35
2025.08.11 - 2025.08.17,19082.0,72.0,4.6,265.04,23.03,0.52,0.0,0.52,13.71,71.26
2025.08.18 - 2025.08.24,19080.0,72.0,4.43,265.04,21.49,0.29,0.0,0.29,12.64,64.95
2025.08.25 - 2025.08.31,15370.0,58.0,4.25,265.04,20.29,5.86,0.0,5.86,15.36,76.42
2025.09.01 - 2025.09.07,19346.0,73.0,4.55,265.04,20.24,0.05,0.0,0.05,11.46,74.26
2025.09.08 - 2025.09.14,12455.0,47.0,4.63,265.04,20.14,17.42,0.0,17.42,13.01,76.76
2025.09.15 - 2025.09.21,6890.0,26.0,4.32,265.04,17.9,19.65,0.0,19.65,13.4,76.75
2025.09.22 - 2025.09.28,4770.0,18.0,4.39,265.04,16.31,28.81,0.0,28.81,20.03,74.49
2025.09.29 - 2025.10.05,3710.0,14.0,4.64,265.04,14.51,22.61,0.0,22.61,13.02,77.3
2025.10.06 - 2025.10.12,3710.0,14.0,4.11,265.04,14.82,12.97,0.0,12.97,13.45,80.71
2025.10.13 - 2025.10.19,3445.0,13.0,4.61,265.04,13.08,47.11,0.0,47.11,17.42,82.92
2025.10.20 - 2025.10.26,2385.0,9.0,4.07,265.04,12.31,30.94,0.0,30.94,13.56,83.8
2025.10.27 - 2025.11.02,530.0,2.0,5.0,265.04,13.82,16.74,0.0,16.74,11.87,79.58
2025.11.03 - 2025.11.09,3710.0,14.0,4.88,265.04,12.07,30.63,0.0,30.63,15.46,78.5
2025.11.10 - 2025.11.16,2120.0,8.0,5.0,265.04,12.84,0.24,0.0,0.24,12.58,88.08
2025.11.17 - 2025.11.23,1855.0,7.0,4.4,265.04,10.1,18.58,0.0,18.58,12.83,81.38
2025.11.24 - 2025.11.30,2385.0,9.0,4.5,265.04,13.84,1.9,0.0,1.9,11.95,62.17
2025.12.01 - 2025.12.07,795.0,3.0,5.0,265.04,11.01,13.48,0.0,13.48,11.98,76.41
2025.12.08 - 2025.12.14,265.0,1.0,5.0,265.04,10.29,2.41,0.0,2.41,14.66,76.98
2025.12.15 - 2025.12.21,265.0,1.0,5.0,265.04,7.01,65.4,0.0,65.4,16.08,87.33
2025.12.22 - 2025.12.28,530.0,2.0,3.5,265.04,5.89,23.0,0.0,23.0,12.52,81.14
2025.12.29 - 2026.01.04,795.0,3.0,5.0,265.04,3.57,80.34,62.73,17.61,20.96,85.53
2026.01.05 - 2026.01.11,0.0,0.0,,265.04,2.02,22.96,20.46,2.5,20.51,77.0
