tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Şaşvat karagöl - Artvin_temp,Şaşvat karagöl - Artvin_prcp,Şaşvat karagöl - Artvin_snow,Şaşvat karagöl - Artvin_rain,Şaşvat karagöl - Artvin_wspd,Şaşvat karagöl - Artvin_rhum
2025.05.05 - 2025.05.11,4280.0,4.0,4.0,1069.52,4.02,17.04,0.0,17.04,8.12,77.43
2025.05.12 - 2025.05.18,2140.0,2.0,4.5,1069.52,8.56,10.12,0.0,10.12,9.12,66.95
2025.05.19 - 2025.05.25,4279.0,4.0,4.5,1069.52,5.31,47.49,15.67,31.82,9.6,78.14
2025.05.26 - 2025.06.01,3209.0,3.0,4.75,1069.52,9.22,1.44,0.0,1.44,8.91,65.21
2025.06.02 - 2025.06.08,7489.0,7.0,4.6,1069.52,8.59,19.07,0.0,19.07,8.63,78.46
2025.06.09 - 2025.06.15,11766.0,11.0,4.04,1069.52,9.47,2.37,0.0,2.37,8.25,76.45
2025.06.16 - 2025.06.22,12836.0,12.0,4.33,1069.52,10.27,30.28,0.0,30.28,8.51,79.99
2025.06.23 - 2025.06.29,18182.0,17.0,4.08,1069.52,8.92,18.67,0.0,18.67,9.49,74.5
2025.06.30 - 2025.07.06,17113.0,16.0,4.25,1069.52,10.69,8.48,0.0,8.48,9.67,69.15
2025.07.07 - 2025.07.13,11766.0,11.0,4.39,1069.52,9.32,25.36,0.0,25.36,9.38,80.53
2025.07.14 - 2025.07.20,28879.0,27.0,4.54,1069.52,15.43,3.24,0.0,3.24,7.83,76.72
2025.07.21 - 2025.07.27,24601.0,23.0,4.45,1069.52,15.02,25.12,0.0,25.12,7.32,80.5
2025.07.28 - 2025.08.03,24600.0,23.0,4.57,1069.52,16.04,3.81,0.0,3.81,7.87,78.33
2025.08.04 - 2025.08.10,25670.0,24.0,4.77,1069.52,17.93,7.16,0.0,7.16,8.13,75.3
2025.08.11 - 2025.08.17,20322.0,19.0,4.83,1069.52,15.47,16.18,0.0,16.18,8.66,79.24
2025.08.18 - 2025.08.24,32087.0,30.0,4.4,1069.52,13.11,0.6,0.0,0.6,9.76,72.82
2025.08.25 - 2025.08.31,21391.0,20.0,4.5,1069.52,14.54,29.1,0.0,29.1,10.05,72.33
2025.09.01 - 2025.09.07,22462.0,21.0,4.15,1069.52,15.05,2.55,0.0,2.55,8.76,73.78
2025.09.08 - 2025.09.14,19252.0,18.0,4.68,1069.52,13.41,40.39,0.0,40.39,7.52,81.09
2025.09.15 - 2025.09.21,3210.0,3.0,5.0,1069.52,9.87,21.36,0.0,21.36,9.18,80.34
2025.09.22 - 2025.09.28,8558.0,8.0,4.8,1069.52,7.18,84.16,0.0,84.16,11.4,78.84
2025.09.29 - 2025.10.05,5349.0,5.0,5.0,1069.52,7.88,5.71,0.0,5.71,7.98,74.71
2025.10.06 - 2025.10.12,4279.0,4.0,5.0,1069.52,8.6,15.59,0.0,15.59,8.05,75.68
2025.10.13 - 2025.10.19,6419.0,6.0,4.0,1069.52,6.6,53.9,19.12,34.78,9.47,74.15
2025.10.20 - 2025.10.26,5348.0,5.0,5.0,1069.52,4.5,16.8,0.0,16.8,7.86,77.28
2025.10.27 - 2025.11.02,5349.0,5.0,5.0,1069.52,5.1,21.59,0.0,21.59,11.41,74.84
2025.11.03 - 2025.11.09,4280.0,4.0,4.0,1069.52,3.18,23.73,0.11,23.62,11.18,68.53
2025.11.10 - 2025.11.16,11766.0,11.0,4.62,1069.52,4.64,0.0,0.0,0.0,9.29,61.17
2025.11.17 - 2025.11.23,3210.0,3.0,4.33,1069.52,3.94,4.78,0.0,4.78,8.84,71.78
2025.11.24 - 2025.11.30,2140.0,2.0,5.0,1069.52,3.6,0.0,0.0,0.0,12.68,45.62
2025.12.01 - 2025.12.07,2139.0,2.0,3.0,1069.52,1.96,10.94,10.88,0.06,10.27,54.57
2025.12.08 - 2025.12.14,0.0,0.0,,1069.52,-0.09,6.97,4.23,2.74,11.69,69.16
2025.12.15 - 2025.12.21,2140.0,2.0,5.0,1069.52,-2.43,59.82,59.82,0.0,8.84,84.81
2025.12.22 - 2025.12.28,0.0,0.0,,1069.52,-4.63,9.21,9.21,0.0,8.34,68.31
2025.12.29 - 2026.01.04,2140.0,2.0,4.5,1069.52,-5.6,49.18,49.18,0.0,9.08,78.98
2026.01.05 - 2026.01.11,0.0,0.0,,1069.52,-8.24,18.95,18.95,0.0,16.37,71.66
