tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Valla Kanyonu - Kastamonu_temp,Valla Kanyonu - Kastamonu_prcp,Valla Kanyonu - Kastamonu_snow,Valla Kanyonu - Kastamonu_rain,Valla Kanyonu - Kastamonu_wspd,Valla Kanyonu - Kastamonu_rhum
2025.06.02 - 2025.06.08,2259.0,7.0,5.0,322.58,15.27,9.77,0.0,9.77,9.54,82.19
2025.06.09 - 2025.06.15,6774.0,21.0,4.4,322.58,18.0,0.06,0.0,0.06,8.98,71.18
2025.06.16 - 2025.06.22,3549.0,11.0,4.93,322.58,18.5,1.17,0.0,1.17,11.06,77.99
2025.06.23 - 2025.06.29,3871.0,12.0,5.0,322.58,18.63,1.0,0.0,1.0,11.14,67.02
2025.06.30 - 2025.07.06,3872.0,12.0,4.53,322.58,20.19,7.82,0.0,7.82,10.93,59.68
2025.07.07 - 2025.07.13,1936.0,6.0,4.25,322.58,19.38,4.2,0.0,4.2,11.48,70.25
2025.07.14 - 2025.07.20,4839.0,15.0,4.2,322.58,22.28,0.86,0.0,0.86,10.57,72.78
2025.07.21 - 2025.07.27,7097.0,22.0,4.4,322.58,22.48,1.96,0.0,1.96,10.14,68.59
2025.07.28 - 2025.08.03,4839.0,15.0,4.05,322.58,23.52,0.0,0.0,0.0,9.77,61.31
2025.08.04 - 2025.08.10,5807.0,18.0,4.96,322.58,22.99,10.41,0.0,10.41,9.47,77.95
2025.08.11 - 2025.08.17,6775.0,21.0,4.76,322.58,22.97,0.99,0.0,0.99,10.49,72.8
2025.08.18 - 2025.08.24,2260.0,7.0,4.83,322.58,20.82,0.04,0.0,0.04,9.96,69.65
2025.08.25 - 2025.08.31,7097.0,22.0,4.45,322.58,20.6,2.13,0.0,2.13,11.25,74.49
2025.09.01 - 2025.09.07,6452.0,20.0,4.72,322.58,20.23,0.0,0.0,0.0,10.97,68.55
2025.09.08 - 2025.09.14,3227.0,10.0,5.0,322.58,19.5,12.12,0.0,12.12,11.0,77.68
2025.09.15 - 2025.09.21,1936.0,6.0,4.62,322.58,17.87,2.26,0.0,2.26,11.7,76.96
2025.09.22 - 2025.09.28,1613.0,5.0,4.33,322.58,15.63,28.16,0.0,28.16,14.93,73.06
2025.09.29 - 2025.10.05,4195.0,13.0,4.75,322.58,14.64,22.12,0.0,22.12,10.07,76.08
2025.10.06 - 2025.10.12,3227.0,10.0,4.86,322.58,14.72,15.84,0.0,15.84,11.2,76.91
2025.10.13 - 2025.10.19,1936.0,6.0,5.0,322.58,12.33,50.16,0.0,50.16,15.03,80.16
2025.10.20 - 2025.10.26,969.0,3.0,5.0,322.58,11.72,22.61,0.0,22.61,10.06,84.97
2025.10.27 - 2025.11.02,646.0,2.0,5.0,322.58,13.29,13.1,0.0,13.1,11.0,78.99
2025.11.03 - 2025.11.09,1615.0,5.0,5.0,322.58,11.29,25.69,0.0,25.69,11.01,72.88
2025.11.10 - 2025.11.16,1291.0,4.0,5.0,322.58,12.73,0.78,0.0,0.78,8.05,80.25
2025.11.17 - 2025.11.23,1936.0,6.0,4.62,322.58,9.21,19.37,0.0,19.37,10.8,80.68
2025.11.24 - 2025.11.30,1938.0,6.0,4.33,322.58,13.24,8.4,0.0,8.4,12.15,59.79
2025.12.01 - 2025.12.07,969.0,3.0,5.0,322.58,9.92,9.9,0.0,9.9,10.44,77.66
2025.12.08 - 2025.12.14,969.0,3.0,4.67,322.58,8.46,10.32,0.0,10.32,9.79,75.6
2025.12.15 - 2025.12.21,323.0,1.0,5.0,322.58,6.29,46.15,0.0,46.15,12.43,89.01
2025.12.22 - 2025.12.28,323.0,1.0,5.0,322.58,4.66,13.18,0.0,13.18,10.76,78.28
2025.12.29 - 2026.01.04,323.0,1.0,5.0,322.58,3.14,73.76,61.38,12.38,13.84,87.23
2026.01.05 - 2026.01.11,0.0,0.0,,322.58,0.8,24.76,22.98,1.78,16.0,76.58
