tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Kuzalan şelalesi Tabiat Parkı - Giresun_temp,Kuzalan şelalesi Tabiat Parkı - Giresun_prcp,Kuzalan şelalesi Tabiat Parkı - Giresun_snow,Kuzalan şelalesi Tabiat Parkı - Giresun_rain,Kuzalan şelalesi Tabiat Parkı - Giresun_wspd,Kuzalan şelalesi Tabiat Parkı - Giresun_rhum
2025.05.26 - 2025.06.01,2547.0,9.0,4.43,283.02,14.3,0.22,0.0,0.22,9.25,72.58
2025.06.02 - 2025.06.08,1415.0,5.0,4.6,283.02,13.96,20.38,0.0,20.38,11.36,82.49
2025.06.09 - 2025.06.15,3396.0,12.0,4.0,283.02,15.66,27.12,0.0,27.12,9.22,77.93
2025.06.16 - 2025.06.22,3679.0,13.0,4.72,283.02,17.22,5.15,0.0,5.15,11.31,76.45
2025.06.23 - 2025.06.29,2547.0,9.0,4.6,283.02,16.55,3.3,0.0,3.3,10.43,70.95
2025.06.30 - 2025.07.06,3396.0,12.0,4.58,283.02,17.72,21.17,0.0,21.17,12.22,68.09
2025.07.07 - 2025.07.13,3396.0,12.0,4.79,283.02,17.05,20.98,0.0,20.98,13.07,75.6
2025.07.14 - 2025.07.20,5377.0,19.0,4.62,283.02,21.47,2.74,0.0,2.74,8.27,73.89
2025.07.21 - 2025.07.27,6226.0,22.0,4.77,283.02,21.64,8.9,0.0,8.9,11.06,74.94
2025.07.28 - 2025.08.03,8207.0,29.0,4.64,283.02,22.65,0.95,0.0,0.95,10.14,72.87
2025.08.04 - 2025.08.10,5943.0,21.0,4.33,283.02,23.14,29.5,0.0,29.5,12.87,78.3
2025.08.11 - 2025.08.17,13584.0,48.0,4.64,283.02,22.49,14.13,0.0,14.13,13.36,76.14
2025.08.18 - 2025.08.24,10471.0,37.0,4.28,283.02,21.02,0.15,0.0,0.15,10.19,64.24
2025.08.25 - 2025.08.31,16131.0,57.0,4.37,283.02,20.95,29.4,0.0,29.4,13.23,71.27
2025.09.01 - 2025.09.07,9339.0,33.0,4.59,283.02,19.5,2.92,0.0,2.92,9.65,72.94
2025.09.08 - 2025.09.14,5943.0,21.0,3.96,283.02,19.4,47.21,0.0,47.21,10.32,81.69
2025.09.15 - 2025.09.21,4811.0,17.0,4.79,283.02,17.59,4.07,0.0,4.07,11.29,73.73
2025.09.22 - 2025.09.28,3113.0,11.0,4.13,283.02,15.05,50.58,0.0,50.58,18.92,75.06
2025.09.29 - 2025.10.05,1698.0,6.0,4.8,283.02,14.62,2.74,0.0,2.74,12.32,74.47
2025.10.06 - 2025.10.12,1132.0,4.0,4.67,283.02,14.49,40.53,0.0,40.53,10.27,78.0
2025.10.13 - 2025.10.19,849.0,3.0,5.0,283.02,13.15,30.94,0.0,30.94,13.37,73.77
2025.10.20 - 2025.10.26,1132.0,4.0,5.0,283.02,11.41,19.55,0.0,19.55,10.75,76.63
2025.10.27 - 2025.11.02,0.0,0.0,,283.02,13.22,13.85,0.0,13.85,12.69,72.87
2025.11.03 - 2025.11.09,1415.0,5.0,4.0,283.02,11.01,21.54,0.0,21.54,11.75,69.42
2025.11.10 - 2025.11.16,1132.0,4.0,4.17,283.02,11.67,0.21,0.0,0.21,9.19,69.37
2025.11.17 - 2025.11.23,566.0,2.0,5.0,283.02,9.86,83.57,0.0,83.57,12.52,77.31
2025.11.24 - 2025.11.30,1415.0,5.0,4.11,283.02,12.33,0.0,0.0,0.0,12.6,49.61
2025.12.01 - 2025.12.07,1132.0,4.0,4.5,283.02,10.09,4.69,0.0,4.69,10.19,64.68
2025.12.08 - 2025.12.14,849.0,3.0,4.33,283.02,8.2,3.74,0.0,3.74,10.15,69.73
2025.12.15 - 2025.12.21,283.0,1.0,4.0,283.02,5.71,64.83,0.0,64.83,12.78,83.9
2025.12.22 - 2025.12.28,283.0,1.0,4.0,283.02,4.35,16.32,0.0,16.32,10.46,69.85
2025.12.29 - 2026.01.04,283.0,1.0,5.0,283.02,3.19,31.49,12.21,19.28,13.87,75.12
2026.01.05 - 2026.01.11,0.0,0.0,,283.02,2.11,6.55,0.0,6.55,25.04,56.89
