tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Horma Kanyonu - Kastamonu_temp,Horma Kanyonu - Kastamonu_prcp,Horma Kanyonu - Kastamonu_snow,Horma Kanyonu - Kastamonu_rain,Horma Kanyonu - Kastamonu_wspd,Horma Kanyonu - Kastamonu_rhum
2023.06.12 - 2023.06.18,3243.0,14.0,5.0,231.7,16.83,1.75,0.0,1.75,7.05,79.33
2023.06.19 - 2023.06.25,4634.0,20.0,4.89,231.7,17.38,45.4,0.0,45.4,7.66,82.45
2023.06.26 - 2023.07.02,7876.0,34.0,4.98,231.7,18.72,15.98,0.0,15.98,8.61,72.96
2023.07.03 - 2023.07.09,12049.0,52.0,4.86,231.7,19.41,2.55,0.0,2.55,8.44,70.4
2023.07.10 - 2023.07.16,15293.0,66.0,4.85,231.7,20.59,50.05,0.0,50.05,10.84,75.15
2023.07.17 - 2023.07.23,9268.0,40.0,4.94,231.7,21.26,0.43,0.0,0.43,9.79,63.44
2023.07.24 - 2023.07.30,12048.0,52.0,4.89,231.7,22.11,3.31,0.0,3.31,9.17,59.64
2023.07.31 - 2023.08.06,12511.0,54.0,4.92,231.7,21.24,7.98,0.0,7.98,10.23,60.56
2023.08.07 - 2023.08.13,13669.0,59.0,4.92,231.7,23.41,0.0,0.0,0.0,9.0,61.06
2023.08.14 - 2023.08.20,12976.0,56.0,4.86,231.7,21.93,7.94,0.0,7.94,9.4,73.94
2023.08.21 - 2023.08.27,14828.0,64.0,4.97,231.7,23.74,0.0,0.0,0.0,8.83,65.02
2023.08.28 - 2023.09.03,13206.0,57.0,4.88,231.7,22.39,0.0,0.0,0.0,9.35,61.69
2023.09.04 - 2023.09.10,16682.0,72.0,4.88,231.7,22.08,9.95,0.0,9.95,9.68,68.05
2023.09.11 - 2023.09.17,9731.0,42.0,4.78,231.7,18.63,1.87,0.0,1.87,9.25,73.56
2023.09.18 - 2023.09.24,9268.0,40.0,4.95,231.7,16.81,0.07,0.0,0.07,9.56,64.7
2023.09.25 - 2023.10.01,7183.0,31.0,4.98,231.7,18.62,0.0,0.0,0.0,8.43,68.77
2023.10.02 - 2023.10.08,2780.0,12.0,4.93,231.7,17.57,20.47,0.0,20.47,9.17,80.75
2023.10.09 - 2023.10.15,5559.0,24.0,4.93,231.7,14.52,9.08,0.0,9.08,10.35,72.05
2023.10.16 - 2023.10.22,4170.0,18.0,4.9,231.7,13.3,13.91,0.0,13.91,10.3,75.23
2023.10.23 - 2023.10.29,3244.0,14.0,4.91,231.7,14.46,12.5,0.0,12.5,9.07,73.0
2023.10.30 - 2023.11.05,4402.0,19.0,4.96,231.7,17.23,1.77,0.0,1.77,9.46,68.39
2023.11.06 - 2023.11.12,3938.0,17.0,4.38,231.7,16.42,4.76,0.0,4.76,10.87,71.28
2023.11.13 - 2023.11.19,6255.0,27.0,4.58,231.7,13.08,25.31,0.0,25.31,11.53,76.8
2023.11.20 - 2023.11.26,3242.0,14.0,4.83,231.7,8.15,97.76,0.0,97.76,15.13,78.81
2023.11.27 - 2023.12.03,1853.0,8.0,5.0,231.7,8.81,26.39,4.16,22.23,17.59,73.88
2023.12.04 - 2023.12.10,927.0,4.0,5.0,231.7,10.28,14.25,0.0,14.25,13.84,70.56
2023.12.11 - 2023.12.17,696.0,3.0,5.0,231.7,6.99,26.15,0.0,26.15,8.47,92.46
2023.12.18 - 2023.12.24,695.0,3.0,5.0,231.7,6.12,20.4,6.21,14.19,10.26,80.42
2023.12.25 - 2023.12.31,696.0,3.0,5.0,231.7,5.57,36.25,20.12,16.13,14.32,76.19
2024.01.01 - 2024.01.07,232.0,1.0,5.0,234.18,7.69,0.16,0.0,0.16,10.74,73.02
2024.01.08 - 2024.01.14,498.0,2.0,5.0,249.11,8.34,33.56,0.0,33.56,12.53,72.68
2024.01.15 - 2024.01.21,498.0,2.0,5.0,249.11,0.94,17.9,13.12,4.78,12.34,78.13
2024.01.22 - 2024.01.28,498.0,2.0,4.0,249.11,5.22,19.53,12.87,6.66,12.58,79.27
2024.01.29 - 2024.02.04,747.0,3.0,5.0,249.11,0.5,29.08,21.86,7.22,11.35,81.95
2024.02.05 - 2024.02.11,249.0,1.0,5.0,249.11,2.45,6.57,2.9,3.67,12.1,77.01
2024.02.12 - 2024.02.18,498.0,2.0,5.0,249.11,11.5,0.58,0.0,0.58,13.19,58.52
2024.02.19 - 2024.02.25,996.0,4.0,4.5,249.11,5.81,20.32,0.0,20.32,9.6,86.67
2024.02.26 - 2024.03.03,747.0,3.0,4.5,249.11,6.79,3.17,0.0,3.17,7.54,74.05
2024.03.04 - 2024.03.10,498.0,2.0,3.0,249.11,7.77,0.81,0.0,0.81,6.71,81.13
2024.03.11 - 2024.03.17,1494.0,6.0,4.83,249.11,5.29,37.31,0.0,37.31,9.16,83.96
2024.03.18 - 2024.03.24,498.0,2.0,5.0,249.11,7.35,22.27,0.0,22.27,7.64,82.45
2024.03.25 - 2024.03.31,498.0,2.0,5.0,249.11,4.83,36.45,8.66,27.79,11.49,80.88
2024.04.01 - 2024.04.07,0.0,0.0,,249.11,12.01,4.11,0.0,4.11,11.47,63.25
2024.04.08 - 2024.04.14,1743.0,7.0,5.0,249.11,11.7,1.97,0.0,1.97,10.72,65.43
2024.04.15 - 2024.04.21,14947.0,60.0,4.98,249.11,12.48,0.0,0.0,0.0,10.46,76.95
2024.04.22 - 2024.04.28,6476.0,26.0,4.83,249.11,15.31,4.23,0.0,4.23,12.97,62.75
2024.04.29 - 2024.05.05,5480.0,22.0,4.95,249.11,15.31,6.97,0.0,6.97,9.49,74.39
2024.05.06 - 2024.05.12,2988.0,12.0,4.88,249.11,10.64,33.19,0.0,33.19,8.77,87.05
2024.05.13 - 2024.05.19,2988.0,12.0,4.43,249.11,12.36,10.92,0.0,10.92,9.72,75.07
2024.05.20 - 2024.05.26,2988.0,12.0,5.0,249.11,12.07,3.79,0.0,3.79,8.75,78.67
2024.05.27 - 2024.06.02,3486.0,14.0,4.67,249.11,14.95,7.49,0.0,7.49,9.19,79.94
2024.06.03 - 2024.06.09,2739.0,11.0,5.0,249.11,18.44,6.27,0.0,6.27,8.07,73.33
2024.06.10 - 2024.06.16,4233.0,17.0,4.56,249.11,21.51,0.83,0.0,0.83,8.53,70.32
2024.06.17 - 2024.06.23,4234.0,17.0,4.64,249.11,21.79,4.81,0.0,4.81,10.58,67.85
2024.06.24 - 2024.06.30,17190.0,69.0,4.64,249.11,21.33,0.0,0.0,0.0,8.73,68.95
2024.07.01 - 2024.07.07,11460.0,46.0,4.95,249.11,20.34,0.34,0.0,0.34,10.69,69.62
2024.07.08 - 2024.07.14,9965.0,40.0,4.84,249.11,21.38,7.75,0.0,7.75,10.75,72.73
2024.07.15 - 2024.07.21,10962.0,44.0,4.94,249.11,22.71,13.81,0.0,13.81,10.58,75.44
2024.07.22 - 2024.07.28,14697.0,59.0,4.53,249.11,24.67,3.14,0.0,3.14,10.82,72.15
2024.07.29 - 2024.08.04,13702.0,55.0,4.97,249.11,22.25,43.35,0.0,43.35,10.68,74.99
2024.08.05 - 2024.08.11,11958.0,48.0,4.9,249.11,22.09,2.42,0.0,2.42,10.33,71.3
2024.08.12 - 2024.08.18,18434.0,74.0,4.93,249.11,22.54,1.06,0.0,1.06,9.88,72.85
2024.08.19 - 2024.08.25,12706.0,51.0,4.74,249.11,21.19,0.0,0.0,0.0,9.51,66.83
