tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Hıdırnebi yaylası - Trabzon_temp,Hıdırnebi yaylası - Trabzon_prcp,Hıdırnebi yaylası - Trabzon_snow,Hıdırnebi yaylası - Trabzon_rain,Hıdırnebi yaylası - Trabzon_wspd,Hıdırnebi yaylası - Trabzon_rhum
2025.01.20 - 2025.01.26,136.0,1.0,5.0,135.96,-0.63,38.32,38.32,0.0,9.7,83.91
2025.01.27 - 2025.02.02,136.0,1.0,5.0,135.96,0.18,5.67,5.67,0.0,6.2,69.21
2025.02.03 - 2025.02.09,136.0,1.0,3.0,135.96,0.06,0.06,0.06,0.0,4.77,59.92
2025.02.10 - 2025.02.16,272.0,2.0,5.0,135.96,-3.23,39.49,39.49,0.0,10.29,77.55
2025.02.17 - 2025.02.23,272.0,2.0,3.0,135.96,-1.28,9.43,9.43,0.0,8.54,71.56
2025.02.24 - 2025.03.02,272.0,2.0,5.0,135.96,-7.0,43.22,43.22,0.0,15.49,74.37
2025.03.03 - 2025.03.09,272.0,2.0,4.5,135.96,-3.83,11.71,11.71,0.0,8.13,72.0
2025.03.10 - 2025.03.16,0.0,0.0,,135.96,0.08,0.86,0.86,0.0,4.87,74.31
2025.03.17 - 2025.03.23,136.0,1.0,5.0,135.96,10.05,0.0,0.0,0.0,12.25,50.38
2025.03.24 - 2025.03.30,0.0,0.0,,135.96,-1.28,18.66,17.5,1.16,9.8,75.35
2025.03.31 - 2025.04.06,272.0,2.0,5.0,135.96,7.34,15.33,0.0,15.33,9.14,70.09
2025.04.07 - 2025.04.13,1088.0,8.0,4.62,135.96,5.69,31.91,0.0,31.91,10.53,77.7
2025.04.14 - 2025.04.20,544.0,4.0,4.67,135.96,-0.69,71.17,66.36,4.81,12.76,78.4
2025.04.21 - 2025.04.27,1632.0,12.0,5.0,135.96,2.68,13.58,8.95,4.63,9.28,84.93
2025.04.28 - 2025.05.04,1904.0,14.0,4.67,135.96,4.72,23.12,0.0,23.12,9.23,85.18
2025.05.05 - 2025.05.11,1768.0,13.0,4.78,135.96,5.14,15.7,0.0,15.7,8.68,79.09
2025.05.12 - 2025.05.18,4760.0,35.0,4.58,135.96,9.17,29.25,0.0,29.25,9.93,75.9
2025.05.19 - 2025.05.25,3672.0,27.0,4.62,135.96,7.29,33.29,0.0,33.29,10.51,76.07
2025.05.26 - 2025.06.01,4760.0,35.0,4.67,135.96,10.52,0.41,0.0,0.41,8.62,67.97
2025.06.02 - 2025.06.08,4488.0,33.0,4.66,135.96,10.26,19.95,0.0,19.95,9.51,79.75
