tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2023.05.01 - 2023.05.07,1722.0,2.0,5.0,861.42,6.72,34.15,0.0,34.15,11.74,75.84
2023.05.08 - 2023.05.14,1723.0,2.0,5.0,861.42,8.03,10.57,0.0,10.57,11.72,72.85
2023.05.15 - 2023.05.21,2583.0,3.0,4.67,861.42,7.95,23.7,0.0,23.7,11.52,80.23
2023.05.22 - 2023.05.28,4307.0,5.0,4.83,861.42,10.85,24.03,0.0,24.03,9.94,74.86
2023.05.29 - 2023.06.04,0.0,0.0,,861.42,11.91,22.66,0.0,22.66,11.2,80.97
2023.06.05 - 2023.06.11,3444.0,4.0,4.75,861.42,13.4,27.68,0.0,27.68,11.47,80.62
2023.06.12 - 2023.06.18,861.0,1.0,5.0,861.42,14.19,21.78,0.0,21.78,10.05,82.2
2023.06.19 - 2023.06.25,1723.0,2.0,5.0,861.42,14.34,38.87,0.0,38.87,9.57,82.33
2023.06.26 - 2023.07.02,6891.0,8.0,4.94,861.42,14.5,18.78,0.0,18.78,13.05,77.57
2023.07.03 - 2023.07.09,8613.0,10.0,4.44,861.42,15.6,7.63,0.0,7.63,10.42,70.38
2023.07.10 - 2023.07.16,18089.0,21.0,4.35,861.42,17.08,33.88,0.0,33.88,12.24,74.62
2023.07.17 - 2023.07.23,9475.0,11.0,4.86,861.42,16.52,6.87,0.0,6.87,12.97,67.54
2023.07.24 - 2023.07.30,13783.0,16.0,4.54,861.42,17.16,5.67,0.0,5.67,11.76,66.62
2023.07.31 - 2023.08.06,9475.0,11.0,4.69,861.42,17.25,4.0,0.0,4.0,12.19,67.92
2023.08.07 - 2023.08.13,7752.0,9.0,4.92,861.42,20.69,0.12,0.0,0.12,10.61,64.19
2023.08.14 - 2023.08.20,6029.0,7.0,4.3,861.42,20.83,19.3,0.0,19.3,12.17,71.18
2023.08.21 - 2023.08.27,12921.0,15.0,4.62,861.42,20.15,0.19,0.0,0.19,9.84,65.65
2023.08.28 - 2023.09.03,16366.0,19.0,4.61,861.42,18.05,1.32,0.0,1.32,11.57,66.32
2023.09.04 - 2023.09.10,9475.0,11.0,4.37,861.42,18.94,10.84,0.0,10.84,13.76,68.73
2023.09.11 - 2023.09.17,6890.0,8.0,4.92,861.42,15.52,6.5,0.0,6.5,13.98,69.56
2023.09.18 - 2023.09.24,1722.0,2.0,5.0,861.42,11.97,0.8,0.0,0.8,11.79,69.61
2023.09.25 - 2023.10.01,1722.0,2.0,5.0,861.42,14.82,0.09,0.0,0.09,8.6,65.51
2023.10.02 - 2023.10.08,1722.0,2.0,5.0,861.42,14.17,36.99,0.0,36.99,9.51,73.42
2023.10.09 - 2023.10.15,6890.0,8.0,4.5,861.42,9.99,11.7,0.0,11.7,11.12,70.26
2023.10.16 - 2023.10.22,3445.0,4.0,5.0,861.42,9.02,7.19,0.0,7.19,9.41,68.92
2023.10.23 - 2023.10.29,6030.0,7.0,5.0,861.42,9.76,24.19,0.0,24.19,9.77,72.68
2023.10.30 - 2023.11.05,6891.0,8.0,4.8,861.42,13.2,1.11,0.0,1.11,11.55,61.23
2023.11.06 - 2023.11.12,10336.0,12.0,4.9,861.42,11.99,6.03,0.0,6.03,12.51,66.58
2023.11.13 - 2023.11.19,3445.0,4.0,2.67,861.42,10.28,12.63,0.0,12.63,13.5,63.9
2023.11.20 - 2023.11.26,6891.0,8.0,5.0,861.42,6.14,49.8,0.0,49.8,16.59,75.5
2023.11.27 - 2023.12.03,4305.0,5.0,4.6,861.42,5.74,29.13,15.49,13.64,19.8,69.1
2023.12.04 - 2023.12.10,3445.0,4.0,4.83,861.42,4.68,1.38,0.0,1.38,14.72,67.18
2023.12.11 - 2023.12.17,861.0,1.0,3.0,861.42,4.95,11.59,0.0,11.59,12.82,81.23
2023.12.18 - 2023.12.24,1722.0,2.0,5.0,861.42,2.34,23.47,15.14,8.33,10.77,80.7
2023.12.25 - 2023.12.31,0.0,0.0,,861.42,2.45,22.68,14.79,7.89,16.85,71.97
2024.01.01 - 2024.01.07,0.0,0.0,,893.12,2.4,0.31,0.0,0.31,10.54,70.16
2024.01.08 - 2024.01.14,0.0,0.0,,1083.33,3.77,30.36,0.0,30.36,16.7,74.25
2024.01.15 - 2024.01.21,2166.0,2.0,5.0,1083.33,-1.63,24.18,13.95,10.23,12.63,79.43
2024.01.22 - 2024.01.28,2166.0,2.0,3.0,1083.33,2.84,39.91,31.6,8.31,16.8,78.6
2024.01.29 - 2024.02.04,3250.0,3.0,5.0,1083.33,-3.59,13.41,13.41,0.0,10.21,77.53
2024.02.05 - 2024.02.11,1083.0,1.0,5.0,1083.33,-2.17,1.62,1.62,0.0,9.77,73.24
2024.02.12 - 2024.02.18,3250.0,3.0,3.0,1083.33,5.77,4.21,0.0,4.21,17.21,62.86
2024.02.19 - 2024.02.25,1083.0,1.0,5.0,1083.33,3.5,16.38,0.94,15.44,12.59,78.15
2024.02.26 - 2024.03.03,0.0,0.0,,1083.33,1.56,7.11,7.11,0.0,9.49,70.78
2024.03.04 - 2024.03.10,1083.0,1.0,3.0,1083.33,3.43,1.71,0.0,1.71,9.53,59.46
2024.03.11 - 2024.03.17,1083.0,1.0,4.0,1083.33,1.6,15.71,8.27,7.44,11.46,78.15
2024.03.18 - 2024.03.24,1083.0,1.0,4.0,1083.33,4.34,8.29,0.0,8.29,11.29,75.16
2024.03.25 - 2024.03.31,0.0,0.0,,1083.33,0.91,26.5,22.68,3.82,12.52,79.17
2024.04.01 - 2024.04.07,1083.0,1.0,5.0,1083.33,7.25,12.93,0.31,12.62,11.72,67.69
2024.04.08 - 2024.04.14,1083.0,1.0,5.0,1083.33,7.79,2.74,0.0,2.74,12.19,65.33
2024.04.15 - 2024.04.21,4333.0,4.0,4.67,1083.33,7.73,6.3,0.0,6.3,10.7,79.44
2024.04.22 - 2024.04.28,4333.0,4.0,5.0,1083.33,12.96,3.66,0.0,3.66,14.39,56.27
2024.04.29 - 2024.05.05,4333.0,4.0,4.83,1083.33,14.53,5.94,0.0,5.94,12.2,62.27
2024.05.06 - 2024.05.12,2167.0,2.0,5.0,1083.33,8.09,44.25,0.0,44.25,12.38,84.28
2024.05.13 - 2024.05.19,0.0,0.0,,1083.33,9.41,22.4,0.0,22.4,13.09,70.46
2024.05.20 - 2024.05.26,3249.0,3.0,5.0,1083.33,8.25,5.83,0.0,5.83,9.75,73.59
2024.05.27 - 2024.06.02,3249.0,3.0,4.67,1083.33,11.77,33.64,0.0,33.64,10.4,75.61
2024.06.03 - 2024.06.09,4332.0,4.0,3.0,1083.33,14.3,14.12,0.0,14.12,9.61,73.21
2024.06.10 - 2024.06.16,4333.0,4.0,5.0,1083.33,17.12,5.1,0.0,5.1,9.82,66.04
