tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Erfelek Tatlıca Şelaleleri - Sinop_temp,Erfelek Tatlıca Şelaleleri - Sinop_prcp,Erfelek Tatlıca Şelaleleri - Sinop_snow,Erfelek Tatlıca Şelaleleri - Sinop_rain,Erfelek Tatlıca Şelaleleri - Sinop_wspd,Erfelek Tatlıca Şelaleleri - Sinop_rhum
2023.06.05 - 2023.06.11,2739.0,11.0,0.08,248.85,15.38,83.23,0.0,83.23,13.35,87.7
2023.06.12 - 2023.06.18,3485.0,14.0,0.0,248.85,16.56,4.0,0.0,4.0,9.56,83.89
2023.06.19 - 2023.06.25,5724.0,23.0,0.04,248.85,17.92,10.04,0.0,10.04,12.29,83.38
2023.06.26 - 2023.07.02,7466.0,30.0,0.02,248.85,19.33,6.54,0.0,6.54,15.12,79.15
2023.07.03 - 2023.07.09,18912.0,76.0,0.04,248.85,20.22,3.86,0.0,3.86,13.94,74.12
2023.07.10 - 2023.07.16,16672.0,67.0,0.02,248.85,21.68,42.77,0.0,42.77,17.83,76.64
2023.07.17 - 2023.07.23,10701.0,43.0,0.05,248.85,21.52,4.53,0.0,4.53,11.79,70.62
2023.07.24 - 2023.07.30,13935.0,56.0,0.1,248.85,22.22,6.43,0.0,6.43,10.45,65.88
2023.07.31 - 2023.08.06,12690.0,51.0,0.05,248.85,20.79,11.3,0.0,11.3,15.47,69.95
2023.08.07 - 2023.08.13,12192.0,49.0,0.04,248.85,22.51,0.11,0.0,0.11,11.78,75.27
2023.08.14 - 2023.08.20,19162.0,77.0,0.01,248.85,22.13,1.69,0.0,1.69,12.69,78.57
2023.08.21 - 2023.08.27,18415.0,74.0,0.0,248.85,23.01,0.0,0.0,0.0,10.29,80.54
2023.08.28 - 2023.09.03,18664.0,75.0,0.01,248.85,22.43,0.0,0.0,0.0,10.37,69.75
2023.09.04 - 2023.09.10,15677.0,63.0,0.1,248.85,22.27,13.24,0.0,13.24,13.39,76.73
2023.09.11 - 2023.09.17,9208.0,37.0,0.07,248.85,19.26,0.68,0.0,0.68,10.2,71.9
2023.09.18 - 2023.09.24,6470.0,26.0,0.09,248.85,17.79,6.26,0.0,6.26,11.18,67.55
2023.09.25 - 2023.10.01,8958.0,36.0,0.11,248.85,17.96,0.0,0.0,0.0,8.87,79.13
2023.10.02 - 2023.10.08,10452.0,42.0,0.05,248.85,18.39,9.75,0.0,9.75,10.75,81.88
2023.10.09 - 2023.10.15,3982.0,16.0,0.0,248.85,15.26,22.27,0.0,22.27,11.64,71.36
2023.10.16 - 2023.10.22,6967.0,28.0,0.04,248.85,14.13,12.86,0.0,12.86,14.6,73.97
2023.10.23 - 2023.10.29,4977.0,20.0,0.17,248.85,15.2,42.62,0.0,42.62,13.0,70.14
2023.10.30 - 2023.11.05,4479.0,18.0,0.0,248.85,17.46,3.55,0.0,3.55,10.9,72.76
2023.11.06 - 2023.11.12,1991.0,8.0,0.0,248.85,16.95,4.38,0.0,4.38,14.24,76.29
2023.11.13 - 2023.11.19,3483.0,14.0,0.0,248.85,14.41,22.79,0.0,22.79,14.38,75.16
2023.11.20 - 2023.11.26,996.0,4.0,0.0,248.85,10.89,89.92,0.0,89.92,18.19,73.1
2023.11.27 - 2023.12.03,995.0,4.0,0.0,248.85,10.51,41.1,0.0,41.1,19.8,69.83
2023.12.04 - 2023.12.10,2489.0,10.0,0.0,248.85,11.8,8.69,0.0,8.69,14.1,63.72
2023.12.11 - 2023.12.17,1991.0,8.0,0.0,248.85,9.23,21.55,0.0,21.55,12.62,85.81
2023.12.18 - 2023.12.24,1494.0,6.0,0.0,248.85,7.83,25.95,0.0,25.95,14.05,76.05
2023.12.25 - 2023.12.31,0.0,0.0,,248.85,7.59,29.38,0.0,29.38,16.15,71.6
2024.01.01 - 2024.01.07,2331.0,10.0,0.25,237.55,8.61,0.03,0.0,0.03,12.26,72.3
2024.01.08 - 2024.01.14,1019.0,6.0,0.25,169.79,9.64,19.07,0.0,19.07,14.0,69.75
2024.01.15 - 2024.01.21,0.0,0.0,,169.79,2.17,19.71,11.9,7.81,16.02,73.47
2024.01.22 - 2024.01.28,0.0,0.0,,169.79,6.83,34.51,3.11,31.4,14.84,73.61
2024.01.29 - 2024.02.04,1359.0,8.0,0.0,169.79,2.38,48.73,29.99,18.74,13.91,77.73
2024.02.05 - 2024.02.11,340.0,2.0,1.0,169.79,3.95,9.54,3.92,5.62,12.94,75.09
2024.02.12 - 2024.02.18,340.0,2.0,0.0,169.79,10.97,0.77,0.0,0.77,12.96,60.38
2024.02.19 - 2024.02.25,1359.0,8.0,0.0,169.79,6.56,16.86,0.0,16.86,16.11,83.28
2024.02.26 - 2024.03.03,340.0,2.0,0.0,169.79,6.2,3.21,0.0,3.21,14.36,79.77
2024.03.04 - 2024.03.10,2037.0,12.0,0.0,169.79,6.29,0.12,0.0,0.12,12.93,85.94
2024.03.11 - 2024.03.17,1019.0,6.0,0.0,169.79,5.72,16.13,0.0,16.13,15.29,81.98
2024.03.18 - 2024.03.24,1020.0,6.0,0.0,169.79,7.09,11.1,0.0,11.1,12.17,84.83
2024.03.25 - 2024.03.31,1360.0,8.0,0.0,169.79,5.31,41.36,0.0,41.36,15.61,81.44
2024.04.01 - 2024.04.07,340.0,2.0,0.0,169.79,10.83,4.74,0.0,4.74,16.99,69.82
2024.04.08 - 2024.04.14,1019.0,6.0,0.0,169.79,10.4,3.09,0.0,3.09,14.03,73.09
2024.04.15 - 2024.04.21,11546.0,68.0,0.05,169.79,10.7,0.0,0.0,0.0,14.69,80.23
2024.04.22 - 2024.04.28,6452.0,38.0,0.12,169.79,14.12,6.13,0.0,6.13,16.16,68.44
2024.04.29 - 2024.05.05,3735.0,22.0,0.0,169.79,13.41,6.03,0.0,6.03,15.33,77.66
