tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Abant Gölü Tabiat Parkı - Bolu_temp,Abant Gölü Tabiat Parkı - Bolu_prcp,Abant Gölü Tabiat Parkı - Bolu_snow,Abant Gölü Tabiat Parkı - Bolu_rain,Abant Gölü Tabiat Parkı - Bolu_wspd,Abant Gölü Tabiat Parkı - Bolu_rhum
2024.03.11 - 2024.03.17,15168.0,8.0,4.7,1896.06,1.78,16.99,13.18,3.81,3.77,79.56
2024.03.18 - 2024.03.24,11376.0,6.0,4.88,1896.06,3.47,10.5,6.46,4.04,3.43,74.78
2024.03.25 - 2024.03.31,3792.0,2.0,4.5,1896.06,0.88,35.65,20.56,15.09,3.25,73.86
2024.04.01 - 2024.04.07,3792.0,2.0,5.0,1896.06,8.53,3.41,0.0,3.41,3.91,64.26
2024.04.08 - 2024.04.14,7584.0,4.0,5.0,1896.06,8.64,0.0,0.0,0.0,4.94,59.35
2024.04.15 - 2024.04.21,22752.0,12.0,4.86,1896.06,9.25,0.02,0.0,0.02,4.3,72.01
2024.04.22 - 2024.04.28,15168.0,8.0,4.07,1896.06,11.95,13.55,0.0,13.55,6.59,62.18
2024.04.29 - 2024.05.05,17064.0,9.0,4.7,1896.06,12.15,10.9,0.0,10.9,5.65,68.02
2024.05.06 - 2024.05.12,22752.0,12.0,4.35,1896.06,7.9,26.37,0.0,26.37,5.18,79.34
2024.05.13 - 2024.05.19,15168.0,8.0,4.73,1896.06,8.68,10.84,0.0,10.84,4.63,74.15
2024.05.20 - 2024.05.26,18960.0,10.0,4.69,1896.06,10.04,6.1,0.0,6.1,5.26,71.23
2024.05.27 - 2024.06.02,11376.0,6.0,5.0,1896.06,12.4,43.0,0.0,43.0,5.46,74.74
2024.06.03 - 2024.06.09,17064.0,9.0,4.25,1896.06,15.82,2.51,0.0,2.51,3.59,66.97
2024.06.10 - 2024.06.16,11376.0,6.0,4.62,1896.06,19.05,4.47,0.0,4.47,4.79,66.44
2024.06.17 - 2024.06.23,15168.0,8.0,4.4,1896.06,20.48,2.4,0.0,2.4,6.06,61.54
2024.06.24 - 2024.06.30,53088.0,28.0,4.58,1896.06,19.52,0.0,0.0,0.0,6.74,65.95
2024.07.01 - 2024.07.07,26544.0,14.0,5.0,1896.06,19.12,0.14,0.0,0.14,7.91,62.97
2024.07.08 - 2024.07.14,39816.0,21.0,4.8,1896.06,19.38,13.48,0.0,13.48,5.62,67.41
2024.07.15 - 2024.07.21,53088.0,28.0,4.6,1896.06,20.16,11.97,0.0,11.97,5.48,71.11
2024.07.22 - 2024.07.28,47400.0,25.0,4.83,1896.06,21.66,2.91,0.0,2.91,5.92,65.39
2024.07.29 - 2024.08.04,34128.0,18.0,4.94,1896.06,19.26,21.29,0.0,21.29,6.78,69.42
2024.08.05 - 2024.08.11,49296.0,26.0,4.68,1896.06,19.11,1.09,0.0,1.09,6.47,64.76
2024.08.12 - 2024.08.18,47400.0,25.0,4.55,1896.06,19.19,3.05,0.0,3.05,6.46,68.31
2024.08.19 - 2024.08.25,47400.0,25.0,4.94,1896.06,20.38,0.0,0.0,0.0,6.94,60.05
2024.08.26 - 2024.09.01,54984.0,29.0,4.87,1896.06,19.89,0.37,0.0,0.37,5.81,67.0
2024.09.02 - 2024.09.08,41712.0,22.0,4.66,1896.06,18.47,2.63,0.0,2.63,5.38,72.06
2024.09.09 - 2024.09.15,60673.0,32.0,4.65,1896.06,16.95,10.21,0.0,10.21,4.87,72.03
2024.09.16 - 2024.09.22,41712.0,22.0,4.95,1896.06,17.97,5.31,0.0,5.31,5.04,65.35
2024.09.23 - 2024.09.29,32232.0,17.0,4.54,1896.06,13.03,7.97,0.0,7.97,5.15,76.06
2024.09.30 - 2024.10.06,28440.0,15.0,4.83,1896.06,14.37,15.84,0.0,15.84,4.25,73.37
2024.10.07 - 2024.10.13,20856.0,11.0,4.78,1896.06,12.59,30.13,0.0,30.13,4.92,76.54
2024.10.14 - 2024.10.20,20856.0,11.0,4.96,1896.06,12.63,9.13,0.0,9.13,4.02,76.91
2024.10.21 - 2024.10.27,34128.0,18.0,4.74,1896.06,5.5,17.44,0.0,17.44,4.43,81.34
2024.10.28 - 2024.11.03,28440.0,15.0,4.9,1896.06,6.06,0.36,0.0,0.36,3.41,79.07
2024.11.04 - 2024.11.10,34128.0,18.0,4.95,1896.06,5.16,5.39,0.0,5.39,3.74,79.46
2024.11.11 - 2024.11.17,32232.0,17.0,4.69,1896.06,1.4,0.33,0.04,0.29,3.85,79.2
2024.11.18 - 2024.11.24,53088.0,28.0,4.79,1896.06,3.84,31.11,0.4,30.71,4.43,86.94
2024.11.25 - 2024.12.01,24648.0,13.0,4.86,1896.06,2.0,70.11,44.53,25.58,6.44,78.78
2024.12.02 - 2024.12.08,13272.0,7.0,4.92,1896.06,-1.7,4.45,4.45,0.0,3.57,87.14
2024.12.09 - 2024.12.15,34128.0,18.0,4.94,1896.06,2.65,6.45,3.8,2.65,4.22,81.02
2024.12.16 - 2024.12.22,15168.0,8.0,4.4,1896.06,0.31,26.26,22.7,3.56,5.15,82.75
2024.12.23 - 2024.12.29,17064.0,9.0,4.6,1896.06,0.04,12.37,7.22,5.15,4.9,80.5
2024.12.30 - 2025.01.05,11376.0,6.0,5.0,1896.06,1.61,32.51,30.73,1.78,6.39,79.64
2025.01.06 - 2025.01.12,23788.0,13.0,4.72,1834.64,-0.67,6.19,6.19,0.0,4.34,78.48
2025.01.13 - 2025.01.19,23717.0,13.0,4.83,1824.4,1.59,16.14,13.2,2.94,4.5,79.68
2025.01.20 - 2025.01.26,29191.0,16.0,4.95,1824.4,-1.72,25.65,25.65,0.0,4.5,83.44
