tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Kümbet yaylası - Giresun_temp,Kümbet yaylası - Giresun_prcp,Kümbet yaylası - Giresun_snow,Kümbet yaylası - Giresun_rain,Kümbet yaylası - Giresun_wspd,Kümbet yaylası - Giresun_rhum
2024.12.30 - 2025.01.05,1593.0,4.0,3.67,398.31,-0.18,26.26,22.44,3.82,13.21,75.34
2025.01.06 - 2025.01.12,764.0,2.0,5.0,384.05,-2.7,21.61,21.61,0.0,11.39,70.95
2025.01.13 - 2025.01.19,382.0,1.0,5.0,381.68,-0.14,1.13,1.13,0.0,9.8,64.72
2025.01.20 - 2025.01.26,382.0,1.0,5.0,381.68,-2.61,38.03,38.03,0.0,12.83,85.9
2025.01.27 - 2025.02.02,763.0,2.0,5.0,381.68,-1.62,5.36,5.36,0.0,9.0,70.47
2025.02.03 - 2025.02.09,1527.0,4.0,4.83,381.68,-1.44,0.02,0.02,0.0,8.09,60.43
2025.02.10 - 2025.02.16,1527.0,4.0,4.5,381.68,-5.45,45.05,45.05,0.0,13.42,81.83
2025.02.17 - 2025.02.23,764.0,2.0,3.0,381.68,-3.34,12.66,12.66,0.0,10.52,75.34
2025.02.24 - 2025.03.02,764.0,2.0,3.0,381.68,-9.21,51.24,51.24,0.0,19.18,75.39
2025.03.03 - 2025.03.09,764.0,2.0,5.0,381.68,-5.63,11.12,11.12,0.0,10.93,72.61
2025.03.10 - 2025.03.16,1145.0,3.0,4.75,381.68,-1.76,0.59,0.59,0.0,6.85,74.27
2025.03.17 - 2025.03.23,0.0,0.0,,381.68,8.22,0.0,0.0,0.0,14.55,55.61
2025.03.24 - 2025.03.30,382.0,1.0,5.0,381.68,-3.36,20.3,20.3,0.0,15.78,74.69
2025.03.31 - 2025.04.06,1145.0,3.0,5.0,381.68,5.33,11.99,0.0,11.99,11.72,71.5
2025.04.07 - 2025.04.13,3054.0,8.0,4.6,381.68,3.62,32.63,23.7,8.93,12.04,79.07
2025.04.14 - 2025.04.20,0.0,0.0,,381.68,-2.83,75.12,75.12,0.0,14.7,79.29
2025.04.21 - 2025.04.27,0.0,0.0,,381.68,0.78,17.27,16.79,0.48,10.51,85.0
2025.04.28 - 2025.05.04,382.0,1.0,5.0,381.68,2.73,19.24,6.25,12.99,9.85,86.03
2025.05.05 - 2025.05.11,2290.0,6.0,5.0,381.68,2.99,14.61,0.0,14.61,9.57,80.97
