time,Abant Gölü Tabiat Parkı - Bolu_temp,Abant Gölü Tabiat Parkı - Bolu_prcp,Abant Gölü Tabiat Parkı - Bolu_snow,Abant Gölü Tabiat Parkı - Bolu_rain,Abant Gölü Tabiat Parkı - Bolu_tmin,Abant Gölü Tabiat Parkı - Bolu_tmax,Abant Gölü Tabiat Parkı - Bolu_wspd,Abant Gölü Tabiat Parkı - Bolu_rhum
2024-03-29,10.08,0.12,0.0,0.12,3.79,17.63,4.98,66.9
2024-03-30,9.93,0.0,0.0,0.0,1.07,20.27,3.31,61.6
2024-03-31,11.77,0.0,0.0,0.0,2.64,21.91,3.73,58.19
2024-04-01,11.89,0.0,0.0,0.0,3.13,23.15,3.57,57.13
2024-04-02,13.04,0.0,0.0,0.0,3.55,23.95,3.93,50.26
2024-04-03,9.52,0.0,0.0,0.0,3.88,14.89,5.51,55.61
2024-04-04,9.05,0.0,0.0,0.0,-1.42,17.8,4.63,60.71
2024-04-05,8.16,0.0,0.0,0.0,-1.88,14.72,4.53,57.66
2024-04-06,7.74,0.0,0.0,0.0,-2.38,14.86,4.36,57.3
2024-04-07,6.63,0.0,0.0,0.0,-1.7,13.06,6.0,61.17
2024-04-08,6.36,0.0,0.0,0.0,-1.42,12.04,5.62,72.71
2024-04-09,7.97,0.0,0.0,0.0,0.89,14.74,4.77,76.89
2024-04-10,7.65,0.0,0.0,0.0,0.64,13.72,4.89,76.89
2024-04-11,8.84,0.0,0.0,0.0,1.14,14.66,5.02,76.6
2024-04-12,8.34,0.02,0.0,0.02,2.72,13.29,3.84,76.54
2024-04-13,9.79,0.0,0.0,0.0,1.05,16.44,4.23,73.3
2024-04-14,9.4,0.0,0.0,0.0,0.0,16.01,3.99,66.71
2024-04-15,12.76,0.0,0.0,0.0,-0.56,21.65,3.34,57.11
2024-04-16,16.77,0.0,0.0,0.0,2.93,24.65,5.02,48.95
2024-04-17,16.53,0.05,0.0,0.05,8.42,22.52,4.51,49.94
2024-04-18,13.16,0.84,0.0,0.84,6.6,19.15,8.29,58.48
2024-04-19,9.41,1.15,0.0,1.15,3.74,14.58,6.6,74.88
2024-04-20,7.39,4.07,0.0,4.07,3.08,14.86,8.76,76.82
2024-04-21,9.38,7.44,0.0,7.44,1.92,14.75,7.46,64.12
2024-04-22,10.99,0.0,0.0,0.0,0.43,17.08,5.48,62.06
2024-04-23,13.49,0.16,0.0,0.16,4.55,19.98,4.42,62.89
2024-04-24,18.78,0.0,0.0,0.0,10.64,23.03,6.91,39.21
2024-04-25,16.42,1.73,0.0,1.73,9.44,22.78,6.04,49.18
2024-04-26,11.49,0.33,0.0,0.33,6.0,15.38,6.67,72.71
